Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,SCCO,2113.493408203125,2123.0567267922793,2075.2401338465074,2113.493408203125,98100.0
2025-06-16,SCCO,2113.493380239882,2170.873291015625,2113.493380239882,2170.873291015625,63600.0
2025-06-17,SCCO,2170.8732183159723,2180.436536458333,2142.183263888889,2151.74658203125,82000.0
2025-06-18,SCCO,2151.7467248908297,2190.0,2103.930131004367,2190.0,165900.0
2025-06-19,SCCO,2200.0,2200.0,2080.0,2110.0,158400.0
2025-06-20,SCCO,2120.0,2120.0,2070.0,2100.0,48000.0
2025-06-23,SCCO,2060.0,2060.0,2010.0,2050.0,49400.0
2025-06-24,SCCO,2100.0,2100.0,2020.0,2060.0,21500.0
2025-06-25,SCCO,2040.0,2090.0,2020.0,2050.0,4700.0
2025-06-26,SCCO,2020.0,2100.0,2020.0,2060.0,7600.0
2025-06-30,SCCO,2060.0,2060.0,2020.0,2040.0,14400.0
2025-07-01,SCCO,2030.0,2080.0,2030.0,2080.0,14400.0
2025-07-02,SCCO,2080.0,2080.0,2050.0,2060.0,6300.0
2025-07-03,SCCO,2060.0,2080.0,2040.0,2080.0,9900.0
2025-07-04,SCCO,2050.0,2070.0,2050.0,2060.0,4900.0
2025-07-07,SCCO,2050.0,2060.0,2050.0,2060.0,3900.0
2025-07-08,SCCO,2060.0,2060.0,2050.0,2060.0,4100.0
2025-07-09,SCCO,2060.0,2380.0,2050.0,2150.0,89900.0
2025-07-10,SCCO,2180.0,2180.0,2040.0,2120.0,85000.0
2025-07-11,SCCO,2120.0,2120.0,2070.0,2120.0,30800.0
2025-07-14,SCCO,2120.0,2140.0,2090.0,2090.0,24100.0
2025-07-15,SCCO,2090.0,2250.0,2090.0,2160.0,65000.0
2025-07-16,SCCO,2180.0,2190.0,2100.0,2190.0,27500.0
2025-07-17,SCCO,2170.0,2200.0,2150.0,2190.0,32100.0
2025-07-18,SCCO,2150.0,2240.0,2150.0,2190.0,25400.0
2025-07-21,SCCO,2170.0,2200.0,2150.0,2190.0,15500.0
2025-07-22,SCCO,2190.0,2220.0,2170.0,2210.0,42700.0
2025-07-23,SCCO,2210.0,2210.0,2160.0,2190.0,19300.0
2025-07-24,SCCO,2200.0,2200.0,2150.0,2160.0,21000.0
2025-07-25,SCCO,2200.0,2200.0,2150.0,2160.0,43600.0
2025-07-28,SCCO,2190.0,2200.0,2160.0,2190.0,46000.0
2025-07-29,SCCO,2190.0,2210.0,2170.0,2190.0,51000.0
2025-07-30,SCCO,2180.0,2210.0,2150.0,2190.0,66000.0
2025-07-31,SCCO,2190.0,2190.0,2150.0,2170.0,42800.0
2025-08-01,SCCO,2170.0,2300.0,2150.0,2290.0,283000.0
2025-08-04,SCCO,2500.0,2860.0,2410.0,2470.0,974200.0
2025-08-05,SCCO,2470.0,2480.0,2250.0,2340.0,273700.0
2025-08-06,SCCO,2300.0,2450.0,2280.0,2430.0,238900.0
2025-08-07,SCCO,2430.0,2430.0,2320.0,2340.0,65800.0
2025-08-08,SCCO,2370.0,2380.0,2260.0,2300.0,132400.0
2025-08-11,SCCO,2300.0,2320.0,2240.0,2240.0,166400.0
2025-08-12,SCCO,2240.0,2290.0,2240.0,2280.0,70900.0
2025-08-13,SCCO,2260.0,2320.0,2250.0,2290.0,102000.0
2025-08-14,SCCO,2280.0,2340.0,2250.0,2290.0,58100.0
2025-08-15,SCCO,2290.0,2300.0,2200.0,2230.0,36100.0
2025-08-19,SCCO,2230.0,2290.0,2220.0,2280.0,63500.0
2025-08-20,SCCO,2290.0,2310.0,2220.0,2220.0,103800.0
2025-08-21,SCCO,2230.0,2280.0,2220.0,2270.0,62200.0
2025-08-22,SCCO,2250.0,2310.0,2240.0,2310.0,146600.0
2025-08-25,SCCO,2300.0,2400.0,2300.0,2330.0,142200.0
2025-08-26,SCCO,2330.0,2360.0,2280.0,2280.0,58100.0
2025-08-27,SCCO,2320.0,2320.0,2280.0,2300.0,45300.0
