Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,SHID,740.0,750.0,725.0,730.0,16600.0
2025-06-16,SHID,730.0,730.0,720.0,720.0,8100.0
2025-06-17,SHID,730.0,730.0,715.0,715.0,7400.0
2025-06-18,SHID,725.0,725.0,725.0,725.0,1600.0
2025-06-19,SHID,715.0,720.0,690.0,720.0,10100.0
2025-06-20,SHID,705.0,710.0,700.0,700.0,2000.0
2025-06-23,SHID,690.0,710.0,660.0,710.0,36300.0
2025-06-24,SHID,660.0,705.0,615.0,665.0,27900.0
2025-06-25,SHID,670.0,670.0,650.0,655.0,41700.0
2025-06-26,SHID,655.0,670.0,655.0,670.0,7700.0
2025-06-30,SHID,670.0,690.0,670.0,685.0,16200.0
2025-07-01,SHID,685.0,685.0,680.0,685.0,3800.0
2025-07-02,SHID,685.0,685.0,685.0,685.0,2900.0
2025-07-03,SHID,685.0,705.0,685.0,690.0,1900.0
2025-07-04,SHID,705.0,860.0,695.0,860.0,227400.0
2025-07-07,SHID,1020.0,1075.0,950.0,1075.0,2266500.0
2025-07-08,SHID,1200.0,1300.0,1150.0,1195.0,1789400.0
2025-07-09,SHID,1270.0,1290.0,1020.0,1020.0,574600.0
2025-07-10,SHID,980.0,985.0,915.0,930.0,462100.0
2025-07-11,SHID,935.0,1160.0,930.0,1160.0,938300.0
2025-07-14,SHID,1160.0,1225.0,990.0,1015.0,419200.0
2025-07-15,SHID,1015.0,1180.0,975.0,1000.0,264900.0
2025-07-16,SHID,1005.0,1010.0,970.0,980.0,137100.0
2025-07-17,SHID,975.0,1070.0,940.0,940.0,220300.0
2025-07-18,SHID,950.0,1100.0,940.0,1070.0,672400.0
2025-07-21,SHID,1070.0,1200.0,1040.0,1200.0,321800.0
2025-07-22,SHID,1200.0,1310.0,1140.0,1250.0,209800.0
2025-07-23,SHID,1250.0,1250.0,1250.0,1250.0,0.0
2025-07-24,SHID,1280.0,1280.0,1065.0,1065.0,512400.0
2025-07-25,SHID,1065.0,1100.0,955.0,1005.0,226400.0
2025-07-28,SHID,1005.0,1120.0,980.0,1050.0,306700.0
2025-07-29,SHID,1055.0,1100.0,1000.0,1005.0,118100.0
2025-07-30,SHID,1010.0,1050.0,980.0,990.0,233900.0
2025-07-31,SHID,990.0,1030.0,960.0,980.0,194500.0
2025-08-01,SHID,990.0,1030.0,960.0,975.0,78000.0
2025-08-04,SHID,975.0,1000.0,945.0,950.0,150000.0
2025-08-05,SHID,950.0,965.0,895.0,900.0,153800.0
2025-08-06,SHID,895.0,945.0,890.0,895.0,57300.0
2025-08-07,SHID,900.0,910.0,890.0,910.0,62500.0
2025-08-08,SHID,900.0,915.0,810.0,880.0,53400.0
2025-08-11,SHID,870.0,930.0,870.0,910.0,53000.0
2025-08-12,SHID,910.0,910.0,880.0,905.0,47600.0
2025-08-13,SHID,895.0,910.0,895.0,900.0,22500.0
2025-08-14,SHID,900.0,995.0,890.0,950.0,253100.0
2025-08-15,SHID,955.0,980.0,915.0,930.0,23200.0
2025-08-19,SHID,915.0,950.0,900.0,930.0,24300.0
2025-08-20,SHID,935.0,990.0,860.0,905.0,161400.0
2025-08-21,SHID,905.0,910.0,900.0,905.0,3400.0
2025-08-22,SHID,905.0,925.0,905.0,915.0,12800.0
2025-08-25,SHID,915.0,925.0,900.0,915.0,15700.0
2025-08-26,SHID,875.0,930.0,875.0,900.0,11000.0
2025-08-27,SHID,900.0,925.0,890.0,900.0,23800.0
2025-08-28,SHID,900.0,915.0,900.0,900.0,18300.0
2025-08-29,SHID,910.0,910.0,880.0,895.0,24600.0
2025-09-01,SHID,875.0,915.0,855.0,905.0,19200.0
2025-09-02,SHID,880.0,920.0,880.0,895.0,9400.0
2025-09-03,SHID,920.0,920.0,890.0,915.0,4000.0
2025-09-04,SHID,915.0,915.0,905.0,915.0,4700.0
2025-09-08,SHID,915.0,920.0,905.0,915.0,17600.0
2025-09-09,SHID,915.0,915.0,875.0,875.0,13300.0
2025-09-10,SHID,915.0,915.0,885.0,885.0,5000.0
2025-09-11,SHID,885.0,910.0,885.0,890.0,8700.0
2025-09-12,SHID,870.0,905.0,870.0,900.0,13800.0
2025-09-15,SHID,915.0,915.0,900.0,900.0,11100.0
2025-09-16,SHID,925.0,925.0,890.0,890.0,15600.0
2025-09-17,SHID,935.0,935.0,890.0,900.0,30800.0
2025-09-18,SHID,900.0,925.0,890.0,900.0,11000.0
2025-09-19,SHID,885.0,915.0,885.0,915.0,1900.0
2025-09-22,SHID,935.0,935.0,885.0,895.0,43200.0
2025-09-23,SHID,890.0,915.0,880.0,905.0,21000.0
2025-09-24,SHID,915.0,915.0,900.0,900.0,4300.0
2025-09-25,SHID,890.0,910.0,890.0,910.0,4500.0
2025-09-26,SHID,910.0,910.0,885.0,885.0,6800.0
2025-09-29,SHID,910.0,910.0,895.0,905.0,12000.0
2025-09-30,SHID,905.0,905.0,885.0,885.0,32000.0
2025-10-01,SHID,900.0,900.0,885.0,890.0,18800.0
2025-10-02,SHID,890.0,890.0,830.0,885.0,26200.0
2025-10-03,SHID,885.0,905.0,870.0,875.0,30300.0
2025-10-06,SHID,875.0,885.0,870.0,870.0,41000.0
2025-10-07,SHID,885.0,900.0,885.0,895.0,11700.0
2025-10-08,SHID,890.0,900.0,870.0,895.0,14100.0
2025-10-09,SHID,870.0,900.0,870.0,870.0,4900.0
2025-10-10,SHID,870.0,905.0,870.0,900.0,8700.0
2025-10-13,SHID,870.0,895.0,870.0,895.0,10500.0
2025-10-14,SHID,870.0,895.0,870.0,870.0,11500.0
2025-10-15,SHID,880.0,885.0,880.0,885.0,16500.0
2025-10-16,SHID,900.0,900.0,870.0,880.0,15300.0
2025-10-17,SHID,885.0,900.0,870.0,875.0,10700.0
2025-10-20,SHID,895.0,895.0,790.0,890.0,5200.0
2025-10-21,SHID,870.0,870.0,820.0,860.0,13300.0
2025-10-22,SHID,885.0,890.0,885.0,885.0,10400.0
2025-10-23,SHID,885.0,885.0,860.0,875.0,6200.0
2025-10-24,SHID,875.0,890.0,870.0,870.0,29300.0
2025-10-27,SHID,870.0,870.0,865.0,870.0,17300.0
2025-10-28,SHID,870.0,890.0,870.0,870.0,1200.0
2025-10-29,SHID,890.0,890.0,870.0,870.0,6800.0
2025-10-30,SHID,840.0,890.0,815.0,860.0,7200.0
2025-10-31,SHID,860.0,1020.0,820.0,880.0,216900.0
2025-11-03,SHID,880.0,895.0,880.0,885.0,20100.0
2025-11-04,SHID,880.0,885.0,850.0,855.0,12000.0
2025-11-05,SHID,850.0,870.0,850.0,870.0,6200.0
2025-11-06,SHID,870.0,890.0,860.0,865.0,17800.0
2025-11-07,SHID,900.0,910.0,860.0,875.0,36800.0
2025-11-10,SHID,875.0,885.0,865.0,870.0,4900.0
2025-11-11,SHID,870.0,880.0,870.0,875.0,3100.0
2025-11-12,SHID,870.0,870.0,850.0,870.0,11500.0
2025-11-13,SHID,870.0,870.0,865.0,870.0,9800.0
2025-11-14,SHID,865.0,870.0,860.0,865.0,3800.0
2025-11-17,SHID,870.0,870.0,870.0,870.0,600.0
2025-11-18,SHID,895.0,910.0,855.0,860.0,11900.0
