Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,SKBM,364.0,364.0,354.0,360.0,20600.0
2025-06-16,SKBM,354.0,384.0,344.0,362.0,214600.0
2025-06-17,SKBM,362.0,380.0,348.0,362.0,15400.0
2025-06-18,SKBM,354.0,364.0,344.0,364.0,57700.0
2025-06-19,SKBM,364.0,364.0,348.0,362.0,28200.0
2025-06-20,SKBM,352.0,356.0,348.0,348.0,26300.0
2025-06-23,SKBM,348.0,348.0,330.0,332.0,24200.0
2025-06-24,SKBM,332.0,364.0,328.0,348.0,234500.0
2025-06-25,SKBM,334.0,362.0,328.0,356.0,22400.0
2025-06-26,SKBM,358.0,360.0,358.0,358.0,1200.0
2025-06-30,SKBM,338.0,360.0,338.0,356.0,179700.0
2025-07-01,SKBM,356.0,356.0,356.0,356.0,200.0
2025-07-02,SKBM,356.0,356.0,346.0,346.0,2300.0
2025-07-03,SKBM,354.0,354.0,352.0,352.0,1200.0
2025-07-04,SKBM,350.0,350.0,336.0,336.0,28300.0
2025-07-07,SKBM,336.0,360.0,330.0,338.0,257000.0
2025-07-08,SKBM,330.0,358.0,330.0,340.0,23200.0
2025-07-09,SKBM,340.0,356.0,340.0,344.0,8500.0
2025-07-10,SKBM,344.0,354.0,342.0,346.0,15800.0
2025-07-11,SKBM,366.0,366.0,346.0,346.0,14900.0
2025-07-14,SKBM,358.0,358.0,336.0,344.0,32300.0
2025-07-15,SKBM,358.0,358.0,350.0,350.0,8800.0
2025-07-16,SKBM,332.0,356.0,332.0,340.0,181800.0
2025-07-17,SKBM,342.0,356.0,338.0,338.0,47900.0
2025-07-18,SKBM,340.0,354.0,332.0,336.0,346700.0
2025-07-21,SKBM,336.0,350.0,326.0,340.0,41000.0
2025-07-22,SKBM,340.0,348.0,330.0,346.0,219700.0
2025-07-23,SKBM,344.0,354.0,330.0,340.0,89600.0
2025-07-24,SKBM,340.0,348.0,334.0,336.0,24200.0
2025-07-25,SKBM,342.0,342.0,338.0,340.0,7900.0
2025-07-28,SKBM,340.0,340.0,334.0,338.0,7900.0
2025-07-29,SKBM,336.0,344.0,336.0,338.0,2700.0
2025-07-30,SKBM,332.0,352.0,332.0,346.0,162000.0
2025-07-31,SKBM,366.0,432.0,360.0,380.0,2483600.0
2025-08-01,SKBM,380.0,390.0,356.0,368.0,143300.0
2025-08-04,SKBM,370.0,386.0,342.0,350.0,239900.0
2025-08-05,SKBM,354.0,374.0,352.0,352.0,172900.0
2025-08-06,SKBM,352.0,358.0,350.0,354.0,58600.0
2025-08-07,SKBM,354.0,358.0,352.0,352.0,68900.0
2025-08-08,SKBM,352.0,362.0,340.0,354.0,130800.0
2025-08-11,SKBM,356.0,360.0,348.0,358.0,48100.0
2025-08-12,SKBM,352.0,378.0,352.0,364.0,95500.0
2025-08-13,SKBM,362.0,378.0,350.0,366.0,177600.0
2025-08-14,SKBM,370.0,374.0,358.0,370.0,124400.0
2025-08-15,SKBM,370.0,370.0,358.0,358.0,75000.0
2025-08-19,SKBM,358.0,376.0,356.0,360.0,167800.0
2025-08-20,SKBM,358.0,368.0,358.0,358.0,33400.0
2025-08-21,SKBM,358.0,364.0,348.0,362.0,147800.0
2025-08-22,SKBM,368.0,368.0,360.0,368.0,9400.0
2025-08-25,SKBM,368.0,370.0,360.0,360.0,49900.0
2025-08-26,SKBM,362.0,374.0,358.0,358.0,143200.0
2025-08-27,SKBM,360.0,366.0,346.0,360.0,133600.0
2025-08-28,SKBM,360.0,366.0,358.0,358.0,21600.0
2025-08-29,SKBM,364.0,364.0,352.0,352.0,10300.0
2025-09-01,SKBM,354.0,354.0,320.0,348.0,206400.0
2025-09-02,SKBM,354.0,358.0,354.0,358.0,27500.0
2025-09-03,SKBM,348.0,364.0,346.0,360.0,165200.0
2025-09-04,SKBM,360.0,360.0,350.0,360.0,4600.0
2025-09-08,SKBM,364.0,364.0,348.0,358.0,11000.0
2025-09-09,SKBM,350.0,360.0,338.0,348.0,173000.0
2025-09-10,SKBM,360.0,360.0,340.0,342.0,50200.0
2025-09-11,SKBM,338.0,378.0,338.0,358.0,39600.0
2025-09-12,SKBM,358.0,358.0,340.0,354.0,20700.0
2025-09-15,SKBM,344.0,354.0,344.0,354.0,13600.0
2025-09-16,SKBM,354.0,360.0,350.0,354.0,7300.0
2025-09-17,SKBM,354.0,358.0,344.0,352.0,28800.0
2025-09-18,SKBM,348.0,356.0,348.0,348.0,19600.0
2025-09-19,SKBM,356.0,434.0,356.0,434.0,2561900.0
