Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,SLIS,50.0,50.0,50.0,50.0,284800.0
2025-06-16,SLIS,50.0,50.0,50.0,50.0,348300.0
2025-06-17,SLIS,50.0,50.0,50.0,50.0,706800.0
2025-06-18,SLIS,50.0,50.0,50.0,50.0,255300.0
2025-06-19,SLIS,50.0,50.0,50.0,50.0,637100.0
2025-06-20,SLIS,50.0,50.0,50.0,50.0,37300.0
2025-06-23,SLIS,50.0,50.0,50.0,50.0,56200.0
2025-06-24,SLIS,50.0,50.0,50.0,50.0,46400.0
2025-06-25,SLIS,50.0,50.0,50.0,50.0,103600.0
2025-06-26,SLIS,50.0,50.0,50.0,50.0,357900.0
2025-06-30,SLIS,50.0,50.0,50.0,50.0,145700.0
2025-07-01,SLIS,50.0,50.0,50.0,50.0,29300.0
2025-07-02,SLIS,50.0,50.0,50.0,50.0,41800.0
2025-07-03,SLIS,50.0,50.0,50.0,50.0,44000.0
2025-07-04,SLIS,50.0,50.0,50.0,50.0,27100.0
2025-07-07,SLIS,50.0,50.0,50.0,50.0,35700.0
2025-07-08,SLIS,50.0,50.0,50.0,50.0,69500.0
2025-07-09,SLIS,50.0,50.0,50.0,50.0,95100.0
2025-07-10,SLIS,50.0,50.0,50.0,50.0,44600.0
2025-07-11,SLIS,50.0,50.0,50.0,50.0,122500.0
2025-07-14,SLIS,50.0,50.0,50.0,50.0,87200.0
2025-07-15,SLIS,50.0,50.0,50.0,50.0,12600.0
2025-07-16,SLIS,50.0,50.0,50.0,50.0,11800.0
2025-07-17,SLIS,50.0,50.0,50.0,50.0,4700.0
2025-07-18,SLIS,50.0,50.0,50.0,50.0,270800.0
2025-07-21,SLIS,50.0,50.0,50.0,50.0,85500.0
2025-07-22,SLIS,50.0,50.0,50.0,50.0,217400.0
2025-07-23,SLIS,50.0,50.0,50.0,50.0,1213100.0
2025-07-24,SLIS,50.0,50.0,50.0,50.0,423200.0
2025-07-25,SLIS,50.0,50.0,50.0,50.0,127100.0
2025-07-28,SLIS,50.0,50.0,50.0,50.0,126800.0
2025-07-29,SLIS,50.0,50.0,50.0,50.0,203100.0
2025-07-30,SLIS,50.0,50.0,50.0,50.0,381300.0
2025-07-31,SLIS,50.0,50.0,50.0,50.0,71500.0
2025-08-01,SLIS,50.0,50.0,50.0,50.0,1219700.0
2025-08-04,SLIS,50.0,50.0,50.0,50.0,231000.0
2025-08-05,SLIS,50.0,50.0,50.0,50.0,450600.0
2025-08-06,SLIS,50.0,50.0,50.0,50.0,121700.0
2025-08-07,SLIS,50.0,50.0,50.0,50.0,144700.0
2025-08-08,SLIS,50.0,50.0,50.0,50.0,144500.0
2025-08-11,SLIS,50.0,50.0,50.0,50.0,125300.0
2025-08-12,SLIS,50.0,62.0,50.0,56.0,250009600.0
2025-08-13,SLIS,56.0,75.0,53.0,75.0,461389100.0
2025-08-14,SLIS,80.0,86.0,67.0,72.0,518718800.0
2025-08-15,SLIS,75.0,77.0,67.0,69.0,135321600.0
2025-08-19,SLIS,71.0,72.0,64.0,67.0,75537000.0
2025-08-20,SLIS,68.0,78.0,67.0,73.0,247256400.0
2025-08-21,SLIS,74.0,78.0,70.0,70.0,137259700.0
2025-08-22,SLIS,71.0,71.0,67.0,68.0,36731700.0
2025-08-25,SLIS,69.0,71.0,68.0,71.0,28829400.0
2025-08-26,SLIS,71.0,76.0,71.0,71.0,91603500.0
2025-08-27,SLIS,71.0,76.0,68.0,70.0,82093700.0
2025-08-28,SLIS,70.0,72.0,68.0,69.0,30262500.0
2025-08-29,SLIS,70.0,71.0,59.0,64.0,49188300.0
2025-09-01,SLIS,60.0,86.0,59.0,86.0,1100847800.0
2025-09-02,SLIS,100.0,116.0,92.0,105.0,1798415300.0
2025-09-03,SLIS,105.0,105.0,105.0,105.0,0.0
2025-09-04,SLIS,101.0,104.0,90.0,90.0,470619800.0
2025-09-08,SLIS,90.0,96.0,86.0,88.0,189535200.0
2025-09-09,SLIS,89.0,91.0,80.0,83.0,73800100.0
2025-09-10,SLIS,85.0,108.0,81.0,104.0,1100488600.0
2025-09-11,SLIS,107.0,115.0,100.0,102.0,606195100.0
2025-09-12,SLIS,103.0,107.0,95.0,104.0,125585000.0
2025-09-15,SLIS,105.0,106.0,98.0,99.0,57125900.0
2025-09-16,SLIS,99.0,102.0,97.0,101.0,55657600.0
2025-09-17,SLIS,101.0,102.0,97.0,98.0,38064800.0
2025-09-18,SLIS,99.0,112.0,98.0,100.0,443015400.0
2025-09-19,SLIS,101.0,105.0,99.0,99.0,40067400.0
2025-09-22,SLIS,101.0,101.0,94.0,94.0,50317100.0
2025-09-23,SLIS,94.0,95.0,92.0,93.0,36813800.0
2025-09-24,SLIS,93.0,94.0,89.0,89.0,33621600.0
2025-09-25,SLIS,89.0,92.0,84.0,88.0,39497300.0
2025-09-26,SLIS,88.0,103.0,86.0,97.0,291112900.0
2025-09-29,SLIS,96.0,97.0,91.0,93.0,49746700.0
2025-09-30,SLIS,93.0,94.0,90.0,91.0,23659100.0
2025-10-01,SLIS,92.0,93.0,90.0,91.0,11494500.0
2025-10-02,SLIS,92.0,94.0,89.0,89.0,26987300.0
2025-10-03,SLIS,91.0,91.0,87.0,88.0,31809400.0
2025-10-06,SLIS,89.0,89.0,84.0,85.0,26600500.0
2025-10-07,SLIS,85.0,92.0,84.0,87.0,56330300.0
