Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,SMDR,285.39107105567024,312.38752372309847,285.39107105567024,306.6025695800781,86858100.0
2025-06-16,SMDR,316.2441598184454,329.7423861521595,306.6025695800781,306.6025695800781,133350800.0
2025-06-17,SMDR,306.60255512438323,333.599006518983,295.03264738384047,329.74237060546875,108691900.0
2025-06-18,SMDR,331.67068856222585,345.16891425952576,320.1007808216831,329.74237060546875,112179300.0
2025-06-19,SMDR,329.74234943389894,329.74234943389894,302.74589977264407,308.5308532714844,61286800.0
2025-06-20,SMDR,308.5308979832849,333.59903344442677,306.6025798708893,331.67071533203125,125095500.0
2025-06-23,SMDR,339.38397216796875,354.8105163574219,337.4556541442871,354.8105163574219,262850300.0
2025-06-24,SMDR,337.45565814172437,341.31229423477265,312.3875235369105,322.02911376953125,112122700.0
2025-06-25,SMDR,323.9574402244228,323.9574402244228,300.81762306553543,302.7459411621094,49616000.0
2025-06-26,SMDR,304.6742515324047,314.3158417707719,304.6742515324047,306.6025695800781,24131500.0
2025-06-30,SMDR,308.53086813902246,310.45918606489136,300.8175964355469,300.8175964355469,22528000.0
2025-07-01,SMDR,302.74590576171875,310.45917724609376,285.391044921875,289.2476806640625,37768900.0
2025-07-02,SMDR,291.1760331736315,302.74594177655723,287.31939697265625,287.31939697265625,31287100.0
2025-07-03,SMDR,291.1760178110958,296.96097180734273,289.2476998123468,295.03265380859375,16548200.0
2025-07-04,SMDR,296.9609533382367,304.6742248535156,295.032635459417,304.6742248535156,25074400.0
2025-07-07,SMDR,306.6025619980711,312.38751599803476,304.6742439980833,310.4591979980469,38600800.0
2025-07-08,SMDR,310.45917848997476,312.3874963687945,302.7459069746959,304.6742248535156,26057100.0
2025-07-09,SMDR,307.6515178560461,319.5606088698285,303.6818208514519,315.5909118652344,25213300.0
2025-07-10,SMDR,315.5909243327815,331.4697129784561,311.62122717136293,325.5151672363281,40591200.0
2025-07-11,SMDR,327.5000169542101,329.48486554181136,319.560622603805,321.54547119140625,17708600.0
2025-07-14,SMDR,321.5454414367676,337.4242286682129,317.57574462890625,317.57574462890625,25597800.0
2025-07-15,SMDR,319.5606214942002,325.5151672363281,307.6515300099443,325.5151672363281,22117800.0
2025-07-16,SMDR,325.51515244560005,329.48484942664396,319.5606069740342,323.5303039550781,19309400.0
2025-07-17,SMDR,327.5000158170375,327.5000158170375,319.5606214942002,325.5151672363281,8654300.0
2025-07-18,SMDR,333.45454452423274,353.30302931734184,329.48484756561095,331.4696960449219,82441700.0
2025-07-21,SMDR,331.4697086422942,343.3787999707599,327.5000115328057,341.3939514160156,43689200.0
2025-07-22,SMDR,343.37878507201435,347.3484820092631,333.45454272889253,339.4090881347656,44369900.0
2025-07-23,SMDR,347.3484919621394,365.2121286916209,341.3939463856456,361.242431640625,121552500.0
2025-07-24,SMDR,365.2121172778179,367.1969657412843,337.42423878928827,343.3787841796875,72227200.0
2025-07-25,SMDR,343.3787859854613,343.3787859854613,329.4848466681305,335.43939208984375,27434100.0
2025-07-28,SMDR,337.42425537109375,343.37880105411307,335.43940681008735,337.42425537109375,19484100.0
2025-07-29,SMDR,337.42423878928827,349.3333295700867,329.4848449354227,343.3787841796875,55785700.0
2025-07-30,SMDR,347.34849817612593,351.3181952981388,335.43940681008735,337.42425537109375,31929000.0
2025-07-31,SMDR,335.4394101398747,341.3939558820027,319.5606214942002,325.5151672363281,41814000.0
2025-08-01,SMDR,327.5,331.469696969697,325.5151515151515,327.5,21146900.0
2025-08-04,SMDR,327.5000115328057,345.3636485255042,323.5303144233171,341.3939514160156,38309900.0
2025-08-05,SMDR,341.3939524931066,347.34849817612593,335.43940681008735,337.42425537109375,25123800.0
2025-08-06,SMDR,337.42425537109375,339.4091039321002,331.4697096880745,337.42425537109375,18579400.0
2025-08-07,SMDR,337.42424242424244,339.40909090909093,325.5151515151515,327.5,38728100.0
2025-08-08,SMDR,330.0,334.0,322.0,330.0,20613400.0
2025-08-11,SMDR,330.0,346.0,330.0,342.0,33655700.0
2025-08-12,SMDR,342.0,352.0,340.0,348.0,36859100.0
2025-08-13,SMDR,350.0,352.0,346.0,348.0,26466800.0
2025-08-14,SMDR,354.0,356.0,344.0,348.0,22444400.0
2025-08-15,SMDR,348.0,350.0,336.0,336.0,23224700.0
2025-08-19,SMDR,336.0,344.0,332.0,334.0,35085100.0
2025-08-20,SMDR,334.0,342.0,332.0,334.0,32380700.0
2025-08-21,SMDR,336.0,342.0,334.0,340.0,14937400.0
2025-08-22,SMDR,342.0,356.0,342.0,346.0,62959600.0
2025-08-25,SMDR,348.0,354.0,344.0,344.0,30325600.0
2025-08-26,SMDR,344.0,348.0,342.0,346.0,18139800.0
2025-08-27,SMDR,348.0,362.0,344.0,350.0,64765800.0
2025-08-28,SMDR,350.0,356.0,338.0,344.0,52478600.0
2025-08-29,SMDR,342.0,342.0,326.0,342.0,53933400.0
2025-09-01,SMDR,328.0,334.0,316.0,324.0,70625000.0
2025-09-02,SMDR,328.0,340.0,326.0,336.0,24870600.0
2025-09-03,SMDR,336.0,350.0,336.0,340.0,31139600.0
2025-09-04,SMDR,342.0,344.0,334.0,336.0,13793700.0
2025-09-08,SMDR,336.0,338.0,328.0,328.0,25693100.0
2025-09-09,SMDR,328.0,332.0,322.0,324.0,20554500.0
2025-09-10,SMDR,326.0,336.0,326.0,330.0,13173900.0
2025-09-11,SMDR,334.0,336.0,330.0,330.0,11195800.0
2025-09-12,SMDR,332.0,336.0,330.0,336.0,8413500.0
2025-09-15,SMDR,336.0,342.0,332.0,338.0,18276000.0
2025-09-16,SMDR,342.0,342.0,334.0,334.0,10287100.0
2025-09-17,SMDR,334.0,336.0,328.0,332.0,11757900.0
2025-09-18,SMDR,332.0,334.0,328.0,328.0,9666700.0
2025-09-19,SMDR,328.0,330.0,324.0,324.0,16711200.0
2025-09-22,SMDR,326.0,330.0,320.0,324.0,13622500.0
2025-09-23,SMDR,324.0,326.0,320.0,324.0,16871900.0
2025-09-24,SMDR,326.0,326.0,320.0,320.0,12842600.0
2025-09-25,SMDR,320.0,322.0,318.0,320.0,11457600.0
2025-09-26,SMDR,320.0,324.0,318.0,318.0,8726800.0
2025-09-29,SMDR,320.0,324.0,316.0,318.0,20292200.0
2025-09-30,SMDR,318.0,326.0,316.0,318.0,18426000.0
2025-10-01,SMDR,316.0,322.0,314.0,316.0,18185700.0
2025-10-02,SMDR,316.0,316.0,310.0,312.0,13561100.0
2025-10-03,SMDR,312.0,312.0,304.0,310.0,18102100.0
2025-10-06,SMDR,310.0,312.0,302.0,304.0,20929800.0
2025-10-07,SMDR,304.0,306.0,302.0,302.0,13306900.0
2025-10-08,SMDR,302.0,306.0,300.0,300.0,18536400.0
2025-10-09,SMDR,300.0,306.0,300.0,306.0,18362600.0
2025-10-10,SMDR,308.0,322.0,306.0,310.0,32456200.0
2025-10-13,SMDR,306.0,316.0,300.0,306.0,17448500.0
2025-10-14,SMDR,310.0,312.0,300.0,304.0,23645400.0
