Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,SMKM,82.0,82.0,75.0,77.0,8963900.0
2025-06-16,SMKM,77.0,78.0,71.0,72.0,10964200.0
2025-06-17,SMKM,72.0,79.0,70.0,74.0,20297400.0
2025-06-18,SMKM,75.0,77.0,69.0,72.0,23714800.0
2025-06-19,SMKM,72.0,72.0,68.0,70.0,8058100.0
2025-06-20,SMKM,69.0,77.0,68.0,77.0,10958600.0
2025-06-23,SMKM,78.0,84.0,70.0,73.0,25565900.0
2025-06-24,SMKM,73.0,80.0,71.0,72.0,19855300.0
2025-06-25,SMKM,72.0,74.0,71.0,73.0,6079100.0
2025-06-26,SMKM,75.0,75.0,70.0,73.0,6123800.0
2025-06-30,SMKM,71.0,77.0,69.0,76.0,12429400.0
2025-07-01,SMKM,76.0,77.0,73.0,75.0,5738000.0
2025-07-02,SMKM,77.0,82.0,75.0,82.0,41727000.0
2025-07-03,SMKM,83.0,85.0,78.0,83.0,9163000.0
2025-07-04,SMKM,84.0,84.0,79.0,81.0,4162600.0
2025-07-07,SMKM,81.0,81.0,75.0,77.0,9662900.0
2025-07-08,SMKM,76.0,79.0,75.0,77.0,2471500.0
2025-07-09,SMKM,77.0,80.0,77.0,77.0,3101800.0
2025-07-10,SMKM,78.0,79.0,76.0,78.0,2983600.0
2025-07-11,SMKM,78.0,78.0,77.0,78.0,2271800.0
2025-07-14,SMKM,78.0,79.0,74.0,77.0,9155000.0
2025-07-15,SMKM,73.0,77.0,71.0,74.0,7218800.0
2025-07-16,SMKM,75.0,75.0,71.0,72.0,6551600.0
2025-07-17,SMKM,72.0,73.0,68.0,72.0,12104500.0
2025-07-18,SMKM,71.0,71.0,69.0,71.0,5063100.0
2025-07-21,SMKM,71.0,71.0,69.0,69.0,4062600.0
2025-07-22,SMKM,69.0,71.0,64.0,66.0,7325100.0
2025-07-23,SMKM,67.0,72.0,67.0,72.0,10293200.0
2025-07-24,SMKM,79.0,79.0,72.0,74.0,19623800.0
