Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,SMMT,930.0,990.0,890.0,895.0,24700.0
2025-06-16,SMMT,920.0,940.0,830.0,895.0,147900.0
2025-06-17,SMMT,895.0,935.0,860.0,865.0,129500.0
2025-06-18,SMMT,875.0,880.0,865.0,865.0,18400.0
2025-06-19,SMMT,865.0,875.0,840.0,840.0,37000.0
2025-06-20,SMMT,840.0,865.0,830.0,835.0,143100.0
2025-06-23,SMMT,830.0,850.0,825.0,845.0,84000.0
2025-06-24,SMMT,840.0,855.0,840.0,850.0,111100.0
2025-06-25,SMMT,850.0,850.0,850.0,850.0,16500.0
2025-06-26,SMMT,850.0,850.0,850.0,850.0,49200.0
2025-06-30,SMMT,850.0,895.0,850.0,895.0,22600.0
2025-07-01,SMMT,895.0,895.0,865.0,880.0,900.0
2025-07-02,SMMT,855.0,875.0,855.0,855.0,700.0
2025-07-03,SMMT,855.0,855.0,840.0,840.0,26600.0
2025-07-04,SMMT,890.0,890.0,835.0,845.0,23400.0
2025-07-07,SMMT,840.0,865.0,835.0,840.0,15900.0
2025-07-08,SMMT,835.0,870.0,835.0,840.0,9100.0
2025-07-09,SMMT,840.0,840.0,840.0,840.0,600.0
2025-07-10,SMMT,840.0,880.0,840.0,840.0,14100.0
2025-07-11,SMMT,840.0,840.0,840.0,840.0,18900.0
2025-07-14,SMMT,840.0,855.0,840.0,850.0,29700.0
2025-07-15,SMMT,850.0,850.0,840.0,840.0,121500.0
2025-07-16,SMMT,850.0,850.0,840.0,840.0,4700.0
2025-07-17,SMMT,840.0,850.0,835.0,840.0,62200.0
2025-07-18,SMMT,835.0,850.0,830.0,835.0,237900.0
2025-07-21,SMMT,840.0,900.0,840.0,895.0,91900.0
2025-07-22,SMMT,895.0,905.0,870.0,875.0,50000.0
2025-07-23,SMMT,880.0,880.0,855.0,855.0,43200.0
2025-07-24,SMMT,850.0,890.0,850.0,860.0,6600.0
2025-07-25,SMMT,870.0,885.0,870.0,870.0,6500.0
2025-07-28,SMMT,925.0,1085.0,900.0,1085.0,1107900.0
2025-07-29,SMMT,1280.0,1355.0,1010.0,1100.0,5214000.0
2025-07-30,SMMT,1095.0,1160.0,1010.0,1145.0,2093800.0
2025-07-31,SMMT,1145.0,1190.0,1120.0,1150.0,1109800.0
2025-08-01,SMMT,1165.0,1250.0,1050.0,1225.0,1065600.0
2025-08-04,SMMT,1290.0,1300.0,1125.0,1190.0,811000.0
2025-08-05,SMMT,1200.0,1200.0,1050.0,1130.0,899800.0
2025-08-06,SMMT,1130.0,1130.0,1040.0,1060.0,671900.0
2025-08-07,SMMT,1090.0,1090.0,990.0,1020.0,462500.0
2025-08-08,SMMT,1010.0,1020.0,990.0,1015.0,212300.0
2025-08-11,SMMT,1015.0,1015.0,985.0,1005.0,98300.0
2025-08-12,SMMT,1000.0,1045.0,990.0,1020.0,126600.0
2025-08-13,SMMT,1020.0,1020.0,965.0,995.0,269700.0
2025-08-14,SMMT,995.0,1000.0,990.0,995.0,70100.0
2025-08-15,SMMT,995.0,1010.0,995.0,1000.0,41000.0
2025-08-19,SMMT,1000.0,1045.0,965.0,1000.0,210300.0
2025-08-20,SMMT,1015.0,1015.0,970.0,995.0,168400.0
2025-08-21,SMMT,995.0,1005.0,965.0,970.0,199000.0
2025-08-22,SMMT,970.0,1000.0,970.0,1000.0,61600.0
2025-08-25,SMMT,1000.0,1005.0,985.0,1005.0,93700.0
2025-08-26,SMMT,1005.0,1200.0,1000.0,1135.0,1290000.0
2025-08-27,SMMT,1100.0,1300.0,1100.0,1120.0,983500.0
2025-08-28,SMMT,1145.0,1175.0,1075.0,1090.0,582400.0
2025-08-29,SMMT,1115.0,1115.0,1060.0,1060.0,64100.0
2025-09-01,SMMT,1060.0,1060.0,985.0,1010.0,158200.0
2025-09-02,SMMT,1055.0,1100.0,1015.0,1025.0,50200.0
2025-09-03,SMMT,1045.0,1100.0,1045.0,1090.0,195000.0
2025-09-04,SMMT,1095.0,1270.0,1095.0,1210.0,1336500.0
2025-09-08,SMMT,1210.0,1510.0,1210.0,1305.0,3888200.0
2025-09-09,SMMT,1310.0,1345.0,1165.0,1270.0,792400.0
2025-09-10,SMMT,1270.0,1365.0,1170.0,1195.0,1891300.0
2025-09-11,SMMT,1195.0,1205.0,1170.0,1205.0,368900.0
2025-09-12,SMMT,1210.0,1215.0,1200.0,1210.0,224800.0
2025-09-15,SMMT,1210.0,1240.0,1210.0,1210.0,262300.0
2025-09-16,SMMT,1210.0,1215.0,1200.0,1200.0,517400.0
2025-09-17,SMMT,1200.0,1210.0,1180.0,1185.0,672400.0
2025-09-18,SMMT,1190.0,1195.0,1180.0,1190.0,406500.0
2025-09-19,SMMT,1195.0,1195.0,1180.0,1190.0,165200.0
2025-09-22,SMMT,1190.0,1190.0,1030.0,1090.0,576500.0
2025-09-23,SMMT,1125.0,1185.0,1125.0,1135.0,109400.0
2025-09-24,SMMT,1135.0,1380.0,1135.0,1200.0,679900.0
2025-09-25,SMMT,1200.0,1200.0,1160.0,1160.0,77100.0
2025-09-26,SMMT,1300.0,1300.0,1175.0,1180.0,137100.0
2025-09-29,SMMT,1175.0,1180.0,1150.0,1155.0,167600.0
2025-09-30,SMMT,1200.0,1220.0,1095.0,1125.0,729400.0
2025-10-01,SMMT,1155.0,1270.0,1130.0,1205.0,747200.0
2025-10-02,SMMT,1210.0,1270.0,1160.0,1190.0,1984000.0
2025-10-03,SMMT,1260.0,1300.0,1185.0,1200.0,973800.0
2025-10-06,SMMT,1210.0,1500.0,1210.0,1410.0,5255500.0
2025-10-07,SMMT,1420.0,1435.0,1310.0,1360.0,1059800.0
2025-10-08,SMMT,1400.0,1400.0,1310.0,1350.0,402900.0
2025-10-09,SMMT,1410.0,1590.0,1355.0,1410.0,920800.0
2025-10-10,SMMT,1430.0,1430.0,1350.0,1375.0,391000.0
2025-10-13,SMMT,1360.0,1415.0,1345.0,1385.0,178600.0
2025-10-14,SMMT,1400.0,1485.0,1330.0,1330.0,839800.0
2025-10-15,SMMT,1375.0,1380.0,1335.0,1375.0,61400.0
2025-10-16,SMMT,1350.0,1380.0,1330.0,1355.0,61100.0
2025-10-17,SMMT,1360.0,1405.0,1335.0,1340.0,266900.0
2025-10-20,SMMT,1340.0,1400.0,1315.0,1360.0,453400.0
2025-10-21,SMMT,1345.0,1450.0,1345.0,1400.0,208000.0
2025-10-22,SMMT,1400.0,1400.0,1370.0,1375.0,57600.0
2025-10-23,SMMT,1360.0,1455.0,1335.0,1340.0,317000.0
2025-10-24,SMMT,1350.0,1455.0,1350.0,1445.0,352700.0
2025-10-27,SMMT,1455.0,1765.0,1450.0,1635.0,2230600.0
2025-10-28,SMMT,1900.0,2040.0,1685.0,1965.0,4768600.0
2025-10-29,SMMT,1950.0,1955.0,1820.0,1840.0,965600.0
2025-10-30,SMMT,1840.0,1900.0,1715.0,1790.0,568200.0
2025-10-31,SMMT,1790.0,2060.0,1730.0,1890.0,922500.0
2025-11-03,SMMT,1895.0,1915.0,1660.0,1710.0,1563700.0
2025-11-04,SMMT,1710.0,1745.0,1620.0,1665.0,319700.0
2025-11-05,SMMT,1650.0,1745.0,1630.0,1720.0,425600.0
2025-11-06,SMMT,1740.0,1975.0,1720.0,1900.0,1598700.0
2025-11-07,SMMT,1900.0,1900.0,1680.0,1710.0,2656100.0
2025-11-10,SMMT,1750.0,1750.0,1655.0,1705.0,568300.0
2025-11-11,SMMT,1705.0,1705.0,1580.0,1670.0,565900.0
2025-11-12,SMMT,1670.0,1700.0,1650.0,1700.0,441100.0
2025-11-13,SMMT,1700.0,1720.0,1655.0,1685.0,131900.0
