Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,SMRU,50.0,50.0,50.0,50.0,0.0
2025-06-16,SMRU,50.0,50.0,50.0,50.0,0.0
2025-06-17,SMRU,50.0,50.0,50.0,50.0,0.0
2025-06-18,SMRU,50.0,50.0,50.0,50.0,0.0
2025-06-19,SMRU,50.0,50.0,50.0,50.0,0.0
2025-06-20,SMRU,50.0,50.0,50.0,50.0,0.0
2025-06-23,SMRU,50.0,50.0,50.0,50.0,0.0
2025-06-24,SMRU,50.0,50.0,50.0,50.0,0.0
2025-06-25,SMRU,50.0,50.0,50.0,50.0,0.0
2025-06-26,SMRU,50.0,50.0,50.0,50.0,0.0
2025-06-30,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-01,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-02,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-03,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-04,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-07,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-08,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-09,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-10,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-11,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-14,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-15,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-16,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-17,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-18,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-21,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-22,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-23,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-24,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-25,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-28,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-29,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-30,SMRU,50.0,50.0,50.0,50.0,0.0
2025-07-31,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-01,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-04,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-05,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-06,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-07,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-08,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-11,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-12,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-13,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-14,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-15,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-19,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-20,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-21,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-22,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-25,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-26,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-27,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-28,SMRU,50.0,50.0,50.0,50.0,0.0
2025-08-29,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-01,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-02,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-03,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-04,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-08,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-09,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-10,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-11,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-12,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-15,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-16,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-17,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-18,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-19,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-22,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-23,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-24,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-25,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-26,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-29,SMRU,50.0,50.0,50.0,50.0,0.0
2025-09-30,SMRU,50.0,50.0,50.0,50.0,0.0
2025-10-01,SMRU,50.0,50.0,50.0,50.0,0.0
2025-10-02,SMRU,50.0,50.0,50.0,50.0,0.0
2025-10-03,SMRU,50.0,50.0,50.0,50.0,0.0
2025-10-06,SMRU,50.0,50.0,50.0,50.0,0.0
2025-10-07,SMRU,50.0,50.0,50.0,50.0,0.0
2025-10-08,SMRU,50.0,50.0,50.0,50.0,0.0
2025-10-09,SMRU,50.0,50.0,50.0,50.0,0.0
2025-10-10,SMRU,50.0,50.0,50.0,50.0,0.0
2025-10-13,SMRU,50.0,50.0,50.0,50.0,0.0
