Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,SOCI,158.11764688886834,175.90588216386604,158.11764688886834,167.0117645263672,12008900.0
2025-06-16,SOCI,168.00000137157656,183.81176620654847,167.0117660693908,175.9058837890625,35870900.0
2025-06-17,SOCI,176.89411891786392,177.88235421908104,170.96470711056122,174.9176483154297,5753500.0
2025-06-18,SOCI,175.9058836166468,180.8470601227324,173.92941301421257,174.9176483154297,9740200.0
2025-06-19,SOCI,174.91764629318052,176.8941168727645,164.04705810546875,164.04705810546875,8180300.0
2025-06-20,SOCI,164.04705882352943,168.98823529411766,162.0705882352941,168.0,7584900.0
2025-06-23,SOCI,172.94117870226583,184.80000238470694,168.98823747478548,180.84706115722656,41701400.0
2025-06-24,SOCI,174.9176474282908,174.9176474282908,167.01176505865052,169.97647094726562,16346000.0
2025-06-25,SOCI,168.9882354736328,169.97647076880025,165.03529429296304,168.9882354736328,5045500.0
2025-06-26,SOCI,168.9882356510606,171.9529415396757,166.0235297624455,169.97647094726562,3655200.0
2025-06-30,SOCI,169.97647076880025,172.94117665430258,168.00000017846537,168.9882354736328,2227400.0
2025-07-01,SOCI,170.9647060639677,170.9647060639677,167.01176488329793,168.9882354736328,3448800.0
2025-07-02,SOCI,168.0,169.97647058823532,168.0,168.0,1970700.0
2025-07-03,SOCI,171.0,171.0,168.0,169.0,1279700.0
2025-07-04,SOCI,169.0,170.0,167.0,169.0,1568200.0
2025-07-07,SOCI,167.0,169.0,167.0,167.0,1297800.0
2025-07-08,SOCI,167.0,170.0,167.0,170.0,1406700.0
2025-07-09,SOCI,171.0,171.0,168.0,171.0,692800.0
2025-07-10,SOCI,171.0,173.0,169.0,171.0,1046900.0
2025-07-11,SOCI,172.0,172.0,169.0,170.0,686100.0
2025-07-14,SOCI,170.0,172.0,169.0,170.0,849900.0
2025-07-15,SOCI,172.0,172.0,168.0,172.0,1930000.0
2025-07-16,SOCI,172.0,175.0,171.0,172.0,2287000.0
2025-07-17,SOCI,175.0,175.0,172.0,174.0,2172900.0
2025-07-18,SOCI,176.0,176.0,172.0,172.0,2041500.0
2025-07-21,SOCI,172.0,173.0,169.0,171.0,1830400.0
2025-07-22,SOCI,171.0,172.0,168.0,171.0,2446100.0
2025-07-23,SOCI,171.0,174.0,170.0,172.0,3711800.0
2025-07-24,SOCI,174.0,176.0,172.0,175.0,2297900.0
2025-07-25,SOCI,175.0,179.0,175.0,177.0,6803300.0
2025-07-28,SOCI,179.0,183.0,178.0,181.0,5706800.0
2025-07-29,SOCI,178.0,182.0,175.0,180.0,14576200.0
2025-07-30,SOCI,181.0,187.0,178.0,181.0,11210800.0
2025-07-31,SOCI,182.0,185.0,180.0,180.0,3704100.0
2025-08-01,SOCI,179.0,185.0,179.0,182.0,2191600.0
2025-08-04,SOCI,181.0,192.0,181.0,185.0,13188600.0
2025-08-05,SOCI,186.0,188.0,182.0,182.0,4120600.0
2025-08-06,SOCI,184.0,186.0,179.0,184.0,6801200.0
2025-08-07,SOCI,184.0,184.0,180.0,183.0,3084000.0
2025-08-08,SOCI,183.0,183.0,177.0,182.0,4840600.0
2025-08-11,SOCI,184.0,184.0,181.0,182.0,835000.0
2025-08-12,SOCI,182.0,182.0,180.0,181.0,1907000.0
2025-08-13,SOCI,181.0,182.0,178.0,179.0,4503800.0
2025-08-14,SOCI,179.0,180.0,178.0,178.0,2764600.0
2025-08-15,SOCI,179.0,179.0,176.0,177.0,1607900.0
2025-08-19,SOCI,177.0,179.0,176.0,176.0,2111200.0
2025-08-20,SOCI,176.0,181.0,176.0,179.0,2207200.0
2025-08-21,SOCI,179.0,188.0,179.0,187.0,9232400.0
2025-08-22,SOCI,188.0,190.0,182.0,183.0,7334500.0
2025-08-25,SOCI,181.0,188.0,181.0,186.0,4581800.0
2025-08-26,SOCI,186.0,190.0,184.0,187.0,5952500.0
2025-08-27,SOCI,188.0,195.0,185.0,193.0,14301300.0
2025-08-28,SOCI,193.0,196.0,187.0,195.0,12583500.0
2025-08-29,SOCI,195.0,195.0,180.0,188.0,10304100.0
2025-09-01,SOCI,186.0,186.0,178.0,184.0,10562200.0
2025-09-02,SOCI,184.0,192.0,184.0,191.0,9789800.0
2025-09-03,SOCI,192.0,204.0,191.0,192.0,21178600.0
2025-09-04,SOCI,192.0,196.0,190.0,193.0,6678000.0
2025-09-08,SOCI,194.0,199.0,190.0,190.0,7898100.0
2025-09-09,SOCI,190.0,194.0,187.0,190.0,6974700.0
2025-09-10,SOCI,190.0,192.0,187.0,191.0,3597100.0
2025-09-11,SOCI,191.0,193.0,190.0,192.0,2668100.0
2025-09-12,SOCI,191.0,195.0,190.0,194.0,5253800.0
2025-09-15,SOCI,194.0,212.0,194.0,208.0,51061700.0
2025-09-16,SOCI,210.0,218.0,202.0,204.0,27865400.0
2025-09-17,SOCI,208.0,210.0,200.0,208.0,17671500.0
2025-09-18,SOCI,210.0,214.0,204.0,206.0,9312200.0
2025-09-19,SOCI,206.0,208.0,202.0,204.0,7053300.0
2025-09-22,SOCI,206.0,212.0,204.0,206.0,13865200.0
2025-09-23,SOCI,206.0,208.0,204.0,204.0,11751500.0
2025-09-24,SOCI,206.0,206.0,200.0,202.0,8787900.0
2025-09-25,SOCI,202.0,202.0,195.0,200.0,9165600.0
2025-09-26,SOCI,200.0,204.0,197.0,199.0,5767000.0
2025-09-29,SOCI,200.0,204.0,199.0,202.0,7507000.0
2025-09-30,SOCI,202.0,202.0,198.0,199.0,4708200.0
2025-10-01,SOCI,199.0,202.0,199.0,202.0,3352400.0
2025-10-02,SOCI,202.0,206.0,199.0,204.0,8248300.0
2025-10-03,SOCI,204.0,206.0,200.0,206.0,6053000.0
2025-10-06,SOCI,208.0,216.0,204.0,204.0,23959000.0
2025-10-07,SOCI,204.0,204.0,196.0,198.0,9660900.0
2025-10-08,SOCI,198.0,200.0,193.0,195.0,10346400.0
2025-10-09,SOCI,198.0,210.0,197.0,202.0,15569400.0
2025-10-10,SOCI,206.0,210.0,202.0,208.0,8818700.0
2025-10-13,SOCI,206.0,236.0,202.0,226.0,105354600.0
2025-10-14,SOCI,230.0,232.0,212.0,218.0,23937900.0
2025-10-15,SOCI,220.0,224.0,208.0,210.0,11738700.0
