Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,SRSN,49.0,49.98,49.0,49.0,3084900.0
2025-06-16,SRSN,49.0,49.0,49.0,49.0,1229700.0
2025-06-17,SRSN,49.0,49.0,49.0,49.0,803900.0
2025-06-18,SRSN,49.0,49.0,49.0,49.0,795800.0
2025-06-19,SRSN,49.0,49.98,49.0,49.0,1620900.0
2025-06-20,SRSN,49.0,49.0,49.0,49.0,137700.0
2025-06-23,SRSN,49.0,49.0,49.0,49.0,118400.0
2025-06-24,SRSN,49.0,49.0,49.0,49.0,1171800.0
2025-06-25,SRSN,49.0,49.0,49.0,49.0,403700.0
2025-06-26,SRSN,50.0,50.0,50.0,50.0,34000.0
2025-06-30,SRSN,50.0,50.0,50.0,50.0,25400.0
2025-07-01,SRSN,50.0,50.0,50.0,50.0,2179800.0
2025-07-02,SRSN,50.0,50.0,50.0,50.0,10400.0
2025-07-03,SRSN,50.0,50.0,50.0,50.0,8700.0
2025-07-04,SRSN,50.0,50.0,50.0,50.0,124800.0
2025-07-07,SRSN,50.0,50.0,50.0,50.0,33200.0
2025-07-08,SRSN,50.0,50.0,50.0,50.0,58500.0
2025-07-09,SRSN,50.0,50.0,50.0,50.0,126900.0
2025-07-10,SRSN,50.0,50.0,50.0,50.0,93200.0
2025-07-11,SRSN,50.0,50.0,50.0,50.0,73300.0
2025-07-14,SRSN,50.0,50.0,50.0,50.0,527500.0
2025-07-15,SRSN,50.0,50.0,50.0,50.0,82100.0
2025-07-16,SRSN,50.0,50.0,50.0,50.0,378800.0
2025-07-17,SRSN,50.0,50.0,50.0,50.0,246900.0
2025-07-18,SRSN,50.0,53.0,50.0,51.0,5651700.0
2025-07-21,SRSN,51.0,51.0,50.0,51.0,3821200.0
2025-07-22,SRSN,50.0,51.0,50.0,51.0,849100.0
2025-07-23,SRSN,51.0,51.0,50.0,51.0,2076600.0
2025-07-24,SRSN,51.0,51.0,50.0,51.0,128700.0
2025-07-25,SRSN,50.0,51.0,50.0,50.0,682200.0
2025-07-28,SRSN,51.0,51.0,50.0,50.0,1279500.0
2025-07-29,SRSN,50.0,51.0,50.0,50.0,179400.0
2025-07-30,SRSN,50.0,51.0,50.0,51.0,241000.0
2025-07-31,SRSN,51.0,51.0,50.0,51.0,3563200.0
2025-08-01,SRSN,51.0,51.0,50.0,51.0,3119400.0
2025-08-04,SRSN,50.0,55.0,50.0,53.0,16224700.0
2025-08-05,SRSN,53.0,53.0,50.0,51.0,5149100.0
2025-08-06,SRSN,51.0,52.0,51.0,51.0,4046300.0
2025-08-07,SRSN,51.0,52.0,51.0,52.0,1101000.0
2025-08-08,SRSN,52.0,54.0,52.0,52.0,6107100.0
2025-08-11,SRSN,52.0,53.0,51.0,52.0,3442700.0
2025-08-12,SRSN,52.0,53.0,51.0,53.0,3334200.0
2025-08-13,SRSN,54.0,60.0,52.0,56.0,68380500.0
2025-08-14,SRSN,58.0,60.0,53.0,54.0,35961400.0
2025-08-15,SRSN,53.0,55.0,53.0,53.0,7481400.0
2025-08-19,SRSN,53.0,55.0,53.0,54.0,4204900.0
2025-08-20,SRSN,54.0,58.0,53.0,58.0,26431700.0
2025-08-21,SRSN,59.0,78.0,59.0,69.0,442580200.0
2025-08-22,SRSN,71.0,74.0,64.0,65.0,129070400.0
2025-08-25,SRSN,67.0,69.0,65.0,68.0,38557600.0
2025-08-26,SRSN,70.0,71.0,63.0,66.0,79649900.0
2025-08-27,SRSN,67.0,67.0,63.0,65.0,30091100.0
2025-08-28,SRSN,65.0,65.0,63.0,64.0,14568300.0
2025-08-29,SRSN,65.0,65.0,58.0,61.0,27594600.0
2025-09-01,SRSN,58.0,66.0,55.0,63.0,57843500.0
2025-09-02,SRSN,64.0,72.0,62.0,71.0,143473000.0
2025-09-03,SRSN,71.0,75.0,66.0,68.0,70046400.0
2025-09-04,SRSN,69.0,79.0,66.0,68.0,174986800.0
2025-09-08,SRSN,69.0,79.0,67.0,69.0,385023000.0
2025-09-09,SRSN,69.0,76.0,67.0,72.0,127043000.0
2025-09-10,SRSN,73.0,73.0,66.0,67.0,61605100.0
2025-09-11,SRSN,67.0,71.0,66.0,68.0,58691900.0
2025-09-12,SRSN,68.0,69.0,65.0,66.0,24332200.0
2025-09-15,SRSN,66.0,70.0,66.0,68.0,61780000.0
