Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,SSIA,1109.299357638889,1129.1082747395833,1094.4426698133682,1114.2515869140625,12370000.0
2025-06-16,SSIA,1134.0605117797852,1188.5350341796875,1109.299365234375,1188.5350341796875,23608200.0
2025-06-17,SSIA,1213.296151968149,1287.57958984375,1168.7260892427885,1287.57958984375,45746200.0
2025-06-18,SSIA,1287.5795732918432,1564.904404462394,1287.5795732918432,1460.9075927734375,156189900.0
2025-06-19,SSIA,1485.668782007734,1505.4776991011706,1441.0987185475021,1480.716552734375,61874800.0
2025-06-20,SSIA,1480.7165476831897,1485.6687769396551,1406.4331088362069,1436.146484375,31091600.0
2025-06-23,SSIA,1436.1464968152866,1599.5700636942674,1411.3853503184714,1555.0,85912600.0
2025-06-24,SSIA,1600.0,1670.0,1505.0,1515.0,71421100.0
2025-06-25,SSIA,1525.0,1570.0,1505.0,1550.0,45739000.0
2025-06-26,SSIA,1565.0,1580.0,1540.0,1550.0,14576600.0
2025-06-30,SSIA,1560.0,1630.0,1560.0,1590.0,20293200.0
2025-07-01,SSIA,1620.0,1715.0,1610.0,1680.0,83443500.0
2025-07-02,SSIA,1680.0,1835.0,1605.0,1735.0,67160700.0
2025-07-03,SSIA,1760.0,1840.0,1745.0,1780.0,32979300.0
2025-07-04,SSIA,1780.0,1780.0,1700.0,1705.0,19345900.0
2025-07-07,SSIA,1725.0,1745.0,1675.0,1675.0,20966200.0
2025-07-08,SSIA,1700.0,1735.0,1665.0,1700.0,22376900.0
2025-07-09,SSIA,1710.0,1745.0,1700.0,1705.0,13723200.0
2025-07-10,SSIA,1725.0,1730.0,1680.0,1680.0,39287300.0
2025-07-11,SSIA,1690.0,2000.0,1680.0,1865.0,123656900.0
2025-07-14,SSIA,1945.0,2330.0,1910.0,2330.0,155065300.0
2025-07-15,SSIA,2380.0,2790.0,2380.0,2740.0,189486000.0
2025-07-16,SSIA,2850.0,2890.0,2460.0,2520.0,147812100.0
2025-07-17,SSIA,2600.0,2680.0,2530.0,2640.0,100990200.0
2025-07-18,SSIA,2980.0,2980.0,2720.0,2850.0,209596900.0
2025-07-21,SSIA,2880.0,3160.0,2880.0,2890.0,155046800.0
2025-07-22,SSIA,2860.0,2910.0,2590.0,2610.0,119578900.0
2025-07-23,SSIA,2610.0,2730.0,2530.0,2560.0,52367700.0
2025-07-24,SSIA,2580.0,2670.0,2560.0,2600.0,42825600.0
2025-07-25,SSIA,2610.0,2650.0,2560.0,2590.0,27756900.0
2025-07-28,SSIA,2620.0,2800.0,2620.0,2680.0,86824300.0
2025-07-29,SSIA,2710.0,2780.0,2660.0,2740.0,68947000.0
2025-07-30,SSIA,2770.0,2790.0,2700.0,2700.0,46901700.0
2025-07-31,SSIA,2740.0,2740.0,2600.0,2600.0,43010300.0
2025-08-01,SSIA,2600.0,2680.0,2560.0,2560.0,37191400.0
2025-08-04,SSIA,2560.0,2580.0,2350.0,2420.0,83341500.0
2025-08-05,SSIA,2400.0,2650.0,2400.0,2640.0,93271900.0
2025-08-06,SSIA,2670.0,2680.0,2600.0,2600.0,48519800.0
2025-08-07,SSIA,2610.0,2640.0,2470.0,2520.0,39880200.0
2025-08-08,SSIA,2540.0,2560.0,2420.0,2500.0,50214900.0
2025-08-11,SSIA,2500.0,2580.0,2500.0,2500.0,24491700.0
2025-08-12,SSIA,2520.0,2530.0,2450.0,2450.0,33831000.0
2025-08-13,SSIA,2460.0,2470.0,2380.0,2420.0,33955800.0
2025-08-14,SSIA,2410.0,2470.0,2390.0,2390.0,18439800.0
2025-08-15,SSIA,2400.0,2440.0,2340.0,2420.0,30274400.0
2025-08-19,SSIA,2440.0,2480.0,2370.0,2380.0,24797900.0
2025-08-20,SSIA,2370.0,2510.0,2360.0,2490.0,41487900.0
2025-08-21,SSIA,2500.0,2520.0,2360.0,2370.0,56231900.0
2025-08-22,SSIA,2390.0,2400.0,2330.0,2340.0,22436600.0
2025-08-25,SSIA,2360.0,2420.0,2340.0,2350.0,29674100.0
2025-08-26,SSIA,2380.0,2450.0,2330.0,2340.0,43158500.0
2025-08-27,SSIA,2340.0,2550.0,2320.0,2450.0,105454600.0
2025-08-28,SSIA,2430.0,2490.0,2390.0,2420.0,41616600.0
2025-08-29,SSIA,2390.0,2440.0,2300.0,2340.0,49184800.0
2025-09-01,SSIA,2260.0,2310.0,2170.0,2250.0,28156000.0
2025-09-02,SSIA,2270.0,2330.0,2270.0,2310.0,19661200.0
2025-09-03,SSIA,2330.0,2330.0,2230.0,2230.0,20267900.0
