Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,SULI,100.0,100.0,96.0,96.0,1757000.0
2025-06-16,SULI,98.0,99.0,91.0,94.0,3703900.0
2025-06-17,SULI,93.0,94.0,91.0,93.0,2221000.0
2025-06-18,SULI,93.0,102.0,92.0,97.0,9066800.0
2025-06-19,SULI,109.0,122.0,101.0,109.0,132484800.0
2025-06-20,SULI,109.0,116.0,101.0,103.0,26991200.0
2025-06-23,SULI,105.0,111.0,103.0,105.0,8154000.0
2025-06-24,SULI,105.0,115.0,101.0,109.0,6636300.0
2025-06-25,SULI,109.0,115.0,105.0,108.0,6739000.0
2025-06-26,SULI,109.0,112.0,104.0,105.0,5406600.0
2025-06-30,SULI,106.0,114.0,106.0,114.0,16294600.0
2025-07-01,SULI,111.0,116.0,109.0,109.0,8901900.0
2025-07-02,SULI,108.0,115.0,108.0,109.0,7039300.0
2025-07-03,SULI,109.0,112.0,109.0,110.0,1600300.0
2025-07-04,SULI,112.0,112.0,110.0,111.0,1173500.0
2025-07-07,SULI,110.0,120.0,106.0,113.0,8523800.0
2025-07-08,SULI,109.0,112.0,106.0,109.0,4599200.0
2025-07-09,SULI,109.0,111.0,107.0,109.0,1103600.0
2025-07-10,SULI,110.0,112.0,107.0,108.0,3738100.0
2025-07-11,SULI,108.0,109.0,107.0,107.0,494100.0
2025-07-14,SULI,106.0,108.0,103.0,107.0,2003900.0
2025-07-15,SULI,107.0,107.0,103.0,104.0,491800.0
2025-07-16,SULI,103.0,108.0,101.0,105.0,1400800.0
2025-07-17,SULI,103.0,110.0,103.0,106.0,953800.0
2025-07-18,SULI,106.0,112.0,105.0,110.0,4079300.0
2025-07-21,SULI,112.0,113.0,110.0,111.0,2785500.0
2025-07-22,SULI,111.0,114.0,108.0,114.0,5420300.0
2025-07-23,SULI,114.0,114.0,109.0,110.0,1297600.0
2025-07-24,SULI,109.0,112.0,106.0,110.0,976700.0
2025-07-25,SULI,108.0,110.0,107.0,108.0,1156300.0
2025-07-28,SULI,107.0,108.0,104.0,106.0,1349800.0
2025-07-29,SULI,107.0,108.0,104.0,107.0,600500.0
2025-07-30,SULI,107.0,108.0,104.0,104.0,1551200.0
2025-07-31,SULI,105.0,108.0,103.0,104.0,1236500.0
2025-08-01,SULI,105.0,106.0,103.0,105.0,645600.0
2025-08-04,SULI,105.0,107.0,104.0,105.0,420500.0
2025-08-05,SULI,105.0,105.0,101.0,104.0,452200.0
2025-08-06,SULI,103.0,107.0,103.0,103.0,185900.0
2025-08-07,SULI,104.0,105.0,102.0,103.0,815800.0
2025-08-08,SULI,102.0,105.0,102.0,102.0,862600.0
2025-08-11,SULI,105.0,106.0,101.0,103.0,799300.0
2025-08-12,SULI,102.0,105.0,101.0,104.0,555600.0
2025-08-13,SULI,102.0,105.0,102.0,104.0,434200.0
2025-08-14,SULI,105.0,106.0,104.0,106.0,219700.0
2025-08-15,SULI,106.0,106.0,104.0,104.0,221700.0
2025-08-19,SULI,105.0,109.0,105.0,108.0,1585900.0
2025-08-20,SULI,108.0,111.0,105.0,110.0,5065800.0
2025-08-21,SULI,111.0,111.0,108.0,110.0,1613100.0
2025-08-22,SULI,110.0,110.0,108.0,110.0,404900.0
2025-08-25,SULI,110.0,110.0,105.0,108.0,2290900.0
2025-08-26,SULI,107.0,108.0,105.0,108.0,503000.0
