Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,SWID,61.0,62.0,60.0,61.0,369200.0
2025-06-16,SWID,61.0,63.0,60.0,62.0,311100.0
2025-06-17,SWID,61.0,62.0,60.0,61.0,135400.0
2025-06-18,SWID,60.0,64.0,60.0,61.0,422700.0
2025-06-19,SWID,61.0,62.0,58.0,60.0,444600.0
2025-06-20,SWID,59.0,60.0,57.0,59.0,322100.0
2025-06-23,SWID,59.0,59.0,57.0,58.0,364400.0
2025-06-24,SWID,58.0,58.0,56.0,58.0,156200.0
2025-06-25,SWID,58.0,58.0,57.0,57.0,236100.0
2025-06-26,SWID,57.0,58.0,57.0,58.0,89300.0
2025-06-30,SWID,57.0,60.0,57.0,60.0,85000.0
2025-07-01,SWID,59.0,61.0,58.0,59.0,84600.0
2025-07-02,SWID,59.0,61.0,59.0,61.0,105500.0
2025-07-03,SWID,59.0,61.0,59.0,60.0,84800.0
2025-07-04,SWID,60.0,61.0,59.0,61.0,85000.0
2025-07-07,SWID,59.0,61.0,59.0,59.0,91000.0
2025-07-08,SWID,60.0,61.0,59.0,60.0,133100.0
2025-07-09,SWID,59.0,60.0,57.0,60.0,258700.0
2025-07-10,SWID,60.0,77.0,59.0,63.0,18367200.0
2025-07-11,SWID,63.0,68.0,61.0,61.0,5731000.0
2025-07-14,SWID,60.0,61.0,57.0,59.0,3246600.0
2025-07-15,SWID,59.0,62.0,59.0,61.0,516500.0
2025-07-16,SWID,62.0,62.0,60.0,61.0,270500.0
2025-07-17,SWID,60.0,61.0,60.0,60.0,226700.0
2025-07-18,SWID,61.0,62.0,60.0,60.0,710500.0
2025-07-21,SWID,62.0,63.0,59.0,59.0,1289500.0
2025-07-22,SWID,60.0,61.0,59.0,60.0,170900.0
2025-07-23,SWID,60.0,60.0,59.0,60.0,156000.0
2025-07-24,SWID,59.0,60.0,59.0,59.0,715700.0
2025-07-25,SWID,58.0,60.0,58.0,60.0,63800.0
2025-07-28,SWID,59.0,60.0,59.0,60.0,708200.0
2025-07-29,SWID,69.0,81.0,69.0,81.0,43440700.0
2025-07-30,SWID,90.0,109.0,90.0,109.0,75297900.0
2025-07-31,SWID,130.0,135.0,93.0,99.0,43803800.0
