Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,TALF,285.0810981645976,296.9594772547892,279.1419086195018,289.0405578613281,33400.0
2025-06-16,TALF,283.10135135135135,293.0,283.10135135135135,293.0,5500.0
2025-06-17,TALF,294.97974283854165,296.95947265625,289.0405533854167,296.95947265625,1500.0
2025-06-18,TALF,292.9999933567177,292.9999933567177,287.06080430218964,291.020263671875,4100.0
2025-06-19,TALF,293.0000175580587,296.9594772547892,277.16217877113655,289.0405578613281,32900.0
2025-06-20,TALF,294.9797407479122,294.9797407479122,285.0810917295259,287.0608215332031,1200.0
2025-06-23,TALF,293.0000042385525,293.0000042385525,279.1418959299723,285.0810852050781,3600.0
2025-06-24,TALF,294.97972020968587,294.97972020968587,269.2432345538072,281.1216125488281,10100.0
2025-06-25,TALF,285.0810874580537,294.979736328125,283.10135768403944,294.979736328125,6400.0
2025-06-26,TALF,298.9391891891892,298.9391891891892,281.1216216216216,293.0,4100.0
2025-06-30,TALF,296.0,302.0,272.0,300.0,12200.0
2025-07-01,TALF,302.0,302.0,274.0,296.0,27300.0
2025-07-02,TALF,282.0,292.0,274.0,286.0,900.0
2025-07-03,TALF,302.0,302.0,276.0,290.0,6400.0
2025-07-04,TALF,296.0,298.0,278.0,280.0,17500.0
2025-07-07,TALF,282.0,292.0,272.0,284.0,2500.0
2025-07-08,TALF,296.0,296.0,280.0,290.0,2800.0
2025-07-09,TALF,282.0,286.0,280.0,280.0,29100.0
2025-07-10,TALF,294.0,308.0,280.0,282.0,36400.0
2025-07-11,TALF,298.0,310.0,282.0,290.0,65500.0
2025-07-14,TALF,298.0,298.0,290.0,290.0,3200.0
2025-07-15,TALF,290.0,300.0,282.0,294.0,14200.0
2025-07-16,TALF,290.0,300.0,290.0,294.0,3400.0
2025-07-17,TALF,300.0,300.0,282.0,292.0,3100.0
2025-07-18,TALF,292.0,316.0,290.0,298.0,11900.0
2025-07-21,TALF,298.0,314.0,292.0,300.0,33200.0
2025-07-22,TALF,314.0,318.0,300.0,302.0,6800.0
2025-07-23,TALF,310.0,312.0,294.0,306.0,2300.0
2025-07-24,TALF,292.0,314.0,292.0,302.0,11800.0
2025-07-25,TALF,310.0,310.0,306.0,308.0,14700.0
2025-07-28,TALF,308.0,308.0,298.0,304.0,22100.0
2025-07-29,TALF,292.0,308.0,292.0,306.0,29400.0
2025-07-30,TALF,298.0,298.0,294.0,298.0,22700.0
