Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,TAXI,8.0,8.0,7.0,7.0,14216100.0
2025-06-16,TAXI,7.0,8.0,7.0,7.0,15705800.0
2025-06-17,TAXI,7.0,7.0,7.0,7.0,42693200.0
2025-06-18,TAXI,7.0,7.0,7.0,7.0,19686800.0
2025-06-19,TAXI,7.0,7.0,7.0,7.0,4357400.0
2025-06-20,TAXI,7.0,7.0,6.0,6.0,29946600.0
2025-06-23,TAXI,6.0,6.0,6.0,6.0,11878200.0
2025-06-24,TAXI,6.0,7.0,6.0,7.0,4478500.0
2025-06-25,TAXI,6.0,7.0,6.0,6.0,6544300.0
2025-06-26,TAXI,6.0,7.0,6.0,7.0,19666700.0
2025-06-30,TAXI,7.0,7.0,7.0,7.0,9374400.0
2025-07-01,TAXI,6.0,7.0,6.0,7.0,9546600.0
2025-07-02,TAXI,7.0,7.0,6.0,6.0,2520900.0
2025-07-03,TAXI,6.0,7.0,6.0,6.0,4396500.0
2025-07-04,TAXI,6.0,6.0,6.0,6.0,19349500.0
2025-07-07,TAXI,7.0,7.0,6.0,6.0,4301500.0
2025-07-08,TAXI,6.0,7.0,6.0,7.0,7873800.0
2025-07-09,TAXI,7.0,7.0,7.0,7.0,25952600.0
2025-07-10,TAXI,7.0,7.0,6.0,7.0,31071100.0
2025-07-11,TAXI,7.0,7.0,7.0,7.0,33139500.0
2025-07-14,TAXI,7.0,7.0,7.0,7.0,5876900.0
2025-07-15,TAXI,6.0,7.0,6.0,7.0,8371300.0
2025-07-16,TAXI,6.0,7.0,6.0,6.0,23013700.0
2025-07-17,TAXI,6.0,7.0,6.0,6.0,10416100.0
2025-07-18,TAXI,7.0,7.0,6.0,6.0,14161300.0
2025-07-21,TAXI,7.0,7.0,6.0,6.0,8010200.0
2025-07-22,TAXI,7.0,7.0,6.0,7.0,31592600.0
2025-07-23,TAXI,7.0,7.0,6.0,6.0,11664000.0
2025-07-24,TAXI,7.0,7.0,6.0,7.0,7342800.0
2025-07-25,TAXI,6.0,7.0,6.0,6.0,7253400.0
2025-07-28,TAXI,6.0,6.0,6.0,6.0,3923000.0
2025-07-29,TAXI,6.0,7.0,6.0,7.0,5686200.0
2025-07-30,TAXI,6.0,7.0,6.0,6.0,6992400.0
2025-07-31,TAXI,7.0,7.0,7.0,7.0,52625000.0
2025-08-01,TAXI,8.0,8.0,8.0,8.0,69432300.0
2025-08-04,TAXI,8.0,8.0,7.0,7.0,62721500.0
2025-08-05,TAXI,8.0,8.0,7.0,7.0,21934100.0
2025-08-06,TAXI,7.0,8.0,7.0,8.0,166145800.0
2025-08-07,TAXI,8.0,8.0,7.0,7.0,98868900.0
2025-08-08,TAXI,7.0,8.0,7.0,8.0,24421200.0
2025-08-11,TAXI,8.0,8.0,7.0,7.0,68446500.0
2025-08-12,TAXI,7.0,8.0,7.0,8.0,33138600.0
2025-08-13,TAXI,7.0,8.0,7.0,8.0,11541600.0
2025-08-14,TAXI,8.0,9.0,8.0,9.0,86637800.0
2025-08-15,TAXI,9.0,9.0,9.0,9.0,78267700.0
2025-08-19,TAXI,10.0,10.0,10.0,10.0,209091000.0
2025-08-20,TAXI,11.0,11.0,11.0,11.0,145482300.0
2025-08-21,TAXI,12.0,12.0,12.0,12.0,112886500.0
2025-08-22,TAXI,13.0,13.0,13.0,13.0,137317700.0
2025-08-25,TAXI,14.0,14.0,14.0,14.0,103453900.0
2025-08-26,TAXI,15.0,15.0,15.0,15.0,29996200.0
2025-08-27,TAXI,16.0,16.0,16.0,16.0,33552400.0
2025-08-28,TAXI,17.0,17.0,17.0,17.0,24849100.0
2025-08-29,TAXI,18.0,18.0,16.0,16.0,560798500.0
2025-09-01,TAXI,15.0,15.0,15.0,15.0,87721500.0
2025-09-02,TAXI,14.0,14.0,14.0,14.0,143574300.0
