Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,TAYS,50.0,50.0,50.0,50.0,117200.0
2025-06-16,TAYS,50.0,50.0,50.0,50.0,752700.0
2025-06-17,TAYS,50.0,50.0,50.0,50.0,210500.0
2025-06-18,TAYS,50.0,50.0,50.0,50.0,23500.0
2025-06-19,TAYS,50.0,50.0,50.0,50.0,82500.0
2025-06-20,TAYS,50.0,50.0,50.0,50.0,368900.0
2025-06-23,TAYS,50.0,50.0,50.0,50.0,26400.0
2025-06-24,TAYS,50.0,50.0,50.0,50.0,4800.0
2025-06-25,TAYS,50.0,50.0,50.0,50.0,400.0
2025-06-26,TAYS,50.0,50.0,50.0,50.0,2700.0
2025-06-30,TAYS,50.0,50.0,50.0,50.0,36200.0
2025-07-01,TAYS,50.0,50.0,50.0,50.0,58200.0
2025-07-02,TAYS,50.0,50.0,50.0,50.0,3000.0
2025-07-03,TAYS,50.0,50.0,50.0,50.0,3500.0
2025-07-04,TAYS,50.0,50.0,50.0,50.0,2900.0
2025-07-07,TAYS,50.0,50.0,50.0,50.0,9800.0
2025-07-08,TAYS,50.0,50.0,50.0,50.0,33300.0
2025-07-09,TAYS,50.0,50.0,50.0,50.0,4800.0
2025-07-10,TAYS,50.0,50.0,50.0,50.0,30000.0
2025-07-11,TAYS,50.0,50.0,50.0,50.0,119200.0
2025-07-14,TAYS,50.0,50.0,50.0,50.0,115400.0
2025-07-15,TAYS,50.0,50.0,50.0,50.0,9400.0
2025-07-16,TAYS,50.0,50.0,50.0,50.0,14900.0
2025-07-17,TAYS,50.0,50.0,50.0,50.0,28100.0
2025-07-18,TAYS,50.0,50.0,50.0,50.0,126600.0
2025-07-21,TAYS,50.0,50.0,50.0,50.0,85500.0
2025-07-22,TAYS,50.0,50.0,50.0,50.0,20300.0
2025-07-23,TAYS,50.0,50.0,50.0,50.0,8500.0
2025-07-24,TAYS,50.0,50.0,50.0,50.0,32400.0
2025-07-25,TAYS,50.0,50.0,50.0,50.0,64300.0
2025-07-28,TAYS,50.0,50.0,50.0,50.0,102500.0
2025-07-29,TAYS,50.0,50.0,50.0,50.0,14000.0
2025-07-30,TAYS,50.0,50.0,50.0,50.0,33000.0
2025-07-31,TAYS,50.0,50.0,50.0,50.0,179900.0
2025-08-01,TAYS,50.0,50.0,50.0,50.0,594500.0
2025-08-04,TAYS,50.0,50.0,50.0,50.0,64500.0
2025-08-05,TAYS,50.0,50.0,50.0,50.0,408200.0
2025-08-06,TAYS,50.0,50.0,50.0,50.0,73400.0
2025-08-07,TAYS,50.0,50.0,50.0,50.0,301600.0
2025-08-08,TAYS,50.0,50.0,50.0,50.0,134300.0
2025-08-11,TAYS,50.0,50.0,50.0,50.0,211200.0
2025-08-12,TAYS,50.0,57.0,50.0,52.0,54160000.0
2025-08-13,TAYS,53.0,68.0,51.0,59.0,189317900.0
2025-08-14,TAYS,59.0,63.0,54.0,56.0,33485400.0
2025-08-15,TAYS,56.0,57.0,52.0,53.0,13924700.0
2025-08-19,TAYS,53.0,54.0,51.0,52.0,6824500.0
2025-08-20,TAYS,52.0,70.0,52.0,70.0,229988500.0
2025-08-21,TAYS,63.0,76.0,63.0,67.0,151898800.0
2025-08-22,TAYS,69.0,72.0,64.0,65.0,54987300.0
2025-08-25,TAYS,66.0,67.0,62.0,64.0,12980300.0
2025-08-26,TAYS,65.0,70.0,64.0,66.0,38769000.0
