Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,TCID,2540.0,2540.0,2360.0,2360.0,12200.0
2025-06-16,TCID,2330.0,2450.0,2320.0,2320.0,7200.0
2025-06-17,TCID,2330.0,2330.0,2310.0,2310.0,700.0
2025-06-18,TCID,2370.0,2370.0,2330.0,2330.0,300.0
2025-06-19,TCID,2330.0,2330.0,2290.0,2300.0,18700.0
2025-06-20,TCID,2300.0,2300.0,2290.0,2300.0,5200.0
2025-06-23,TCID,2240.0,2370.0,2240.0,2270.0,2400.0
2025-06-24,TCID,2270.0,2320.0,2270.0,2320.0,1400.0
2025-06-25,TCID,2280.0,2320.0,2280.0,2320.0,2300.0
2025-06-26,TCID,2320.0,2500.0,2280.0,2350.0,4100.0
2025-06-30,TCID,2330.0,2330.0,2320.0,2320.0,900.0
2025-07-01,TCID,2350.0,2410.0,2320.0,2320.0,700.0
2025-07-02,TCID,2360.0,2360.0,2300.0,2300.0,300.0
2025-07-03,TCID,2330.0,2330.0,2330.0,2330.0,100.0
2025-07-04,TCID,2390.0,2390.0,2370.0,2380.0,2400.0
2025-07-07,TCID,2380.0,2380.0,2280.0,2300.0,1400.0
2025-07-08,TCID,2390.0,2390.0,2260.0,2300.0,1700.0
2025-07-09,TCID,2300.0,2400.0,2270.0,2370.0,2900.0
2025-07-10,TCID,2370.0,2440.0,2370.0,2420.0,20700.0
2025-07-11,TCID,2420.0,2460.0,2410.0,2410.0,2900.0
2025-07-14,TCID,2450.0,2450.0,2370.0,2370.0,600.0
2025-07-15,TCID,2370.0,2450.0,2370.0,2370.0,5200.0
2025-07-16,TCID,2370.0,2370.0,2200.0,2340.0,38600.0
2025-07-17,TCID,2240.0,2450.0,2240.0,2320.0,2700.0
2025-07-18,TCID,2320.0,2420.0,2270.0,2280.0,14600.0
2025-07-21,TCID,2310.0,2310.0,2270.0,2280.0,2200.0
2025-07-22,TCID,2250.0,2250.0,2090.0,2240.0,8500.0
2025-07-23,TCID,2250.0,2460.0,2250.0,2320.0,3300.0
2025-07-24,TCID,2390.0,2390.0,2290.0,2310.0,4600.0
2025-07-25,TCID,2290.0,2290.0,2290.0,2290.0,1600.0
2025-07-28,TCID,2290.0,2390.0,2290.0,2300.0,2000.0
2025-07-29,TCID,2300.0,2600.0,2300.0,2450.0,29800.0
2025-07-30,TCID,2500.0,2510.0,2440.0,2440.0,26400.0
2025-07-31,TCID,2340.0,2410.0,2340.0,2410.0,14600.0
2025-08-01,TCID,2440.0,2450.0,2370.0,2370.0,1300.0
2025-08-04,TCID,2450.0,2550.0,2370.0,2380.0,10500.0
2025-08-05,TCID,2380.0,2390.0,2380.0,2390.0,200.0
2025-08-06,TCID,2400.0,2400.0,2380.0,2390.0,800.0
2025-08-07,TCID,2320.0,2320.0,2320.0,2320.0,100.0
2025-08-08,TCID,2380.0,2420.0,2380.0,2420.0,1000.0
2025-08-11,TCID,2390.0,2450.0,2390.0,2440.0,900.0
2025-08-12,TCID,2480.0,2480.0,2400.0,2410.0,6700.0
2025-08-13,TCID,2500.0,2500.0,2390.0,2450.0,4600.0
2025-08-14,TCID,2450.0,2490.0,2380.0,2430.0,9600.0
2025-08-15,TCID,2430.0,2430.0,2390.0,2430.0,89400.0
2025-08-19,TCID,2430.0,2490.0,2410.0,2490.0,3800.0
2025-08-20,TCID,2480.0,2500.0,2410.0,2420.0,4600.0
2025-08-21,TCID,2420.0,2480.0,2420.0,2480.0,400.0
2025-08-22,TCID,2480.0,2480.0,2480.0,2480.0,200.0
2025-08-25,TCID,2480.0,2480.0,2440.0,2480.0,2300.0
2025-08-26,TCID,2500.0,2500.0,2480.0,2480.0,5000.0
2025-08-27,TCID,2500.0,2500.0,2480.0,2480.0,9200.0
2025-08-28,TCID,2480.0,2490.0,2430.0,2490.0,1100.0
2025-08-29,TCID,2450.0,2490.0,2450.0,2490.0,1100.0
2025-09-01,TCID,2490.0,2500.0,2480.0,2500.0,30300.0
2025-09-02,TCID,2500.0,2550.0,2450.0,2550.0,1500.0
2025-09-03,TCID,2470.0,2500.0,2470.0,2470.0,5500.0
2025-09-04,TCID,2470.0,2500.0,2450.0,2470.0,7700.0
2025-09-08,TCID,2470.0,2470.0,2470.0,2470.0,400.0
2025-09-09,TCID,2550.0,2690.0,2390.0,2410.0,5900.0
2025-09-10,TCID,2380.0,3010.0,2380.0,3010.0,228100.0
2025-09-11,TCID,3290.0,3520.0,2710.0,2790.0,1105900.0
2025-09-12,TCID,2790.0,3090.0,2590.0,3040.0,378400.0
2025-09-15,TCID,3040.0,3260.0,2820.0,3090.0,270700.0
2025-09-16,TCID,3090.0,3100.0,2850.0,3000.0,143700.0
2025-09-17,TCID,3000.0,3000.0,2860.0,2990.0,165800.0
2025-09-18,TCID,2910.0,2990.0,2890.0,2920.0,136000.0
2025-09-19,TCID,2920.0,2990.0,2900.0,2990.0,112800.0
2025-09-22,TCID,2980.0,3200.0,2920.0,3050.0,206300.0
2025-09-23,TCID,3280.0,3490.0,3140.0,3210.0,486800.0
2025-09-24,TCID,3300.0,3390.0,3110.0,3300.0,1132100.0
