Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,TDPM,119.0,119.0,119.0,119.0,0.0
2025-06-16,TDPM,119.0,119.0,119.0,119.0,0.0
2025-06-17,TDPM,119.0,119.0,119.0,119.0,0.0
2025-06-18,TDPM,119.0,119.0,119.0,119.0,0.0
2025-06-19,TDPM,119.0,119.0,119.0,119.0,0.0
2025-06-20,TDPM,119.0,119.0,119.0,119.0,0.0
2025-06-23,TDPM,119.0,119.0,119.0,119.0,0.0
2025-06-24,TDPM,119.0,119.0,119.0,119.0,0.0
2025-06-25,TDPM,119.0,119.0,119.0,119.0,0.0
2025-06-26,TDPM,119.0,119.0,119.0,119.0,0.0
2025-06-30,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-01,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-02,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-03,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-04,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-07,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-08,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-09,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-10,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-11,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-14,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-15,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-16,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-17,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-18,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-21,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-22,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-23,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-24,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-25,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-28,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-29,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-30,TDPM,119.0,119.0,119.0,119.0,0.0
2025-07-31,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-01,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-04,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-05,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-06,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-07,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-08,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-11,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-12,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-13,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-14,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-15,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-19,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-20,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-21,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-22,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-25,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-26,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-27,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-28,TDPM,119.0,119.0,119.0,119.0,0.0
2025-08-29,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-01,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-02,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-03,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-04,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-08,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-09,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-10,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-11,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-12,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-15,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-16,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-17,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-18,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-19,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-22,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-23,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-24,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-25,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-26,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-29,TDPM,119.0,119.0,119.0,119.0,0.0
2025-09-30,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-01,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-02,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-03,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-06,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-07,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-08,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-09,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-10,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-13,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-14,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-15,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-16,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-17,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-20,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-21,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-22,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-23,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-24,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-27,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-28,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-29,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-30,TDPM,119.0,119.0,119.0,119.0,0.0
2025-10-31,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-03,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-04,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-05,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-06,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-07,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-10,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-11,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-12,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-13,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-14,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-17,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-18,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-19,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-20,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-21,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-24,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-25,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-26,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-27,TDPM,119.0,119.0,119.0,119.0,0.0
2025-11-28,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-01,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-02,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-03,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-04,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-05,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-08,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-09,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-10,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-11,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-12,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-15,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-16,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-17,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-18,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-19,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-22,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-23,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-24,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-29,TDPM,119.0,119.0,119.0,119.0,0.0
2025-12-30,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-02,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-05,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-06,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-07,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-08,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-09,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-12,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-13,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-14,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-15,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-19,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-20,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-21,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-22,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-23,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-26,TDPM,119.0,119.0,119.0,119.0,0.0
2026-01-27,TDPM,119.0,119.0,119.0,119.0,0.0
