Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,TECH,50.0,50.0,50.0,50.0,0.0
2025-06-16,TECH,50.0,50.0,50.0,50.0,0.0
2025-06-17,TECH,50.0,50.0,50.0,50.0,0.0
2025-06-18,TECH,50.0,50.0,50.0,50.0,0.0
2025-06-19,TECH,50.0,50.0,50.0,50.0,0.0
2025-06-20,TECH,50.0,50.0,50.0,50.0,0.0
2025-06-23,TECH,50.0,50.0,50.0,50.0,0.0
2025-06-24,TECH,50.0,50.0,50.0,50.0,0.0
2025-06-25,TECH,50.0,50.0,50.0,50.0,0.0
2025-06-26,TECH,50.0,50.0,50.0,50.0,0.0
2025-06-30,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-01,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-02,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-03,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-04,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-07,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-08,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-09,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-10,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-11,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-14,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-15,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-16,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-17,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-18,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-21,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-22,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-23,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-24,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-25,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-28,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-29,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-30,TECH,50.0,50.0,50.0,50.0,0.0
2025-07-31,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-01,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-04,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-05,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-06,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-07,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-08,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-11,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-12,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-13,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-14,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-15,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-19,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-20,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-21,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-22,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-25,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-26,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-27,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-28,TECH,50.0,50.0,50.0,50.0,0.0
2025-08-29,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-01,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-02,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-03,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-04,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-08,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-09,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-10,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-11,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-12,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-15,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-16,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-17,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-18,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-19,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-22,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-23,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-24,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-25,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-26,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-29,TECH,50.0,50.0,50.0,50.0,0.0
2025-09-30,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-01,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-02,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-03,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-06,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-07,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-08,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-09,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-10,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-13,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-14,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-15,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-16,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-17,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-20,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-21,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-22,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-23,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-24,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-27,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-28,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-29,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-30,TECH,50.0,50.0,50.0,50.0,0.0
2025-10-31,TECH,50.0,50.0,50.0,50.0,0.0
2025-11-03,TECH,50.0,50.0,50.0,50.0,0.0
2025-11-04,TECH,50.0,50.0,50.0,50.0,0.0
2025-11-05,TECH,50.0,50.0,50.0,50.0,0.0
2025-11-06,TECH,50.0,50.0,50.0,50.0,0.0
2025-11-07,TECH,50.0,50.0,50.0,50.0,0.0
2025-11-10,TECH,50.0,50.0,50.0,50.0,0.0
2025-11-11,TECH,50.0,50.0,50.0,50.0,0.0
2025-11-12,TECH,50.0,50.0,50.0,50.0,0.0
2025-11-13,TECH,50.0,50.0,50.0,50.0,0.0
