Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,TFCO,498.0,498.0,498.0,498.0,0.0
2025-06-16,TFCO,498.0,498.0,498.0,498.0,0.0
2025-06-17,TFCO,498.0,498.0,498.0,498.0,0.0
2025-06-18,TFCO,498.0,498.0,498.0,498.0,0.0
2025-06-19,TFCO,498.0,498.0,498.0,498.0,0.0
2025-06-20,TFCO,498.0,498.0,498.0,498.0,0.0
2025-06-23,TFCO,498.0,498.0,498.0,498.0,200.0
2025-06-24,TFCO,498.0,498.0,498.0,498.0,0.0
2025-06-25,TFCO,498.0,498.0,498.0,498.0,0.0
2025-06-26,TFCO,498.0,498.0,498.0,498.0,0.0
2025-06-30,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-01,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-02,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-03,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-04,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-07,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-08,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-09,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-10,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-11,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-14,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-15,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-16,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-17,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-18,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-21,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-22,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-23,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-24,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-25,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-28,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-29,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-30,TFCO,498.0,498.0,498.0,498.0,0.0
2025-07-31,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-01,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-04,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-05,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-06,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-07,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-08,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-11,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-12,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-13,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-14,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-15,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-19,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-20,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-21,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-22,TFCO,498.0,498.0,498.0,498.0,100.0
2025-08-25,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-26,TFCO,498.0,498.0,498.0,498.0,100.0
2025-08-27,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-28,TFCO,498.0,498.0,498.0,498.0,0.0
2025-08-29,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-01,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-02,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-03,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-04,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-08,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-09,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-10,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-11,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-12,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-15,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-16,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-17,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-18,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-19,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-22,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-23,TFCO,498.0,498.0,498.0,498.0,0.0
2025-09-24,TFCO,500.0,500.0,500.0,500.0,200.0
2025-09-25,TFCO,500.0,500.0,500.0,500.0,0.0
2025-09-26,TFCO,500.0,500.0,500.0,500.0,0.0
2025-09-29,TFCO,500.0,500.0,500.0,500.0,0.0
2025-09-30,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-01,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-02,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-03,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-06,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-07,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-08,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-09,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-10,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-13,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-14,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-15,TFCO,500.0,500.0,500.0,500.0,100.0
2025-10-16,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-17,TFCO,500.0,500.0,500.0,500.0,100.0
2025-10-20,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-21,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-22,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-23,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-24,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-27,TFCO,500.0,500.0,500.0,500.0,100.0
2025-10-28,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-29,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-30,TFCO,500.0,500.0,500.0,500.0,0.0
2025-10-31,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-03,TFCO,500.0,500.0,500.0,500.0,200.0
2025-11-04,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-05,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-06,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-07,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-10,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-11,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-12,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-13,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-14,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-17,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-18,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-19,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-20,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-21,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-24,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-25,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-26,TFCO,500.0,500.0,500.0,500.0,0.0
2025-11-27,TFCO,500.0,500.0,500.0,500.0,100.0
2025-11-28,TFCO,500.0,500.0,500.0,500.0,0.0
2025-12-01,TFCO,500.0,500.0,500.0,500.0,0.0
2025-12-02,TFCO,500.0,500.0,500.0,500.0,0.0
2025-12-03,TFCO,500.0,500.0,500.0,500.0,0.0
2025-12-04,TFCO,500.0,500.0,500.0,500.0,0.0
2025-12-05,TFCO,500.0,500.0,500.0,500.0,0.0
2025-12-08,TFCO,500.0,500.0,500.0,500.0,0.0
2025-12-09,TFCO,500.0,500.0,500.0,500.0,0.0
2025-12-10,TFCO,500.0,500.0,500.0,500.0,0.0
2025-12-11,TFCO,500.0,500.0,500.0,500.0,0.0
2025-12-12,TFCO,500.0,500.0,500.0,500.0,0.0
2025-12-15,TFCO,500.0,500.0,500.0,500.0,0.0
