Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,TOSK,50.0,50.0,50.0,50.0,40900.0
2025-06-16,TOSK,50.0,50.0,50.0,50.0,1221200.0
2025-06-17,TOSK,50.0,50.0,50.0,50.0,40800.0
2025-06-18,TOSK,50.0,50.0,50.0,50.0,1761000.0
2025-06-19,TOSK,50.0,50.0,50.0,50.0,4100.0
2025-06-20,TOSK,50.0,50.0,50.0,50.0,34200.0
2025-06-23,TOSK,50.0,50.0,50.0,50.0,44800.0
2025-06-24,TOSK,50.0,50.0,50.0,50.0,10000.0
2025-06-25,TOSK,50.0,50.0,50.0,50.0,13800.0
2025-06-26,TOSK,50.0,50.0,50.0,50.0,25500.0
2025-06-30,TOSK,50.0,50.0,50.0,50.0,20100.0
2025-07-01,TOSK,50.0,50.0,50.0,50.0,12800.0
2025-07-02,TOSK,50.0,50.0,50.0,50.0,46300.0
2025-07-03,TOSK,50.0,50.0,50.0,50.0,15700.0
2025-07-04,TOSK,50.0,50.0,50.0,50.0,65400.0
2025-07-07,TOSK,50.0,50.0,50.0,50.0,88300.0
2025-07-08,TOSK,50.0,50.0,50.0,50.0,116400.0
2025-07-09,TOSK,50.0,50.0,50.0,50.0,72100.0
2025-07-10,TOSK,50.0,50.0,50.0,50.0,18200.0
2025-07-11,TOSK,50.0,50.0,50.0,50.0,33800.0
2025-07-14,TOSK,50.0,50.0,50.0,50.0,65100.0
2025-07-15,TOSK,50.0,50.0,50.0,50.0,29200.0
2025-07-16,TOSK,50.0,50.0,50.0,50.0,53300.0
2025-07-17,TOSK,50.0,50.0,50.0,50.0,52300.0
2025-07-18,TOSK,50.0,50.0,50.0,50.0,41000.0
2025-07-21,TOSK,50.0,50.0,50.0,50.0,85500.0
2025-07-22,TOSK,50.0,50.0,50.0,50.0,218400.0
2025-07-23,TOSK,50.0,50.0,50.0,50.0,60500.0
2025-07-24,TOSK,50.0,50.0,50.0,50.0,1286100.0
2025-07-25,TOSK,50.0,50.0,50.0,50.0,29200.0
2025-07-28,TOSK,50.0,50.0,50.0,50.0,327100.0
2025-07-29,TOSK,50.0,50.0,50.0,50.0,382700.0
2025-07-30,TOSK,50.0,50.0,50.0,50.0,629200.0
2025-07-31,TOSK,50.0,50.0,50.0,50.0,103000.0
2025-08-01,TOSK,50.0,50.0,50.0,50.0,35200.0
2025-08-04,TOSK,50.0,50.0,50.0,50.0,161700.0
2025-08-05,TOSK,50.0,50.0,50.0,50.0,21500.0
2025-08-06,TOSK,50.0,50.0,50.0,50.0,33900.0
2025-08-07,TOSK,50.0,50.0,50.0,50.0,145900.0
2025-08-08,TOSK,50.0,50.0,50.0,50.0,56400.0
2025-08-11,TOSK,50.0,50.0,50.0,50.0,33000.0
2025-08-12,TOSK,50.0,50.0,50.0,50.0,142500.0
2025-08-13,TOSK,50.0,54.0,50.0,50.0,366249100.0
2025-08-14,TOSK,50.0,66.0,50.0,64.0,1101313100.0
2025-08-15,TOSK,66.0,71.0,55.0,55.0,393895500.0
2025-08-19,TOSK,56.0,64.0,53.0,58.0,184751200.0
2025-08-20,TOSK,58.0,60.0,56.0,57.0,50077400.0
2025-08-21,TOSK,58.0,58.0,55.0,56.0,33706700.0
2025-08-22,TOSK,56.0,56.0,53.0,55.0,38364400.0
2025-08-25,TOSK,55.0,55.0,53.0,54.0,41667300.0
2025-08-26,TOSK,54.0,63.0,53.0,58.0,321010100.0
2025-08-27,TOSK,58.0,60.0,56.0,56.0,67187300.0
2025-08-28,TOSK,57.0,64.0,57.0,59.0,211805800.0
2025-08-29,TOSK,60.0,60.0,56.0,56.0,55411500.0
2025-09-01,TOSK,55.0,58.0,51.0,55.0,33539800.0
2025-09-02,TOSK,55.0,61.0,55.0,58.0,52817100.0
2025-09-03,TOSK,58.0,76.0,56.0,72.0,1055517700.0
2025-09-04,TOSK,75.0,76.0,64.0,65.0,357439000.0
2025-09-08,TOSK,66.0,70.0,62.0,63.0,86595500.0
2025-09-09,TOSK,63.0,64.0,58.0,60.0,68483000.0
2025-09-10,TOSK,60.0,65.0,60.0,62.0,51157400.0
2025-09-11,TOSK,62.0,69.0,60.0,65.0,167762800.0
2025-09-12,TOSK,66.0,67.0,63.0,66.0,45897000.0
2025-09-15,TOSK,66.0,73.0,65.0,72.0,173632800.0
2025-09-16,TOSK,72.0,72.0,65.0,67.0,132981800.0
2025-09-17,TOSK,67.0,71.0,65.0,68.0,98370100.0
2025-09-18,TOSK,68.0,69.0,65.0,66.0,38751200.0
2025-09-19,TOSK,67.0,69.0,66.0,66.0,31604100.0
2025-09-22,TOSK,67.0,68.0,66.0,67.0,32715800.0
2025-09-23,TOSK,68.0,68.0,65.0,66.0,28504700.0
2025-09-24,TOSK,67.0,68.0,65.0,67.0,26967900.0
2025-09-25,TOSK,70.0,87.0,67.0,75.0,1087018400.0
2025-09-26,TOSK,76.0,101.0,76.0,101.0,1371823800.0
