Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,UCID,538.1379455566406,547.8341247558593,533.2898559570312,533.2898559570312,1417800.0
2025-06-16,UCID,538.137939453125,542.9860289977478,533.2898499085022,538.137939453125,2896200.0
2025-06-17,UCID,538.1379334586007,542.9860229492188,538.1379334586007,542.9860229492188,2286600.0
2025-06-18,UCID,542.9860289977478,547.8341185423706,533.2898499085022,538.137939453125,1081500.0
2025-06-19,UCID,545.0,550.0,535.0,540.0,1962000.0
2025-06-20,UCID,540.0,540.0,530.0,535.0,1038200.0
2025-06-23,UCID,530.0,535.0,520.0,525.0,774900.0
2025-06-24,UCID,525.0,525.0,515.0,515.0,1720300.0
2025-06-25,UCID,515.0,520.0,498.0,498.0,6015000.0
2025-06-26,UCID,498.0,505.0,496.0,496.0,2280200.0
2025-06-30,UCID,498.0,520.0,498.0,500.0,4458900.0
2025-07-01,UCID,505.0,505.0,498.0,500.0,689200.0
2025-07-02,UCID,500.0,505.0,498.0,500.0,1710200.0
2025-07-03,UCID,500.0,505.0,496.0,500.0,2221800.0
2025-07-04,UCID,500.0,505.0,500.0,500.0,91900.0
2025-07-07,UCID,505.0,505.0,498.0,500.0,2082900.0
2025-07-08,UCID,500.0,505.0,498.0,500.0,2300500.0
2025-07-09,UCID,500.0,505.0,498.0,500.0,132300.0
2025-07-10,UCID,500.0,505.0,500.0,505.0,343700.0
2025-07-11,UCID,505.0,515.0,500.0,500.0,3445900.0
2025-07-14,UCID,500.0,505.0,498.0,500.0,1361500.0
2025-07-15,UCID,500.0,505.0,498.0,498.0,216000.0
2025-07-16,UCID,500.0,500.0,492.0,494.0,4186700.0
2025-07-17,UCID,494.0,500.0,494.0,496.0,873600.0
2025-07-18,UCID,496.0,505.0,494.0,500.0,589000.0
2025-07-21,UCID,500.0,505.0,496.0,498.0,2042800.0
2025-07-22,UCID,498.0,505.0,496.0,500.0,543100.0
2025-07-23,UCID,500.0,505.0,494.0,498.0,2215800.0
2025-07-24,UCID,500.0,505.0,494.0,496.0,3523800.0
2025-07-25,UCID,498.0,498.0,492.0,496.0,1028300.0
2025-07-28,UCID,498.0,500.0,494.0,496.0,1424700.0
2025-07-29,UCID,496.0,498.0,492.0,494.0,1279400.0
2025-07-30,UCID,494.0,496.0,490.0,492.0,3254600.0
2025-07-31,UCID,492.0,492.0,490.0,492.0,1610100.0
2025-08-01,UCID,492.0,496.0,490.0,494.0,882300.0
2025-08-04,UCID,494.0,496.0,486.0,490.0,3672400.0
2025-08-05,UCID,492.0,496.0,490.0,494.0,2533900.0
2025-08-06,UCID,505.0,510.0,494.0,505.0,3022000.0
2025-08-07,UCID,505.0,505.0,498.0,500.0,553800.0
2025-08-08,UCID,498.0,500.0,496.0,500.0,1563400.0
2025-08-11,UCID,500.0,505.0,498.0,500.0,257000.0
2025-08-12,UCID,498.0,505.0,498.0,500.0,973500.0
2025-08-13,UCID,500.0,505.0,498.0,500.0,1105600.0
2025-08-14,UCID,500.0,505.0,498.0,500.0,1999700.0
2025-08-15,UCID,500.0,500.0,496.0,500.0,748300.0
2025-08-19,UCID,494.0,496.0,466.0,472.0,13444000.0
2025-08-20,UCID,472.0,478.0,466.0,472.0,2707600.0
2025-08-21,UCID,472.0,484.0,468.0,480.0,3484400.0
2025-08-22,UCID,480.0,486.0,476.0,486.0,2568800.0
2025-08-25,UCID,480.0,486.0,478.0,486.0,2504800.0
2025-08-26,UCID,486.0,486.0,468.0,478.0,2566500.0
2025-08-27,UCID,476.0,476.0,468.0,470.0,3620700.0
2025-08-28,UCID,470.0,470.0,464.0,464.0,4482000.0
2025-08-29,UCID,464.0,468.0,454.0,462.0,8029900.0
2025-09-01,UCID,450.0,462.0,448.0,454.0,5115800.0
2025-09-02,UCID,454.0,468.0,454.0,456.0,4887100.0
2025-09-03,UCID,456.0,460.0,454.0,460.0,5169100.0
2025-09-04,UCID,460.0,462.0,454.0,460.0,5625600.0
2025-09-08,UCID,460.0,470.0,460.0,464.0,9425800.0
2025-09-09,UCID,462.0,466.0,462.0,464.0,2046900.0
2025-09-10,UCID,464.0,464.0,460.0,462.0,6176900.0
2025-09-11,UCID,462.0,462.0,444.0,450.0,5069600.0
2025-09-12,UCID,450.0,450.0,440.0,440.0,11045900.0
2025-09-15,UCID,440.0,440.0,428.0,438.0,3962300.0
2025-09-16,UCID,440.0,442.0,438.0,440.0,6832400.0
2025-09-17,UCID,440.0,440.0,438.0,440.0,1795600.0
2025-09-18,UCID,440.0,446.0,440.0,444.0,1678500.0
2025-09-19,UCID,446.0,464.0,440.0,446.0,3761500.0
2025-09-22,UCID,448.0,466.0,446.0,458.0,3758100.0
2025-09-23,UCID,458.0,472.0,454.0,470.0,4545800.0
2025-09-24,UCID,470.0,476.0,468.0,474.0,2438100.0
2025-09-25,UCID,474.0,482.0,474.0,476.0,2327000.0
2025-09-26,UCID,478.0,480.0,464.0,464.0,3757100.0
2025-09-29,UCID,466.0,470.0,460.0,468.0,3103700.0
2025-09-30,UCID,474.0,492.0,474.0,482.0,5577400.0
2025-10-01,UCID,490.0,490.0,474.0,478.0,4345700.0
2025-10-02,UCID,478.0,478.0,468.0,468.0,4356600.0
2025-10-03,UCID,468.0,472.0,464.0,470.0,1264700.0
2025-10-06,UCID,470.0,470.0,466.0,466.0,651000.0
2025-10-07,UCID,466.0,468.0,462.0,464.0,729000.0
2025-10-08,UCID,464.0,466.0,460.0,464.0,1126000.0
2025-10-09,UCID,464.0,464.0,458.0,458.0,599000.0
2025-10-10,UCID,456.0,456.0,450.0,454.0,1691200.0
2025-10-13,UCID,454.0,454.0,448.0,448.0,1048400.0
2025-10-14,UCID,448.0,452.0,448.0,450.0,758100.0
2025-10-15,UCID,450.0,450.0,448.0,448.0,241700.0
2025-10-16,UCID,448.0,448.0,440.0,448.0,1568300.0
2025-10-17,UCID,446.0,452.0,444.0,446.0,1037200.0
2025-10-20,UCID,448.0,464.0,444.0,462.0,1951000.0
2025-10-21,UCID,462.0,462.0,456.0,456.0,421700.0
2025-10-22,UCID,458.0,466.0,456.0,458.0,719100.0
2025-10-23,UCID,458.0,462.0,458.0,460.0,327800.0
2025-10-24,UCID,460.0,466.0,460.0,462.0,842300.0
2025-10-27,UCID,462.0,462.0,454.0,458.0,966400.0
2025-10-28,UCID,462.0,466.0,458.0,464.0,924200.0
2025-10-29,UCID,464.0,464.0,458.0,460.0,1077200.0
2025-10-30,UCID,460.0,480.0,422.0,434.0,29051100.0
2025-10-31,UCID,434.0,438.0,422.0,430.0,5722600.0
2025-11-03,UCID,432.0,438.0,432.0,434.0,1813400.0
2025-11-04,UCID,436.0,446.0,434.0,444.0,3058600.0
2025-11-05,UCID,442.0,442.0,436.0,442.0,1021500.0
2025-11-06,UCID,442.0,446.0,440.0,444.0,921900.0
2025-11-07,UCID,446.0,446.0,442.0,444.0,459600.0
2025-11-10,UCID,442.0,442.0,438.0,442.0,1031700.0
2025-11-11,UCID,442.0,446.0,438.0,444.0,1959200.0
2025-11-12,UCID,442.0,448.0,440.0,446.0,560900.0
2025-11-13,UCID,446.0,448.0,444.0,448.0,227600.0
2025-11-14,UCID,448.0,450.0,446.0,448.0,279500.0
2025-11-17,UCID,448.0,450.0,446.0,448.0,369200.0
2025-11-18,UCID,448.0,454.0,436.0,444.0,639800.0
2025-11-19,UCID,444.0,446.0,442.0,444.0,1065100.0
2025-11-20,UCID,444.0,444.0,436.0,440.0,1638400.0
2025-11-21,UCID,440.0,442.0,440.0,442.0,158600.0
2025-11-24,UCID,442.0,442.0,438.0,438.0,1584000.0
2025-11-25,UCID,438.0,440.0,432.0,436.0,898600.0
2025-11-26,UCID,432.0,432.0,426.0,430.0,3195500.0
2025-11-27,UCID,430.0,430.0,428.0,430.0,716200.0
2025-11-28,UCID,430.0,430.0,428.0,428.0,241400.0
2025-12-01,UCID,428.0,430.0,424.0,428.0,1376400.0
2025-12-02,UCID,430.0,434.0,428.0,428.0,882600.0
2025-12-03,UCID,432.0,440.0,432.0,436.0,1031900.0
2025-12-04,UCID,438.0,440.0,430.0,432.0,952000.0
2025-12-05,UCID,432.0,436.0,430.0,434.0,217100.0
2025-12-08,UCID,434.0,438.0,434.0,436.0,93700.0
2025-12-09,UCID,440.0,440.0,434.0,436.0,1262700.0
2025-12-10,UCID,434.0,434.0,424.0,428.0,3624800.0
2025-12-11,UCID,428.0,430.0,424.0,426.0,1859600.0
2025-12-12,UCID,426.0,428.0,424.0,424.0,494000.0
2025-12-15,UCID,424.0,428.0,422.0,424.0,2631400.0
2025-12-16,UCID,426.0,430.0,420.0,426.0,2038400.0
2025-12-17,UCID,434.0,434.0,426.0,426.0,458800.0
2025-12-18,UCID,428.0,430.0,418.0,420.0,1573200.0
2025-12-19,UCID,422.0,422.0,418.0,420.0,6405700.0
2025-12-22,UCID,420.0,424.0,418.0,418.0,708100.0
2025-12-23,UCID,420.0,420.0,416.0,416.0,912700.0
2025-12-24,UCID,416.0,424.0,416.0,424.0,255700.0
2025-12-29,UCID,424.0,426.0,418.0,422.0,507000.0
2025-12-30,UCID,422.0,426.0,420.0,420.0,277700.0
2026-01-02,UCID,424.0,426.0,420.0,426.0,381200.0
2026-01-05,UCID,426.0,428.0,422.0,428.0,951900.0
2026-01-06,UCID,428.0,432.0,424.0,428.0,899200.0
2026-01-07,UCID,432.0,434.0,424.0,430.0,848100.0
2026-01-08,UCID,430.0,432.0,426.0,426.0,507200.0
2026-01-09,UCID,428.0,430.0,424.0,426.0,10810400.0
2026-01-12,UCID,430.0,438.0,426.0,430.0,985100.0
2026-01-13,UCID,430.0,432.0,428.0,430.0,761100.0
2026-01-14,UCID,432.0,436.0,428.0,434.0,909800.0
2026-01-15,UCID,434.0,448.0,434.0,440.0,5421400.0
