Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,UNSP,129.0,129.0,126.0,126.0,57500.0
2025-06-16,UNSP,125.0,125.0,121.0,121.0,20800.0
2025-06-17,UNSP,121.0,121.0,121.0,121.0,15700.0
2025-06-18,UNSP,120.0,120.0,119.0,119.0,872400.0
2025-06-19,UNSP,119.0,119.0,118.0,118.0,1600.0
2025-06-20,UNSP,118.0,120.0,118.0,120.0,1667100.0
2025-06-23,UNSP,120.0,120.0,120.0,120.0,1300.0
2025-06-24,UNSP,119.0,119.0,119.0,119.0,26400.0
2025-06-25,UNSP,118.0,119.0,118.0,119.0,495100.0
2025-06-26,UNSP,119.0,119.0,119.0,119.0,400.0
2025-06-30,UNSP,119.0,119.0,119.0,119.0,483200.0
2025-07-01,UNSP,120.0,121.0,120.0,120.0,205500.0
2025-07-02,UNSP,121.0,121.0,118.0,118.0,5500.0
2025-07-03,UNSP,120.0,120.0,120.0,120.0,800.0
2025-07-04,UNSP,119.0,119.0,117.0,117.0,483200.0
2025-07-07,UNSP,117.0,123.0,117.0,123.0,120600.0
2025-07-08,UNSP,123.0,123.0,121.0,121.0,34200.0
2025-07-09,UNSP,121.0,121.0,121.0,121.0,1107400.0
2025-07-10,UNSP,121.0,121.0,121.0,121.0,20000.0
2025-07-11,UNSP,121.0,121.0,121.0,121.0,2600.0
2025-07-14,UNSP,121.0,121.0,121.0,121.0,3400.0
2025-07-15,UNSP,121.0,121.0,121.0,121.0,486400.0
2025-07-16,UNSP,117.0,121.0,117.0,120.0,12800.0
2025-07-17,UNSP,120.0,121.0,120.0,121.0,1100.0
2025-07-18,UNSP,121.0,121.0,120.0,120.0,5017800.0
2025-07-21,UNSP,120.0,120.0,120.0,120.0,5013800.0
2025-07-22,UNSP,120.0,124.0,120.0,123.0,193700.0
2025-07-23,UNSP,123.0,130.0,123.0,130.0,3131300.0
2025-07-24,UNSP,134.0,134.0,130.0,130.0,249500.0
2025-07-25,UNSP,120.0,129.0,120.0,129.0,171100.0
2025-07-28,UNSP,129.0,133.0,128.0,128.0,416300.0
2025-07-29,UNSP,133.0,133.0,128.0,128.0,58900.0
2025-07-30,UNSP,129.0,130.0,129.0,129.0,1182500.0
2025-07-31,UNSP,130.0,130.0,123.0,123.0,619100.0
2025-08-01,UNSP,128.0,130.0,128.0,130.0,447900.0
2025-08-04,UNSP,131.0,131.0,130.0,131.0,2505800.0
2025-08-05,UNSP,131.0,132.0,131.0,131.0,12600.0
2025-08-06,UNSP,132.0,135.0,132.0,135.0,1427600.0
2025-08-07,UNSP,137.0,137.0,137.0,137.0,400400.0
2025-08-08,UNSP,136.0,136.0,136.0,136.0,40400.0
2025-08-11,UNSP,135.0,135.0,125.0,125.0,183300.0
2025-08-12,UNSP,126.0,128.0,126.0,128.0,3351400.0
2025-08-13,UNSP,128.0,133.0,128.0,133.0,766200.0
2025-08-14,UNSP,135.0,135.0,135.0,135.0,244300.0
2025-08-15,UNSP,136.0,136.0,135.0,135.0,839800.0
2025-08-19,UNSP,136.0,136.0,136.0,136.0,1127000.0
2025-08-20,UNSP,137.0,141.0,137.0,141.0,1730100.0
2025-08-21,UNSP,143.0,143.0,141.0,143.0,1013000.0
2025-08-22,UNSP,143.0,143.0,143.0,143.0,614800.0
2025-08-25,UNSP,147.0,150.0,146.0,150.0,2946900.0
2025-08-26,UNSP,150.0,151.0,150.0,151.0,825900.0
2025-08-27,UNSP,152.0,157.0,150.0,157.0,3504100.0
2025-08-28,UNSP,157.0,160.0,157.0,160.0,757500.0
2025-08-29,UNSP,161.0,164.0,161.0,164.0,2680100.0
2025-09-01,UNSP,165.0,165.0,165.0,165.0,710700.0
2025-09-02,UNSP,166.0,167.0,166.0,167.0,1086400.0
2025-09-03,UNSP,171.0,171.0,171.0,171.0,618500.0
2025-09-04,UNSP,172.0,172.0,168.0,168.0,633900.0
2025-09-08,UNSP,168.0,168.0,167.0,167.0,513000.0
2025-09-09,UNSP,166.0,166.0,163.0,163.0,1329800.0
2025-09-10,UNSP,162.0,162.0,159.0,159.0,23100.0
2025-09-11,UNSP,158.0,159.0,150.0,159.0,1205600.0
2025-09-12,UNSP,159.0,160.0,159.0,160.0,1728100.0
2025-09-15,UNSP,159.0,165.0,159.0,165.0,2700300.0
2025-09-16,UNSP,170.0,170.0,169.0,170.0,1525400.0
2025-09-17,UNSP,170.0,171.0,170.0,171.0,2234300.0
2025-09-18,UNSP,170.0,171.0,155.0,171.0,538800.0
2025-09-19,UNSP,170.0,170.0,169.0,169.0,1014900.0
2025-09-22,UNSP,170.0,174.0,170.0,174.0,1648200.0
2025-09-23,UNSP,174.0,175.0,174.0,175.0,1178600.0
2025-09-24,UNSP,177.0,177.0,177.0,177.0,362100.0
2025-09-25,UNSP,177.0,177.0,176.0,176.0,556000.0
2025-09-26,UNSP,174.0,174.0,173.0,173.0,125200.0
2025-09-29,UNSP,157.0,170.0,157.0,170.0,172100.0
2025-09-30,UNSP,171.0,171.0,168.0,168.0,162700.0
2025-10-01,UNSP,168.0,168.0,155.0,168.0,1445900.0
2025-10-02,UNSP,170.0,171.0,162.0,167.0,2084500.0
2025-10-03,UNSP,167.0,167.0,165.0,165.0,39400.0
2025-10-06,UNSP,165.0,165.0,159.0,159.0,1953200.0
2025-10-07,UNSP,161.0,169.0,161.0,168.0,1606300.0
2025-10-08,UNSP,168.0,168.0,167.0,167.0,34900.0
2025-10-09,UNSP,167.0,167.0,160.0,160.0,285900.0
2025-10-10,UNSP,159.0,161.0,159.0,161.0,1757600.0
2025-10-13,UNSP,164.0,164.0,163.0,164.0,1563900.0
2025-10-14,UNSP,164.0,170.0,164.0,170.0,1120300.0
2025-10-15,UNSP,170.0,172.0,170.0,170.0,2584000.0
2025-10-16,UNSP,172.0,172.0,170.0,171.0,298900.0
2025-10-17,UNSP,170.0,170.0,159.0,162.0,4171800.0
2025-10-20,UNSP,156.0,163.0,155.0,163.0,83900.0
2025-10-21,UNSP,163.0,163.0,162.0,162.0,109900.0
2025-10-22,UNSP,162.0,170.0,162.0,170.0,1683600.0
2025-10-23,UNSP,170.0,171.0,170.0,171.0,215800.0
2025-10-24,UNSP,170.0,172.0,170.0,172.0,933100.0
2025-10-27,UNSP,172.0,172.0,171.0,171.0,530800.0
2025-10-28,UNSP,172.0,173.0,172.0,172.0,249700.0
2025-10-29,UNSP,173.0,174.0,173.0,173.0,2475600.0
2025-10-30,UNSP,175.0,175.0,174.0,174.0,327900.0
2025-10-31,UNSP,172.0,172.0,170.0,170.0,2110400.0
2025-11-03,UNSP,170.0,170.0,170.0,170.0,1019300.0
2025-11-04,UNSP,173.0,173.0,171.0,172.0,474600.0
2025-11-05,UNSP,172.0,172.0,172.0,172.0,453800.0
2025-11-06,UNSP,172.0,173.0,172.0,172.0,236900.0
2025-11-07,UNSP,172.0,172.0,168.0,168.0,40700.0
2025-11-10,UNSP,168.0,176.0,168.0,175.0,1477700.0
2025-11-11,UNSP,176.0,178.0,176.0,176.0,1773100.0
2025-11-12,UNSP,178.0,178.0,178.0,178.0,2757800.0
2025-11-13,UNSP,177.0,195.0,177.0,195.0,7612100.0
2025-11-14,UNSP,200.0,200.0,200.0,200.0,515200.0
2025-11-17,UNSP,200.0,200.0,197.0,197.0,44200.0
2025-11-18,UNSP,192.0,192.0,190.0,190.0,112000.0
2025-11-19,UNSP,190.0,190.0,190.0,190.0,445500.0
2025-11-20,UNSP,190.0,195.0,190.0,195.0,2095300.0
2025-11-21,UNSP,200.0,202.0,200.0,202.0,1891300.0
2025-11-24,UNSP,206.0,206.0,204.0,204.0,3081300.0
2025-11-25,UNSP,208.0,210.0,206.0,206.0,1309600.0
2025-11-26,UNSP,210.0,210.0,206.0,206.0,357500.0
2025-11-27,UNSP,202.0,202.0,198.0,200.0,1938800.0
2025-11-28,UNSP,202.0,208.0,202.0,206.0,164400.0
2025-12-01,UNSP,208.0,208.0,208.0,208.0,353700.0
2025-12-02,UNSP,208.0,208.0,208.0,208.0,563000.0
2025-12-03,UNSP,208.0,208.0,208.0,208.0,61400.0
2025-12-04,UNSP,210.0,224.0,210.0,224.0,4578000.0
2025-12-05,UNSP,226.0,230.0,226.0,226.0,5132300.0
2025-12-08,UNSP,248.0,248.0,238.0,238.0,11794100.0
2025-12-09,UNSP,216.0,250.0,216.0,250.0,2957800.0
2025-12-10,UNSP,250.0,272.0,250.0,270.0,4200400.0
2025-12-11,UNSP,294.0,294.0,290.0,290.0,7106500.0
2025-12-12,UNSP,300.0,318.0,300.0,318.0,9109100.0
2025-12-15,UNSP,348.0,348.0,348.0,348.0,9801600.0
2025-12-16,UNSP,382.0,382.0,382.0,382.0,3281200.0
2025-12-17,UNSP,382.0,382.0,382.0,382.0,0.0
2025-12-18,UNSP,420.0,420.0,420.0,420.0,11460900.0
2025-12-19,UNSP,458.0,458.0,420.0,420.0,8176800.0
2025-12-22,UNSP,440.0,450.0,420.0,436.0,3973400.0
2025-12-23,UNSP,436.0,436.0,436.0,436.0,0.0
2025-12-24,UNSP,436.0,436.0,436.0,436.0,0.0
2025-12-29,UNSP,436.0,436.0,436.0,436.0,0.0
2025-12-30,UNSP,436.0,436.0,436.0,436.0,0.0
2026-01-02,UNSP,436.0,436.0,436.0,436.0,0.0
2026-01-05,UNSP,436.0,436.0,436.0,436.0,0.0
2026-01-06,UNSP,436.0,436.0,436.0,436.0,0.0
2026-01-07,UNSP,436.0,436.0,436.0,436.0,0.0
2026-01-08,UNSP,436.0,436.0,436.0,436.0,0.0
2026-01-09,UNSP,478.0,478.0,478.0,478.0,6502900.0
2026-01-12,UNSP,525.0,525.0,515.0,515.0,14167600.0
2026-01-13,UNSP,565.0,565.0,560.0,565.0,10851400.0
2026-01-14,UNSP,620.0,620.0,600.0,600.0,10560100.0
2026-01-15,UNSP,550.0,550.0,540.0,540.0,9620800.0
2026-01-19,UNSP,510.0,575.0,510.0,510.0,10160000.0
2026-01-20,UNSP,560.0,560.0,500.0,500.0,5394600.0
2026-01-21,UNSP,500.0,500.0,460.0,462.0,3292000.0
2026-01-22,UNSP,460.0,460.0,416.0,416.0,3963200.0
2026-01-23,UNSP,376.0,376.0,376.0,376.0,3517600.0
2026-01-26,UNSP,356.0,410.0,350.0,350.0,2836000.0
2026-01-27,UNSP,336.0,350.0,336.0,350.0,1812800.0
2026-01-28,UNSP,316.0,316.0,316.0,316.0,1351300.0
2026-01-29,UNSP,286.0,286.0,286.0,286.0,3410500.0
2026-01-30,UNSP,314.0,314.0,310.0,310.0,1211000.0
2026-02-02,UNSP,280.0,280.0,280.0,280.0,903800.0
2026-02-03,UNSP,252.0,254.0,252.0,252.0,17150700.0
2026-02-04,UNSP,254.0,262.0,250.0,250.0,1059200.0
2026-02-05,UNSP,230.0,230.0,230.0,230.0,4344100.0
2026-02-06,UNSP,208.0,208.0,208.0,208.0,965600.0
2026-02-09,UNSP,190.0,228.0,190.0,228.0,2212300.0
2026-02-10,UNSP,228.0,250.0,228.0,250.0,2276400.0
2026-02-11,UNSP,272.0,274.0,272.0,274.0,1825600.0
2026-02-12,UNSP,300.0,300.0,284.0,300.0,1831600.0
2026-02-13,UNSP,300.0,330.0,300.0,330.0,1694200.0
2026-02-18,UNSP,362.0,362.0,362.0,362.0,3004800.0
2026-02-19,UNSP,354.0,360.0,354.0,360.0,2730600.0
2026-02-20,UNSP,380.0,380.0,360.0,374.0,539700.0
2026-02-23,UNSP,374.0,374.0,350.0,350.0,3049300.0
