Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,VICO,151.0,153.0,150.0,152.0,474000.0
2025-06-16,VICO,152.0,158.0,151.0,154.0,381700.0
2025-06-17,VICO,155.0,157.0,152.0,154.0,171100.0
2025-06-18,VICO,156.0,157.0,151.0,151.0,314500.0
2025-06-19,VICO,151.0,153.0,145.0,145.0,209500.0
2025-06-20,VICO,145.0,145.0,142.0,145.0,137000.0
2025-06-23,VICO,142.0,144.0,135.0,136.0,215200.0
2025-06-24,VICO,136.0,148.0,136.0,143.0,91100.0
2025-06-25,VICO,148.0,148.0,144.0,146.0,54700.0
2025-06-26,VICO,146.0,149.0,146.0,146.0,95900.0
2025-06-30,VICO,146.0,148.0,144.0,144.0,622500.0
2025-07-01,VICO,144.0,148.0,144.0,144.0,13500.0
2025-07-02,VICO,148.0,148.0,140.0,143.0,127500.0
2025-07-03,VICO,146.0,147.0,144.0,145.0,63500.0
2025-07-04,VICO,145.0,145.0,144.0,144.0,50800.0
2025-07-07,VICO,145.0,194.0,145.0,192.0,33368700.0
2025-07-08,VICO,195.0,204.0,168.0,168.0,10502700.0
2025-07-09,VICO,168.0,169.0,161.0,167.0,1809800.0
2025-07-10,VICO,167.0,170.0,162.0,168.0,1350500.0
2025-07-11,VICO,167.0,172.0,165.0,166.0,618300.0
2025-07-14,VICO,166.0,167.0,158.0,160.0,1791100.0
2025-07-15,VICO,159.0,162.0,155.0,159.0,462100.0
2025-07-16,VICO,157.0,167.0,154.0,159.0,2009600.0
2025-07-17,VICO,160.0,167.0,159.0,159.0,3129000.0
2025-07-18,VICO,160.0,165.0,159.0,159.0,1675700.0
2025-07-21,VICO,160.0,162.0,157.0,159.0,548500.0
2025-07-22,VICO,159.0,163.0,156.0,158.0,1610400.0
2025-07-23,VICO,158.0,163.0,154.0,160.0,3323000.0
2025-07-24,VICO,160.0,167.0,158.0,160.0,1000800.0
2025-07-25,VICO,160.0,163.0,158.0,163.0,314300.0
2025-07-28,VICO,163.0,165.0,161.0,164.0,243400.0
2025-07-29,VICO,164.0,165.0,161.0,164.0,274200.0
2025-07-30,VICO,163.0,166.0,160.0,160.0,520000.0
2025-07-31,VICO,163.0,163.0,159.0,160.0,320900.0
2025-08-01,VICO,160.0,163.0,159.0,160.0,352500.0
2025-08-04,VICO,168.0,174.0,160.0,164.0,3278500.0
2025-08-05,VICO,168.0,198.0,168.0,180.0,18196300.0
2025-08-06,VICO,180.0,183.0,171.0,173.0,2751300.0
2025-08-07,VICO,175.0,176.0,167.0,171.0,2752800.0
2025-08-08,VICO,170.0,173.0,166.0,169.0,535400.0
2025-08-11,VICO,167.0,179.0,166.0,173.0,1786700.0
2025-08-12,VICO,174.0,174.0,168.0,172.0,340800.0
2025-08-13,VICO,174.0,174.0,169.0,172.0,267500.0
2025-08-14,VICO,173.0,176.0,170.0,175.0,986200.0
2025-08-15,VICO,175.0,183.0,173.0,177.0,1660800.0
2025-08-19,VICO,180.0,184.0,174.0,177.0,1288900.0
2025-08-20,VICO,177.0,182.0,174.0,177.0,1224300.0
2025-08-21,VICO,177.0,179.0,176.0,177.0,364100.0
2025-08-22,VICO,179.0,193.0,179.0,190.0,7847100.0
2025-08-25,VICO,198.0,202.0,185.0,197.0,6467900.0
