Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,VISI,158.96103391222135,158.96103391222135,155.9805145263672,155.9805145263672,559500.0
2025-06-16,VISI,157.96753428532526,158.9610407902644,154.9870147705078,154.9870147705078,393200.0
2025-06-17,VISI,156.97402282330975,158.96103577044025,153.99350340261398,157.967529296875,825200.0
2025-06-18,VISI,158.96104257318038,158.96104257318038,155.98052302493326,156.97402954101562,457500.0
2025-06-19,VISI,155.9805194805195,158.96103896103898,149.02597402597402,153.0,621500.0
2025-06-20,VISI,157.0,157.0,149.0,149.0,191200.0
2025-06-23,VISI,148.0,148.0,139.0,140.0,664200.0
2025-06-24,VISI,145.0,154.0,142.0,146.0,103500.0
2025-06-25,VISI,145.0,150.0,145.0,145.0,151200.0
2025-06-26,VISI,147.0,147.0,140.0,141.0,1085000.0
2025-06-30,VISI,145.0,145.0,139.0,142.0,347600.0
2025-07-01,VISI,150.0,150.0,139.0,140.0,115400.0
2025-07-02,VISI,140.0,140.0,138.0,139.0,149700.0
2025-07-03,VISI,139.0,150.0,136.0,137.0,255700.0
2025-07-04,VISI,137.0,148.0,137.0,139.0,64300.0
2025-07-07,VISI,139.0,144.0,139.0,141.0,395300.0
2025-07-08,VISI,142.0,145.0,141.0,141.0,23800.0
2025-07-09,VISI,142.0,150.0,140.0,144.0,141600.0
2025-07-10,VISI,143.0,144.0,141.0,143.0,107700.0
2025-07-11,VISI,143.0,165.0,143.0,148.0,2021900.0
2025-07-14,VISI,150.0,158.0,149.0,153.0,2806700.0
2025-07-15,VISI,153.0,153.0,146.0,146.0,2074600.0
2025-07-16,VISI,147.0,154.0,147.0,154.0,1162700.0
2025-07-17,VISI,153.0,156.0,153.0,154.0,1887900.0
2025-07-18,VISI,154.0,154.0,149.0,149.0,1304200.0
2025-07-21,VISI,149.0,149.0,141.0,141.0,1580900.0
2025-07-22,VISI,140.0,144.0,140.0,142.0,1649900.0
2025-07-23,VISI,142.0,146.0,137.0,146.0,2074600.0
2025-07-24,VISI,146.0,146.0,143.0,144.0,1176300.0
2025-07-25,VISI,144.0,144.0,140.0,140.0,1887800.0
2025-07-28,VISI,140.0,142.0,139.0,141.0,875500.0
2025-07-29,VISI,141.0,143.0,139.0,143.0,1511700.0
2025-07-30,VISI,144.0,146.0,143.0,144.0,2433000.0
2025-07-31,VISI,145.0,147.0,144.0,145.0,3295800.0
2025-08-01,VISI,146.0,151.0,146.0,147.0,5737600.0
2025-08-04,VISI,146.0,151.0,144.0,150.0,7763900.0
2025-08-05,VISI,151.0,152.0,147.0,148.0,6050500.0
2025-08-06,VISI,150.0,150.0,140.0,143.0,4454400.0
2025-08-07,VISI,143.0,145.0,139.0,139.0,4106900.0
2025-08-08,VISI,140.0,144.0,134.0,135.0,5624400.0
2025-08-11,VISI,135.0,138.0,130.0,137.0,6625100.0
2025-08-12,VISI,136.0,141.0,136.0,140.0,4008000.0
2025-08-13,VISI,140.0,142.0,137.0,138.0,7133900.0
2025-08-14,VISI,138.0,139.0,135.0,136.0,6320900.0
2025-08-15,VISI,136.0,137.0,132.0,136.0,3675000.0
2025-08-19,VISI,137.0,137.0,134.0,135.0,5228800.0
2025-08-20,VISI,135.0,136.0,133.0,134.0,3987100.0
2025-08-21,VISI,133.0,136.0,133.0,133.0,4769900.0
2025-08-22,VISI,133.0,134.0,131.0,132.0,5064000.0
2025-08-25,VISI,129.0,131.0,126.0,129.0,7771400.0
2025-08-26,VISI,129.0,132.0,128.0,129.0,1000600.0
2025-08-27,VISI,128.0,133.0,128.0,131.0,3681100.0
2025-08-28,VISI,132.0,134.0,131.0,132.0,4293400.0
2025-08-29,VISI,132.0,134.0,128.0,133.0,5003800.0
2025-09-01,VISI,126.0,142.0,125.0,138.0,12398100.0
2025-09-02,VISI,141.0,142.0,135.0,139.0,6641800.0
2025-09-03,VISI,139.0,143.0,138.0,142.0,7157000.0
2025-09-04,VISI,143.0,148.0,141.0,142.0,8722700.0
2025-09-08,VISI,142.0,146.0,138.0,144.0,8876900.0
2025-09-09,VISI,144.0,144.0,138.0,141.0,5361300.0
2025-09-10,VISI,141.0,145.0,141.0,144.0,5221600.0
2025-09-11,VISI,144.0,148.0,143.0,147.0,3717500.0
2025-09-12,VISI,147.0,154.0,147.0,152.0,7002700.0
2025-09-15,VISI,153.0,156.0,153.0,156.0,5186600.0
2025-09-16,VISI,156.0,156.0,153.0,155.0,4207100.0
2025-09-17,VISI,155.0,156.0,148.0,156.0,8392700.0
2025-09-18,VISI,156.0,156.0,151.0,152.0,5794700.0
2025-09-19,VISI,152.0,157.0,150.0,155.0,9802300.0
2025-09-22,VISI,155.0,158.0,151.0,158.0,8986200.0
2025-09-23,VISI,158.0,171.0,157.0,168.0,13740000.0
2025-09-24,VISI,168.0,168.0,157.0,160.0,11534200.0
2025-09-25,VISI,160.0,161.0,155.0,159.0,4604400.0
2025-09-26,VISI,159.0,162.0,159.0,161.0,4253500.0
2025-09-29,VISI,161.0,161.0,154.0,161.0,9628400.0
2025-09-30,VISI,161.0,161.0,155.0,157.0,3614500.0
2025-10-01,VISI,157.0,161.0,154.0,161.0,6446100.0
2025-10-02,VISI,160.0,162.0,155.0,157.0,3775800.0
2025-10-03,VISI,157.0,162.0,157.0,160.0,6042800.0
2025-10-06,VISI,160.0,163.0,160.0,163.0,3227400.0
2025-10-07,VISI,163.0,185.0,162.0,176.0,22665700.0
2025-10-08,VISI,177.0,190.0,174.0,184.0,21135500.0
2025-10-09,VISI,184.0,189.0,180.0,185.0,10740200.0
2025-10-10,VISI,185.0,191.0,184.0,188.0,13693700.0
2025-10-13,VISI,188.0,193.0,185.0,185.0,11893100.0
2025-10-14,VISI,185.0,192.0,185.0,191.0,10420300.0
2025-10-15,VISI,191.0,194.0,190.0,190.0,7513800.0
2025-10-16,VISI,190.0,193.0,190.0,190.0,3803900.0
2025-10-17,VISI,191.0,192.0,172.0,185.0,13759300.0
2025-10-20,VISI,185.0,196.0,185.0,192.0,9001800.0
2025-10-21,VISI,192.0,195.0,191.0,193.0,6810300.0
2025-10-22,VISI,193.0,195.0,193.0,193.0,2436100.0
2025-10-23,VISI,194.0,195.0,193.0,193.0,4780100.0
2025-10-24,VISI,193.0,198.0,193.0,195.0,6167200.0
2025-10-27,VISI,196.0,199.0,195.0,196.0,7625900.0
2025-10-28,VISI,196.0,202.0,196.0,199.0,7835000.0
2025-10-29,VISI,200.0,204.0,200.0,202.0,8383800.0
2025-10-30,VISI,202.0,206.0,200.0,200.0,8933500.0
2025-10-31,VISI,202.0,204.0,198.0,200.0,6577900.0
2025-11-03,VISI,200.0,204.0,198.0,200.0,7679500.0
2025-11-04,VISI,200.0,202.0,198.0,200.0,8758500.0
2025-11-05,VISI,200.0,204.0,200.0,202.0,6795600.0
2025-11-06,VISI,202.0,204.0,202.0,202.0,5973000.0
2025-11-07,VISI,202.0,206.0,202.0,204.0,6170700.0
2025-11-10,VISI,206.0,206.0,200.0,202.0,6845600.0
2025-11-11,VISI,202.0,208.0,191.0,202.0,12599700.0
2025-11-12,VISI,202.0,206.0,199.0,202.0,9590400.0
2025-11-13,VISI,202.0,204.0,199.0,202.0,8737200.0
2025-11-14,VISI,202.0,206.0,200.0,204.0,9150100.0
2025-11-17,VISI,204.0,212.0,204.0,206.0,11346200.0
2025-11-18,VISI,206.0,212.0,204.0,210.0,8399000.0
2025-11-19,VISI,208.0,212.0,208.0,210.0,7312400.0
2025-11-20,VISI,212.0,214.0,212.0,212.0,8496700.0
2025-11-21,VISI,212.0,218.0,212.0,218.0,8676100.0
2025-11-24,VISI,218.0,224.0,218.0,220.0,12657300.0
2025-11-25,VISI,218.0,222.0,218.0,218.0,6211900.0
2025-11-26,VISI,218.0,226.0,218.0,222.0,8151300.0
2025-11-27,VISI,222.0,226.0,220.0,222.0,6896000.0
2025-11-28,VISI,220.0,226.0,220.0,224.0,4499300.0
2025-12-01,VISI,224.0,224.0,222.0,222.0,2892700.0
2025-12-02,VISI,224.0,224.0,220.0,224.0,5938700.0
2025-12-03,VISI,224.0,224.0,220.0,220.0,4228900.0
2025-12-04,VISI,222.0,224.0,222.0,222.0,3836500.0
2025-12-05,VISI,222.0,224.0,222.0,222.0,3762400.0
2025-12-08,VISI,224.0,224.0,218.0,220.0,3112700.0
2025-12-09,VISI,220.0,222.0,220.0,222.0,2212200.0
2025-12-10,VISI,222.0,222.0,218.0,218.0,2936000.0
2025-12-11,VISI,216.0,220.0,216.0,218.0,1622800.0
2025-12-12,VISI,220.0,220.0,216.0,216.0,3759300.0
2025-12-15,VISI,214.0,216.0,210.0,210.0,3408900.0
2025-12-16,VISI,208.0,210.0,202.0,204.0,3509600.0
2025-12-17,VISI,202.0,206.0,202.0,204.0,181700.0
2025-12-18,VISI,204.0,204.0,202.0,204.0,376600.0
2025-12-19,VISI,206.0,206.0,199.0,199.0,1173400.0
2025-12-22,VISI,199.0,199.0,197.0,197.0,647900.0
2025-12-23,VISI,196.0,197.0,193.0,193.0,897600.0
2025-12-24,VISI,193.0,194.0,190.0,190.0,994900.0
2025-12-29,VISI,191.0,192.0,188.0,188.0,802100.0
2025-12-30,VISI,189.0,190.0,189.0,189.0,95200.0
2026-01-02,VISI,191.0,191.0,187.0,187.0,261600.0
2026-01-05,VISI,191.0,195.0,188.0,190.0,1620800.0
2026-01-06,VISI,196.0,200.0,190.0,200.0,953500.0
2026-01-07,VISI,204.0,228.0,200.0,214.0,2763700.0
2026-01-08,VISI,218.0,222.0,204.0,214.0,640800.0
2026-01-09,VISI,218.0,220.0,204.0,216.0,379700.0
2026-01-12,VISI,218.0,258.0,218.0,254.0,7634500.0
2026-01-13,VISI,260.0,264.0,234.0,254.0,3467800.0
2026-01-14,VISI,254.0,270.0,250.0,258.0,3023300.0
2026-01-15,VISI,266.0,322.0,260.0,322.0,5836800.0
2026-01-19,VISI,322.0,390.0,322.0,370.0,9834900.0
2026-01-20,VISI,370.0,462.0,350.0,462.0,7784200.0
2026-01-21,VISI,462.0,462.0,462.0,462.0,0.0
2026-01-22,VISI,510.0,575.0,466.0,575.0,7067000.0
2026-01-23,VISI,575.0,575.0,575.0,575.0,0.0
2026-01-26,VISI,575.0,575.0,575.0,575.0,0.0
2026-01-27,VISI,575.0,575.0,575.0,575.0,0.0
2026-01-28,VISI,575.0,575.0,575.0,575.0,0.0
2026-01-29,VISI,575.0,575.0,575.0,575.0,0.0
2026-01-30,VISI,575.0,575.0,575.0,575.0,0.0
2026-02-02,VISI,575.0,575.0,575.0,575.0,0.0
2026-02-03,VISI,575.0,575.0,575.0,575.0,0.0
2026-02-04,VISI,575.0,575.0,575.0,575.0,0.0
2026-02-05,VISI,600.0,630.0,600.0,630.0,4740500.0
2026-02-06,VISI,690.0,690.0,690.0,690.0,1356900.0
2026-02-09,VISI,755.0,755.0,755.0,755.0,519000.0
2026-02-10,VISI,830.0,830.0,830.0,830.0,1293100.0
2026-02-11,VISI,910.0,910.0,910.0,910.0,458700.0
2026-02-12,VISI,1000.0,1000.0,820.0,820.0,23290300.0
2026-02-13,VISI,740.0,900.0,740.0,900.0,9292000.0
2026-02-18,VISI,990.0,1000.0,820.0,845.0,11521700.0
2026-02-19,VISI,845.0,845.0,720.0,720.0,10971600.0
2026-02-20,VISI,720.0,750.0,665.0,680.0,2783600.0
2026-02-23,VISI,685.0,775.0,685.0,710.0,5959500.0
2026-02-24,VISI,720.0,730.0,685.0,685.0,5267300.0
2026-02-25,VISI,685.0,725.0,585.0,585.0,9062100.0
2026-02-26,VISI,520.0,585.0,520.0,560.0,5061200.0
2026-02-27,VISI,560.0,690.0,496.0,595.0,8782500.0
2026-03-02,VISI,580.0,600.0,510.0,540.0,1717300.0
2026-03-03,VISI,555.0,560.0,510.0,540.0,6017300.0
2026-03-04,VISI,545.0,565.0,500.0,540.0,2538700.0
2026-03-05,VISI,540.0,545.0,505.0,530.0,3248200.0
2026-03-06,VISI,535.0,550.0,520.0,520.0,4928600.0
2026-03-09,VISI,505.0,530.0,500.0,520.0,3567200.0
2026-03-10,VISI,525.0,635.0,510.0,590.0,3853400.0
2026-03-11,VISI,640.0,640.0,555.0,560.0,2775800.0
2026-03-12,VISI,580.0,580.0,540.0,560.0,2933900.0
2026-03-13,VISI,560.0,580.0,515.0,550.0,1721000.0
2026-03-16,VISI,510.0,555.0,505.0,530.0,1004900.0
2026-03-17,VISI,530.0,570.0,515.0,560.0,8319500.0
2026-03-25,VISI,535.0,590.0,520.0,580.0,1624700.0
2026-03-26,VISI,585.0,620.0,560.0,610.0,4322000.0
2026-03-27,VISI,610.0,620.0,590.0,605.0,1245100.0
2026-03-30,VISI,595.0,610.0,575.0,590.0,1059200.0
2026-03-31,VISI,600.0,600.0,550.0,585.0,2091800.0
2026-04-01,VISI,585.0,620.0,555.0,600.0,2872300.0
2026-04-02,VISI,620.0,620.0,570.0,575.0,1710900.0
2026-04-06,VISI,560.0,600.0,555.0,560.0,1930600.0
2026-04-07,VISI,565.0,565.0,535.0,555.0,507000.0
2026-04-08,VISI,550.0,565.0,535.0,565.0,5211200.0
2026-04-09,VISI,565.0,570.0,530.0,550.0,5915200.0
2026-04-10,VISI,550.0,595.0,530.0,575.0,2637500.0
2026-04-13,VISI,580.0,580.0,565.0,575.0,679400.0
2026-04-14,VISI,580.0,595.0,565.0,575.0,742600.0
2026-04-15,VISI,585.0,710.0,580.0,665.0,2458000.0
2026-04-16,VISI,675.0,695.0,650.0,675.0,1658100.0
2026-04-17,VISI,675.0,785.0,655.0,740.0,3723000.0
2026-04-20,VISI,760.0,925.0,745.0,925.0,15381500.0
2026-04-21,VISI,925.0,925.0,800.0,870.0,4892700.0
2026-04-22,VISI,875.0,900.0,845.0,875.0,783700.0
2026-04-23,VISI,865.0,875.0,745.0,800.0,1065900.0
2026-04-24,VISI,800.0,800.0,720.0,775.0,1375100.0
2026-04-27,VISI,795.0,850.0,735.0,770.0,847000.0
2026-04-28,VISI,795.0,795.0,720.0,765.0,177800.0
2026-04-29,VISI,765.0,945.0,750.0,850.0,4345800.0
2026-04-30,VISI,865.0,880.0,765.0,790.0,1960200.0
2026-05-04,VISI,790.0,845.0,790.0,800.0,271900.0
2026-05-05,VISI,800.0,815.0,790.0,790.0,229400.0
2026-05-06,VISI,800.0,820.0,780.0,795.0,288900.0
2026-05-07,VISI,795.0,820.0,795.0,815.0,274500.0
2026-05-08,VISI,820.0,830.0,790.0,810.0,690200.0
2026-05-11,VISI,765.0,885.0,760.0,850.0,530500.0
2026-05-12,VISI,860.0,860.0,820.0,830.0,951200.0
2026-05-13,VISI,880.0,880.0,810.0,840.0,760200.0
2026-05-14,VISI,840.0,840.0,840.0,840.0,0.0
2026-05-15,VISI,840.0,840.0,840.0,840.0,0.0
2026-05-18,VISI,835.0,835.0,785.0,820.0,505300.0
2026-05-19,VISI,825.0,830.0,770.0,775.0,861700.0
2026-05-20,VISI,775.0,820.0,750.0,780.0,470000.0
2026-05-21,VISI,800.0,805.0,700.0,735.0,771000.0
2026-05-22,VISI,715.0,765.0,715.0,760.0,248500.0
2026-05-25,VISI,725.0,775.0,720.0,745.0,352800.0
2026-05-26,VISI,745.0,745.0,645.0,710.0,830800.0
2026-05-27,VISI,710.0,710.0,710.0,710.0,0.0
2026-05-28,VISI,710.0,710.0,710.0,710.0,0.0
2026-05-29,VISI,710.0,760.0,700.0,745.0,326800.0
2026-06-02,VISI,745.0,920.0,715.0,905.0,5166200.0
2026-06-03,VISI,920.0,1130.0,920.0,1030.0,24137600.0
2026-06-04,VISI,1020.0,1025.0,925.0,1000.0,3773600.0
2026-06-05,VISI,995.0,1065.0,955.0,1030.0,3283800.0
2026-06-08,VISI,1060.0,1065.0,955.0,1000.0,3513900.0
2026-06-09,VISI,1040.0,1095.0,985.0,1095.0,3264300.0
2026-06-10,VISI,1175.0,1210.0,980.0,1025.0,7963200.0
2026-06-11,VISI,1020.0,1280.0,990.0,1200.0,13626100.0
