Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,VKTR,103.0,103.0,92.0,95.0,52762700.0
2025-06-16,VKTR,94.0,103.0,90.0,93.0,60829500.0
2025-06-17,VKTR,94.0,97.0,94.0,94.0,21072200.0
2025-06-18,VKTR,94.0,97.0,90.0,91.0,13177600.0
2025-06-19,VKTR,91.0,93.0,84.0,87.0,18230600.0
2025-06-20,VKTR,87.0,93.0,84.0,87.0,26752100.0
2025-06-23,VKTR,85.0,85.0,79.0,84.0,18319500.0
2025-06-24,VKTR,82.0,87.0,82.0,84.0,9643200.0
2025-06-25,VKTR,84.0,85.0,79.0,82.0,17460400.0
2025-06-26,VKTR,83.0,89.0,81.0,85.0,27543500.0
2025-06-30,VKTR,85.0,91.0,85.0,86.0,23058800.0
2025-07-01,VKTR,87.0,88.0,84.0,84.0,18977200.0
2025-07-02,VKTR,84.0,86.0,82.0,84.0,19902000.0
2025-07-03,VKTR,84.0,84.0,82.0,83.0,11317300.0
2025-07-04,VKTR,83.0,85.0,82.0,83.0,10727800.0
2025-07-07,VKTR,83.0,83.0,79.0,81.0,12771300.0
2025-07-08,VKTR,81.0,83.0,80.0,82.0,17339400.0
2025-07-09,VKTR,81.0,83.0,81.0,83.0,12378500.0
2025-07-10,VKTR,83.0,84.0,82.0,84.0,9365800.0
2025-07-11,VKTR,84.0,86.0,83.0,85.0,21555100.0
2025-07-14,VKTR,86.0,86.0,83.0,84.0,17041600.0
2025-07-15,VKTR,84.0,84.0,80.0,83.0,16723400.0
2025-07-16,VKTR,84.0,89.0,82.0,86.0,42428100.0
2025-07-17,VKTR,86.0,89.0,86.0,86.0,20358300.0
2025-07-18,VKTR,87.0,88.0,85.0,86.0,18300800.0
2025-07-21,VKTR,87.0,92.0,86.0,88.0,31467100.0
2025-07-22,VKTR,88.0,90.0,85.0,86.0,17280000.0
2025-07-23,VKTR,86.0,88.0,85.0,86.0,19170200.0
2025-07-24,VKTR,86.0,87.0,85.0,86.0,12627800.0
2025-07-25,VKTR,87.0,87.0,84.0,84.0,15392000.0
2025-07-28,VKTR,84.0,85.0,83.0,85.0,9562800.0
2025-07-29,VKTR,85.0,86.0,84.0,85.0,13611900.0
2025-07-30,VKTR,85.0,86.0,82.0,84.0,19061300.0
2025-07-31,VKTR,84.0,84.0,81.0,84.0,17804200.0
2025-08-01,VKTR,84.0,85.0,82.0,85.0,14259100.0
2025-08-04,VKTR,85.0,85.0,83.0,85.0,10479600.0
2025-08-05,VKTR,85.0,85.0,82.0,85.0,13183200.0
2025-08-06,VKTR,85.0,86.0,83.0,83.0,15462300.0
2025-08-07,VKTR,83.0,84.0,82.0,84.0,11695400.0
2025-08-08,VKTR,84.0,84.0,82.0,83.0,15188800.0
2025-08-11,VKTR,83.0,84.0,79.0,81.0,18403100.0
2025-08-12,VKTR,81.0,89.0,80.0,86.0,32066300.0
2025-08-13,VKTR,86.0,88.0,84.0,85.0,17148100.0
2025-08-14,VKTR,86.0,86.0,83.0,85.0,14891900.0
2025-08-15,VKTR,85.0,103.0,83.0,93.0,209158000.0
2025-08-19,VKTR,100.0,103.0,93.0,95.0,80014300.0
2025-08-20,VKTR,97.0,99.0,94.0,95.0,21651200.0
2025-08-21,VKTR,95.0,97.0,95.0,97.0,18148000.0
2025-08-22,VKTR,98.0,124.0,97.0,118.0,448865400.0
2025-08-25,VKTR,121.0,122.0,111.0,117.0,125833500.0
2025-08-26,VKTR,119.0,133.0,116.0,116.0,215139600.0
2025-08-27,VKTR,117.0,119.0,108.0,118.0,49113100.0
2025-08-28,VKTR,119.0,123.0,118.0,119.0,32615800.0
2025-08-29,VKTR,119.0,119.0,109.0,116.0,19239200.0
2025-09-01,VKTR,110.0,114.0,103.0,112.0,12377100.0
2025-09-02,VKTR,112.0,116.0,111.0,111.0,17311400.0
2025-09-03,VKTR,112.0,126.0,111.0,124.0,78998400.0
2025-09-04,VKTR,123.0,124.0,111.0,111.0,48452900.0
2025-09-08,VKTR,111.0,125.0,111.0,117.0,88959300.0
2025-09-09,VKTR,118.0,121.0,111.0,114.0,15629800.0
2025-09-10,VKTR,116.0,119.0,113.0,114.0,9210300.0
2025-09-11,VKTR,119.0,120.0,116.0,118.0,17703000.0
2025-09-12,VKTR,119.0,120.0,116.0,116.0,11780200.0
2025-09-15,VKTR,118.0,119.0,114.0,115.0,13131200.0
2025-09-16,VKTR,117.0,134.0,117.0,126.0,219724100.0
2025-09-17,VKTR,126.0,145.0,120.0,138.0,262466700.0
2025-09-18,VKTR,138.0,179.0,136.0,169.0,615272500.0
2025-09-19,VKTR,172.0,192.0,172.0,176.0,246431200.0
2025-09-22,VKTR,174.0,183.0,170.0,175.0,76718100.0
2025-09-23,VKTR,179.0,196.0,176.0,194.0,197486800.0
2025-09-24,VKTR,194.0,196.0,180.0,186.0,94316600.0
2025-09-25,VKTR,187.0,210.0,185.0,204.0,147398600.0
2025-09-26,VKTR,204.0,214.0,194.0,200.0,182010800.0
2025-09-29,VKTR,200.0,250.0,188.0,232.0,243347800.0
2025-09-30,VKTR,232.0,232.0,232.0,232.0,0.0
2025-10-01,VKTR,232.0,242.0,222.0,224.0,86535000.0
2025-10-02,VKTR,228.0,256.0,226.0,252.0,110757900.0
2025-10-03,VKTR,252.0,252.0,252.0,252.0,0.0
2025-10-06,VKTR,252.0,252.0,252.0,252.0,0.0
2025-10-07,VKTR,252.0,252.0,252.0,252.0,0.0
2025-10-08,VKTR,252.0,252.0,252.0,252.0,0.0
2025-10-09,VKTR,272.0,272.0,252.0,252.0,19736100.0
2025-10-10,VKTR,260.0,270.0,260.0,270.0,11355000.0
2025-10-13,VKTR,270.0,270.0,260.0,260.0,13017000.0
2025-10-14,VKTR,260.0,260.0,240.0,240.0,27890800.0
2025-10-15,VKTR,240.0,240.0,240.0,240.0,14908400.0
2025-10-16,VKTR,260.0,264.0,260.0,264.0,11545300.0
2025-10-17,VKTR,274.0,274.0,270.0,270.0,36656000.0
2025-10-20,VKTR,286.0,302.0,268.0,300.0,75288100.0
2025-10-21,VKTR,300.0,304.0,288.0,300.0,38464600.0
2025-10-22,VKTR,300.0,360.0,300.0,330.0,165376200.0
2025-10-23,VKTR,330.0,336.0,322.0,330.0,44730000.0
2025-10-24,VKTR,334.0,348.0,332.0,338.0,65103000.0
2025-10-27,VKTR,338.0,344.0,302.0,310.0,71699800.0
2025-10-28,VKTR,314.0,336.0,314.0,326.0,26086800.0
2025-10-29,VKTR,328.0,336.0,318.0,326.0,83070600.0
2025-10-30,VKTR,326.0,326.0,314.0,326.0,56159800.0
2025-10-31,VKTR,324.0,334.0,316.0,330.0,70596200.0
2025-11-03,VKTR,330.0,370.0,330.0,356.0,80573600.0
2025-11-04,VKTR,360.0,362.0,336.0,354.0,70939300.0
2025-11-05,VKTR,352.0,356.0,346.0,350.0,71078900.0
2025-11-06,VKTR,350.0,354.0,340.0,350.0,62959700.0
2025-11-07,VKTR,350.0,352.0,342.0,350.0,64419400.0
2025-11-10,VKTR,350.0,362.0,346.0,362.0,80047600.0
2025-11-11,VKTR,362.0,438.0,362.0,430.0,222611500.0
2025-11-12,VKTR,430.0,430.0,410.0,424.0,53609800.0
2025-11-13,VKTR,426.0,434.0,420.0,424.0,63978800.0
2025-11-14,VKTR,426.0,428.0,418.0,424.0,51936400.0
2025-11-17,VKTR,428.0,446.0,420.0,440.0,77808500.0
2025-11-18,VKTR,442.0,444.0,416.0,422.0,39810300.0
2025-11-19,VKTR,424.0,426.0,400.0,422.0,66396600.0
2025-11-20,VKTR,420.0,470.0,420.0,470.0,99226600.0
2025-11-21,VKTR,470.0,478.0,438.0,478.0,63361900.0
2025-11-24,VKTR,480.0,525.0,478.0,496.0,63632100.0
2025-11-25,VKTR,496.0,565.0,494.0,498.0,98970900.0
2025-11-26,VKTR,505.0,525.0,498.0,498.0,50793200.0
2025-11-27,VKTR,505.0,520.0,484.0,498.0,69585100.0
2025-11-28,VKTR,500.0,505.0,488.0,496.0,22945800.0
2025-12-01,VKTR,496.0,565.0,496.0,555.0,100576100.0
2025-12-02,VKTR,580.0,685.0,560.0,650.0,247878300.0
2025-12-03,VKTR,650.0,650.0,650.0,650.0,0.0
2025-12-04,VKTR,650.0,650.0,650.0,650.0,0.0
2025-12-05,VKTR,650.0,650.0,650.0,650.0,0.0
2025-12-08,VKTR,715.0,715.0,715.0,715.0,16979500.0
2025-12-09,VKTR,785.0,785.0,705.0,715.0,45424000.0
2025-12-10,VKTR,725.0,745.0,725.0,745.0,19264900.0
2025-12-11,VKTR,760.0,760.0,745.0,745.0,23855700.0
2025-12-12,VKTR,745.0,745.0,680.0,680.0,18452900.0
2025-12-15,VKTR,745.0,745.0,745.0,745.0,31692300.0
2025-12-16,VKTR,815.0,815.0,815.0,815.0,29723900.0
2025-12-17,VKTR,820.0,935.0,765.0,800.0,206013100.0
2025-12-18,VKTR,800.0,820.0,765.0,790.0,45903500.0
2025-12-19,VKTR,800.0,830.0,770.0,795.0,65250800.0
2025-12-22,VKTR,795.0,810.0,680.0,745.0,153677300.0
2025-12-23,VKTR,785.0,855.0,760.0,845.0,119219300.0
2025-12-24,VKTR,850.0,850.0,780.0,785.0,63795400.0
2025-12-29,VKTR,800.0,850.0,770.0,825.0,59905500.0
2025-12-30,VKTR,830.0,870.0,810.0,845.0,44340000.0
2026-01-02,VKTR,850.0,1045.0,850.0,990.0,170437900.0
2026-01-05,VKTR,1000.0,1015.0,940.0,1005.0,73336300.0
2026-01-06,VKTR,1005.0,1010.0,955.0,975.0,44821400.0
2026-01-07,VKTR,975.0,1025.0,960.0,965.0,71677500.0
2026-01-08,VKTR,965.0,980.0,955.0,970.0,28373400.0
2026-01-09,VKTR,980.0,1075.0,980.0,990.0,116028800.0
2026-01-12,VKTR,1020.0,1035.0,860.0,975.0,124212300.0
2026-01-13,VKTR,975.0,990.0,915.0,950.0,63744500.0
2026-01-14,VKTR,965.0,1060.0,960.0,1005.0,140404700.0
2026-01-15,VKTR,1020.0,1140.0,1010.0,1030.0,197888100.0
2026-01-19,VKTR,1055.0,1225.0,1050.0,1200.0,173871400.0
2026-01-20,VKTR,1230.0,1250.0,1160.0,1200.0,75654500.0
2026-01-21,VKTR,1215.0,1240.0,1175.0,1220.0,53367800.0
2026-01-22,VKTR,1220.0,1230.0,1135.0,1195.0,69616900.0
2026-01-23,VKTR,1195.0,1205.0,1050.0,1100.0,114344900.0
2026-01-26,VKTR,1110.0,1165.0,1100.0,1130.0,65757000.0
2026-01-27,VKTR,1140.0,1340.0,1065.0,1295.0,112352600.0
2026-01-28,VKTR,1105.0,1105.0,1105.0,1105.0,20145200.0
2026-01-29,VKTR,940.0,980.0,940.0,940.0,492006600.0
2026-01-30,VKTR,965.0,975.0,800.0,800.0,374783000.0
2026-02-02,VKTR,790.0,825.0,680.0,680.0,89511700.0
2026-02-03,VKTR,600.0,805.0,600.0,800.0,216800600.0
2026-02-04,VKTR,810.0,820.0,735.0,790.0,99070800.0
2026-02-05,VKTR,820.0,935.0,805.0,845.0,258041000.0
2026-02-06,VKTR,770.0,825.0,745.0,785.0,101651700.0
2026-02-09,VKTR,815.0,835.0,765.0,800.0,78432700.0
2026-02-10,VKTR,785.0,845.0,785.0,815.0,49499700.0
2026-02-11,VKTR,825.0,895.0,820.0,885.0,113212300.0
2026-02-12,VKTR,890.0,945.0,855.0,895.0,157701800.0
2026-02-13,VKTR,885.0,1045.0,870.0,955.0,311402500.0
2026-02-18,VKTR,995.0,1040.0,965.0,1015.0,141605700.0
2026-02-19,VKTR,1015.0,1030.0,990.0,995.0,70127300.0
2026-02-20,VKTR,995.0,1100.0,945.0,1020.0,185859900.0
2026-02-23,VKTR,1040.0,1100.0,1015.0,1045.0,121065200.0
2026-02-24,VKTR,1045.0,1055.0,945.0,970.0,94465500.0
2026-02-25,VKTR,985.0,1020.0,970.0,995.0,47742400.0
