Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,VRNA,79.0,82.0,79.0,81.0,1006700.0
2025-06-16,VRNA,81.0,82.0,80.0,81.0,535100.0
2025-06-17,VRNA,81.0,82.0,81.0,81.0,945300.0
2025-06-18,VRNA,82.0,101.0,76.0,79.0,19395800.0
2025-06-19,VRNA,79.0,82.0,77.0,78.0,751400.0
2025-06-20,VRNA,78.0,79.0,76.0,77.0,539400.0
2025-06-23,VRNA,77.0,77.0,75.0,77.0,331000.0
2025-06-24,VRNA,74.0,78.0,74.0,77.0,114500.0
2025-06-25,VRNA,74.0,76.0,72.0,74.0,374900.0
2025-06-26,VRNA,75.0,75.0,74.0,75.0,74200.0
2025-06-30,VRNA,75.0,75.0,73.0,73.0,176300.0
2025-07-01,VRNA,73.0,74.0,72.0,72.0,418300.0
2025-07-02,VRNA,72.0,72.0,71.0,72.0,222100.0
2025-07-03,VRNA,73.0,73.0,69.0,71.0,1459000.0
2025-07-04,VRNA,72.0,73.0,71.0,71.0,407200.0
2025-07-07,VRNA,71.0,73.0,71.0,72.0,539500.0
2025-07-08,VRNA,72.0,73.0,71.0,73.0,117200.0
2025-07-09,VRNA,74.0,75.0,73.0,75.0,110600.0
2025-07-10,VRNA,74.0,74.0,72.0,73.0,285400.0
2025-07-11,VRNA,73.0,74.0,72.0,74.0,774000.0
2025-07-14,VRNA,74.0,74.0,73.0,74.0,71900.0
2025-07-15,VRNA,73.0,74.0,73.0,74.0,234100.0
2025-07-16,VRNA,74.0,74.0,72.0,72.0,236100.0
2025-07-17,VRNA,73.0,74.0,73.0,73.0,56800.0
2025-07-18,VRNA,75.0,75.0,73.0,74.0,79900.0
2025-07-21,VRNA,72.0,75.0,72.0,74.0,24500.0
2025-07-22,VRNA,73.0,75.0,73.0,74.0,21600.0
2025-07-23,VRNA,73.0,73.0,72.0,73.0,7100.0
2025-07-24,VRNA,73.0,74.0,73.0,74.0,1600.0
2025-07-25,VRNA,74.0,74.0,73.0,73.0,31100.0
2025-07-28,VRNA,73.0,73.0,72.0,73.0,124800.0
2025-07-29,VRNA,73.0,73.0,72.0,72.0,154200.0
2025-07-30,VRNA,72.0,72.0,68.0,72.0,708400.0
2025-07-31,VRNA,72.0,72.0,70.0,72.0,124100.0
2025-08-01,VRNA,75.0,75.0,71.0,72.0,793400.0
2025-08-04,VRNA,72.0,74.0,70.0,73.0,608500.0
2025-08-05,VRNA,71.0,75.0,71.0,74.0,946800.0
2025-08-06,VRNA,74.0,74.0,71.0,72.0,376000.0
2025-08-07,VRNA,73.0,74.0,72.0,72.0,141000.0
2025-08-08,VRNA,72.0,74.0,72.0,73.0,218700.0
2025-08-11,VRNA,73.0,74.0,72.0,72.0,161900.0
2025-08-12,VRNA,72.0,74.0,72.0,74.0,62200.0
2025-08-13,VRNA,74.0,76.0,73.0,75.0,1873000.0
2025-08-14,VRNA,76.0,83.0,74.0,82.0,3615800.0
2025-08-15,VRNA,82.0,82.0,74.0,77.0,2641100.0
2025-08-19,VRNA,77.0,78.0,75.0,76.0,376900.0
2025-08-20,VRNA,79.0,79.0,76.0,78.0,332800.0
2025-08-21,VRNA,79.0,100.0,77.0,97.0,37552800.0
2025-08-22,VRNA,98.0,99.0,89.0,91.0,26591800.0
2025-08-25,VRNA,90.0,98.0,85.0,91.0,11747000.0
2025-08-26,VRNA,91.0,120.0,88.0,91.0,77012600.0
2025-08-27,VRNA,93.0,111.0,91.0,95.0,24138900.0
2025-08-28,VRNA,96.0,97.0,91.0,92.0,4543300.0
2025-08-29,VRNA,93.0,93.0,86.0,90.0,4011700.0
2025-09-01,VRNA,84.0,103.0,81.0,95.0,23577700.0
2025-09-02,VRNA,96.0,97.0,92.0,94.0,6610800.0
2025-09-03,VRNA,95.0,96.0,91.0,91.0,2182500.0
2025-09-04,VRNA,93.0,94.0,91.0,91.0,1436100.0
2025-09-08,VRNA,90.0,91.0,87.0,88.0,2876700.0
2025-09-09,VRNA,88.0,90.0,83.0,86.0,1540500.0
2025-09-10,VRNA,86.0,87.0,84.0,85.0,457800.0
2025-09-11,VRNA,85.0,88.0,85.0,86.0,611600.0
2025-09-12,VRNA,89.0,92.0,85.0,88.0,4836800.0
2025-09-15,VRNA,89.0,90.0,86.0,88.0,763600.0
2025-09-16,VRNA,89.0,91.0,89.0,90.0,1276300.0
2025-09-17,VRNA,91.0,91.0,88.0,90.0,1189800.0
2025-09-18,VRNA,91.0,98.0,89.0,91.0,7207600.0
2025-09-19,VRNA,92.0,93.0,90.0,91.0,1348000.0
2025-09-22,VRNA,93.0,93.0,90.0,92.0,621900.0
2025-09-23,VRNA,93.0,93.0,90.0,91.0,952600.0
2025-09-24,VRNA,91.0,92.0,90.0,90.0,576500.0
2025-09-25,VRNA,90.0,92.0,90.0,91.0,582300.0
2025-09-26,VRNA,91.0,92.0,90.0,90.0,415100.0
2025-09-29,VRNA,92.0,92.0,88.0,90.0,668100.0
2025-09-30,VRNA,89.0,91.0,89.0,89.0,572000.0
2025-10-01,VRNA,90.0,92.0,88.0,89.0,656800.0
2025-10-02,VRNA,89.0,90.0,88.0,90.0,400900.0
2025-10-03,VRNA,90.0,90.0,88.0,88.0,513500.0
2025-10-06,VRNA,88.0,91.0,88.0,88.0,424800.0
2025-10-07,VRNA,88.0,90.0,88.0,89.0,105800.0
2025-10-08,VRNA,90.0,90.0,86.0,89.0,80600.0
