Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,VTNY,122.0,122.0,120.0,121.0,6113100.0
2025-06-16,VTNY,120.0,125.0,116.0,121.0,11077200.0
2025-06-17,VTNY,122.0,127.0,121.0,123.0,10007600.0
2025-06-18,VTNY,124.0,124.0,118.0,118.0,10788200.0
2025-06-19,VTNY,119.0,125.0,118.0,121.0,12043900.0
2025-06-20,VTNY,122.0,122.0,118.0,120.0,6797100.0
2025-06-23,VTNY,120.0,120.0,112.0,113.0,7764700.0
2025-06-24,VTNY,114.0,125.0,112.0,118.0,18011000.0
2025-06-25,VTNY,118.0,119.0,115.0,116.0,9200000.0
2025-06-26,VTNY,117.0,118.0,114.0,116.0,9648500.0
2025-06-30,VTNY,117.0,117.0,115.0,115.0,6148700.0
2025-07-01,VTNY,116.0,118.0,114.0,115.0,9476900.0
2025-07-02,VTNY,116.0,116.0,112.0,113.0,8427500.0
2025-07-03,VTNY,113.0,114.0,112.0,113.0,6748900.0
2025-07-04,VTNY,114.0,114.0,110.0,113.0,5585000.0
2025-07-07,VTNY,113.0,113.0,110.0,111.0,5404900.0
2025-07-08,VTNY,111.0,112.0,108.0,109.0,6545200.0
2025-07-09,VTNY,109.0,115.0,108.0,112.0,9659500.0
2025-07-10,VTNY,113.0,113.0,111.0,113.0,6716300.0
2025-07-11,VTNY,113.0,115.0,112.0,115.0,8530500.0
2025-07-14,VTNY,115.0,115.0,111.0,113.0,6863800.0
2025-07-15,VTNY,113.0,113.0,110.0,112.0,6849100.0
2025-07-16,VTNY,112.0,113.0,110.0,112.0,5724900.0
2025-07-17,VTNY,112.0,114.0,111.0,113.0,7354000.0
2025-07-18,VTNY,113.0,114.0,111.0,112.0,6312200.0
2025-07-21,VTNY,112.0,112.0,110.0,111.0,6720500.0
2025-07-22,VTNY,111.0,116.0,109.0,113.0,10363300.0
2025-07-23,VTNY,113.0,117.0,111.0,116.0,15328100.0
2025-07-24,VTNY,116.0,118.0,101.0,103.0,32111500.0
2025-07-25,VTNY,103.0,107.0,89.0,90.0,36009700.0
2025-07-28,VTNY,88.0,96.0,87.0,94.0,15303100.0
2025-07-29,VTNY,95.0,95.0,90.0,94.0,17033400.0
2025-07-30,VTNY,94.0,94.0,92.0,93.0,7890500.0
2025-07-31,VTNY,93.0,94.0,91.0,92.0,9975100.0
2025-08-01,VTNY,92.0,98.0,90.0,94.0,17198300.0
2025-08-04,VTNY,94.0,94.0,92.0,93.0,16610400.0
2025-08-05,VTNY,94.0,96.0,92.0,94.0,15737700.0
2025-08-06,VTNY,94.0,95.0,93.0,94.0,9557600.0
2025-08-07,VTNY,94.0,95.0,93.0,94.0,10961300.0
2025-08-08,VTNY,94.0,94.0,92.0,93.0,16977400.0
2025-08-11,VTNY,94.0,94.0,87.0,89.0,23685600.0
