Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,WAPO,161.0,163.0,158.0,160.0,1105600.0
2025-06-16,WAPO,159.0,162.0,158.0,160.0,671300.0
2025-06-17,WAPO,160.0,160.0,156.0,158.0,927100.0
2025-06-18,WAPO,158.0,158.0,156.0,158.0,377600.0
2025-06-19,WAPO,157.0,158.0,149.0,150.0,1409100.0
2025-06-20,WAPO,149.0,149.0,141.0,145.0,1335700.0
2025-06-23,WAPO,143.0,156.0,132.0,147.0,4218700.0
2025-06-24,WAPO,142.0,146.0,139.0,145.0,901300.0
2025-06-25,WAPO,145.0,153.0,142.0,149.0,1122600.0
2025-06-26,WAPO,152.0,153.0,144.0,144.0,676500.0
2025-06-30,WAPO,144.0,148.0,141.0,144.0,450400.0
2025-07-01,WAPO,144.0,146.0,143.0,143.0,332200.0
2025-07-02,WAPO,146.0,146.0,139.0,140.0,551900.0
2025-07-03,WAPO,142.0,142.0,139.0,141.0,306800.0
2025-07-04,WAPO,142.0,159.0,140.0,158.0,3703800.0
2025-07-07,WAPO,154.0,156.0,148.0,149.0,3670400.0
2025-07-08,WAPO,149.0,149.0,145.0,147.0,997200.0
2025-07-09,WAPO,147.0,152.0,145.0,150.0,1273900.0
2025-07-10,WAPO,150.0,173.0,147.0,164.0,27455300.0
2025-07-11,WAPO,158.0,159.0,153.0,154.0,4336500.0
2025-07-14,WAPO,156.0,157.0,151.0,151.0,1704500.0
2025-07-15,WAPO,154.0,162.0,150.0,152.0,8026900.0
2025-07-16,WAPO,150.0,152.0,147.0,148.0,1850500.0
2025-07-17,WAPO,149.0,153.0,148.0,148.0,1265300.0
2025-07-18,WAPO,149.0,156.0,145.0,147.0,2642900.0
2025-07-21,WAPO,150.0,153.0,148.0,149.0,1604800.0
2025-07-22,WAPO,149.0,153.0,145.0,147.0,977900.0
2025-07-23,WAPO,148.0,150.0,146.0,150.0,1160700.0
2025-07-24,WAPO,162.0,164.0,144.0,145.0,13573600.0
2025-07-25,WAPO,146.0,146.0,142.0,142.0,1341900.0
2025-07-28,WAPO,142.0,146.0,140.0,144.0,1639400.0
2025-07-29,WAPO,144.0,154.0,142.0,150.0,3561600.0
2025-07-30,WAPO,148.0,151.0,145.0,147.0,2224800.0
2025-07-31,WAPO,148.0,149.0,144.0,144.0,1115700.0
2025-08-01,WAPO,145.0,146.0,141.0,142.0,2568500.0
2025-08-04,WAPO,145.0,145.0,141.0,143.0,806000.0
2025-08-05,WAPO,143.0,144.0,140.0,141.0,574300.0
2025-08-06,WAPO,141.0,143.0,140.0,141.0,623100.0
2025-08-07,WAPO,141.0,145.0,141.0,142.0,753500.0
2025-08-08,WAPO,143.0,144.0,136.0,139.0,844500.0
2025-08-11,WAPO,140.0,144.0,139.0,139.0,556200.0
2025-08-12,WAPO,139.0,142.0,136.0,141.0,483500.0
2025-08-13,WAPO,141.0,142.0,139.0,141.0,446900.0
2025-08-14,WAPO,141.0,145.0,140.0,142.0,905400.0
2025-08-15,WAPO,142.0,144.0,141.0,141.0,311700.0
2025-08-19,WAPO,141.0,144.0,140.0,143.0,470500.0
2025-08-20,WAPO,143.0,144.0,142.0,144.0,561000.0
2025-08-21,WAPO,144.0,147.0,144.0,145.0,1466900.0
2025-08-22,WAPO,146.0,148.0,145.0,146.0,1248500.0
2025-08-25,WAPO,146.0,147.0,143.0,144.0,1038300.0
2025-08-26,WAPO,143.0,146.0,140.0,142.0,729800.0
2025-08-27,WAPO,145.0,191.0,141.0,170.0,197166000.0
2025-08-28,WAPO,175.0,218.0,172.0,212.0,116239600.0
2025-08-29,WAPO,198.0,202.0,191.0,195.0,29452200.0
2025-09-01,WAPO,184.0,192.0,171.0,183.0,13129300.0
2025-09-02,WAPO,190.0,200.0,180.0,195.0,25885700.0
2025-09-03,WAPO,196.0,230.0,191.0,206.0,60555500.0
2025-09-04,WAPO,206.0,242.0,198.0,206.0,114219600.0
2025-09-08,WAPO,206.0,210.0,196.0,196.0,18341300.0
2025-09-09,WAPO,200.0,208.0,192.0,193.0,16155600.0
2025-09-10,WAPO,198.0,198.0,168.0,175.0,15447400.0
2025-09-11,WAPO,180.0,182.0,171.0,172.0,5132800.0
2025-09-12,WAPO,172.0,176.0,171.0,174.0,3144800.0
2025-09-15,WAPO,175.0,177.0,169.0,175.0,2192600.0
2025-09-16,WAPO,176.0,183.0,170.0,172.0,8203200.0
2025-09-17,WAPO,175.0,184.0,170.0,176.0,8436000.0
2025-09-18,WAPO,176.0,176.0,170.0,173.0,2324200.0
2025-09-19,WAPO,173.0,174.0,161.0,161.0,3181400.0
2025-09-22,WAPO,163.0,167.0,156.0,165.0,2680900.0
2025-09-23,WAPO,165.0,169.0,161.0,166.0,1260400.0
2025-09-24,WAPO,169.0,169.0,156.0,163.0,1952200.0
2025-09-25,WAPO,163.0,163.0,156.0,156.0,1164500.0
2025-09-26,WAPO,158.0,163.0,151.0,160.0,1348200.0
2025-09-29,WAPO,163.0,171.0,161.0,165.0,2763600.0
2025-09-30,WAPO,170.0,170.0,162.0,166.0,623100.0
2025-10-01,WAPO,166.0,172.0,164.0,166.0,1209800.0
2025-10-02,WAPO,168.0,168.0,164.0,166.0,589500.0
2025-10-03,WAPO,165.0,166.0,161.0,166.0,635600.0
2025-10-06,WAPO,161.0,180.0,161.0,168.0,12788300.0
2025-10-07,WAPO,170.0,174.0,165.0,166.0,2196900.0
2025-10-08,WAPO,166.0,169.0,163.0,163.0,1553100.0
2025-10-09,WAPO,163.0,175.0,162.0,170.0,4907800.0
2025-10-10,WAPO,174.0,202.0,170.0,171.0,46194000.0
2025-10-13,WAPO,166.0,170.0,161.0,168.0,2776000.0
2025-10-14,WAPO,168.0,170.0,161.0,163.0,3052200.0
2025-10-15,WAPO,163.0,165.0,162.0,163.0,1468800.0
2025-10-16,WAPO,163.0,169.0,163.0,166.0,1051800.0
2025-10-17,WAPO,166.0,183.0,163.0,174.0,17769800.0
2025-10-20,WAPO,175.0,234.0,175.0,234.0,152193900.0
2025-10-21,WAPO,230.0,292.0,210.0,292.0,115772600.0
2025-10-22,WAPO,292.0,292.0,292.0,292.0,0.0
2025-10-23,WAPO,364.0,364.0,250.0,250.0,106264700.0
2025-10-24,WAPO,234.0,260.0,214.0,214.0,69522300.0
2025-10-27,WAPO,185.0,197.0,182.0,191.0,26645600.0
2025-10-28,WAPO,195.0,202.0,173.0,176.0,38681800.0
2025-10-29,WAPO,176.0,180.0,167.0,171.0,14287700.0
2025-10-30,WAPO,171.0,185.0,170.0,173.0,16595800.0
2025-10-31,WAPO,173.0,176.0,169.0,175.0,4776700.0
2025-11-03,WAPO,194.0,212.0,176.0,180.0,74041900.0
2025-11-04,WAPO,180.0,181.0,174.0,175.0,4309700.0
2025-11-05,WAPO,175.0,175.0,172.0,173.0,2875800.0
2025-11-06,WAPO,173.0,180.0,173.0,177.0,4549200.0
2025-11-07,WAPO,177.0,187.0,176.0,176.0,12708800.0
2025-11-10,WAPO,176.0,210.0,172.0,187.0,98349800.0
2025-11-11,WAPO,187.0,187.0,181.0,185.0,5450900.0
2025-11-12,WAPO,186.0,193.0,183.0,189.0,8063800.0
2025-11-13,WAPO,190.0,194.0,185.0,188.0,6257300.0
2025-11-14,WAPO,190.0,190.0,182.0,182.0,1992800.0
2025-11-17,WAPO,183.0,195.0,182.0,194.0,11376200.0
2025-11-18,WAPO,191.0,193.0,186.0,189.0,4213000.0
2025-11-19,WAPO,191.0,191.0,187.0,191.0,2435700.0
2025-11-20,WAPO,191.0,191.0,183.0,187.0,2891400.0
2025-11-21,WAPO,188.0,194.0,186.0,187.0,7623900.0
2025-11-24,WAPO,187.0,189.0,176.0,183.0,2595600.0
2025-11-25,WAPO,183.0,188.0,180.0,183.0,2296600.0
2025-11-26,WAPO,185.0,189.0,181.0,182.0,1870900.0
2025-11-27,WAPO,182.0,234.0,182.0,188.0,91043100.0
2025-11-28,WAPO,185.0,193.0,180.0,186.0,9041200.0
2025-12-01,WAPO,190.0,198.0,185.0,190.0,9104100.0
2025-12-02,WAPO,193.0,195.0,189.0,190.0,4239500.0
2025-12-03,WAPO,191.0,204.0,190.0,197.0,7157800.0
2025-12-04,WAPO,197.0,204.0,193.0,195.0,5542800.0
2025-12-05,WAPO,197.0,198.0,193.0,193.0,2087500.0
2025-12-08,WAPO,193.0,196.0,191.0,195.0,1510400.0
2025-12-09,WAPO,195.0,198.0,193.0,195.0,1568600.0
2025-12-10,WAPO,195.0,218.0,193.0,212.0,25086500.0
2025-12-11,WAPO,208.0,208.0,195.0,197.0,6614700.0
2025-12-12,WAPO,195.0,200.0,195.0,195.0,1564900.0
2025-12-15,WAPO,195.0,195.0,182.0,182.0,4521700.0
2025-12-16,WAPO,182.0,188.0,178.0,185.0,1828500.0
2025-12-17,WAPO,185.0,191.0,185.0,189.0,1182800.0
2025-12-18,WAPO,190.0,191.0,187.0,187.0,706000.0
2025-12-19,WAPO,190.0,191.0,181.0,181.0,872000.0
2025-12-22,WAPO,181.0,188.0,181.0,183.0,527700.0
2025-12-23,WAPO,185.0,188.0,181.0,181.0,635600.0
2025-12-24,WAPO,180.0,185.0,180.0,181.0,765400.0
2025-12-29,WAPO,181.0,185.0,179.0,181.0,910700.0
2025-12-30,WAPO,181.0,183.0,179.0,180.0,831200.0
2026-01-02,WAPO,182.0,184.0,181.0,183.0,440800.0
2026-01-05,WAPO,184.0,188.0,183.0,188.0,1300900.0
2026-01-06,WAPO,188.0,190.0,184.0,188.0,952300.0
2026-01-07,WAPO,188.0,190.0,186.0,187.0,860700.0
2026-01-08,WAPO,188.0,192.0,185.0,188.0,1946500.0
2026-01-09,WAPO,189.0,193.0,188.0,192.0,1470000.0
2026-01-12,WAPO,194.0,195.0,184.0,189.0,1996800.0
2026-01-13,WAPO,189.0,190.0,182.0,182.0,1297400.0
2026-01-14,WAPO,184.0,188.0,182.0,186.0,944000.0
2026-01-15,WAPO,185.0,216.0,183.0,195.0,23661000.0
2026-01-19,WAPO,195.0,195.0,167.0,182.0,8160200.0
2026-01-20,WAPO,185.0,187.0,182.0,183.0,1813300.0
2026-01-21,WAPO,183.0,186.0,181.0,182.0,1171900.0
2026-01-22,WAPO,184.0,240.0,182.0,188.0,113038800.0
2026-01-23,WAPO,187.0,192.0,183.0,186.0,5647500.0
2026-01-26,WAPO,185.0,192.0,184.0,186.0,4268100.0
2026-01-27,WAPO,187.0,191.0,184.0,188.0,1539800.0
2026-01-28,WAPO,226.0,252.0,190.0,252.0,142559300.0
2026-01-29,WAPO,300.0,308.0,216.0,216.0,121909800.0
2026-01-30,WAPO,185.0,195.0,185.0,187.0,25859300.0
2026-02-02,WAPO,184.0,184.0,169.0,173.0,12652600.0
2026-02-03,WAPO,173.0,228.0,161.0,190.0,121649500.0
2026-02-04,WAPO,191.0,194.0,176.0,182.0,17360500.0
2026-02-05,WAPO,182.0,188.0,178.0,181.0,6055600.0
2026-02-06,WAPO,181.0,181.0,175.0,176.0,4502300.0
2026-02-09,WAPO,176.0,188.0,173.0,178.0,6852800.0
2026-02-10,WAPO,179.0,183.0,177.0,179.0,2417100.0
2026-02-11,WAPO,179.0,186.0,178.0,183.0,6486900.0
2026-02-12,WAPO,183.0,183.0,180.0,181.0,2843400.0
2026-02-13,WAPO,181.0,181.0,178.0,179.0,1841000.0
2026-02-18,WAPO,178.0,179.0,175.0,178.0,2485500.0
2026-02-19,WAPO,178.0,179.0,172.0,179.0,2318300.0
2026-02-20,WAPO,178.0,181.0,176.0,179.0,2497000.0
2026-02-23,WAPO,179.0,182.0,178.0,179.0,2795800.0
2026-02-24,WAPO,179.0,183.0,175.0,176.0,3366500.0
2026-02-25,WAPO,176.0,181.0,173.0,177.0,1969700.0
2026-02-26,WAPO,180.0,180.0,173.0,175.0,1672200.0
2026-02-27,WAPO,174.0,175.0,166.0,171.0,2480100.0
2026-03-02,WAPO,165.0,168.0,151.0,152.0,4282200.0
2026-03-03,WAPO,152.0,160.0,151.0,153.0,1635500.0
2026-03-04,WAPO,153.0,158.0,131.0,140.0,2731000.0
2026-03-05,WAPO,143.0,149.0,139.0,143.0,872100.0
2026-03-06,WAPO,145.0,145.0,138.0,144.0,523600.0
2026-03-09,WAPO,142.0,142.0,123.0,125.0,3382500.0
2026-03-10,WAPO,130.0,145.0,126.0,130.0,1362400.0
2026-03-11,WAPO,131.0,135.0,128.0,132.0,739200.0
2026-03-12,WAPO,132.0,132.0,126.0,126.0,323700.0
2026-03-13,WAPO,124.0,124.0,117.0,122.0,1016800.0
2026-03-16,WAPO,117.0,124.0,115.0,115.0,1063700.0
2026-03-17,WAPO,115.0,120.0,112.0,113.0,504500.0
2026-03-25,WAPO,113.0,124.0,110.0,119.0,426200.0
2026-03-26,WAPO,121.0,135.0,118.0,122.0,5783500.0
2026-03-27,WAPO,122.0,124.0,119.0,122.0,333100.0
2026-03-30,WAPO,124.0,124.0,118.0,120.0,381400.0
2026-03-31,WAPO,120.0,127.0,120.0,123.0,461800.0
2026-04-01,WAPO,124.0,127.0,123.0,124.0,251600.0
2026-04-02,WAPO,123.0,127.0,120.0,121.0,845800.0
2026-04-06,WAPO,120.0,120.0,116.0,119.0,603900.0
2026-04-07,WAPO,117.0,129.0,117.0,122.0,2358300.0
2026-04-08,WAPO,124.0,125.0,121.0,123.0,447900.0
2026-04-09,WAPO,123.0,126.0,122.0,124.0,376900.0
2026-04-10,WAPO,124.0,132.0,124.0,127.0,1711500.0
2026-04-13,WAPO,126.0,136.0,124.0,132.0,2001100.0
2026-04-14,WAPO,132.0,139.0,132.0,136.0,1826600.0
2026-04-15,WAPO,137.0,144.0,137.0,138.0,2364500.0
2026-04-16,WAPO,139.0,143.0,138.0,142.0,1611600.0
2026-04-17,WAPO,142.0,161.0,140.0,151.0,19313100.0
2026-04-20,WAPO,151.0,151.0,142.0,146.0,3581800.0
2026-04-21,WAPO,147.0,147.0,142.0,143.0,984000.0
2026-04-22,WAPO,142.0,149.0,142.0,145.0,1233100.0
2026-04-23,WAPO,145.0,148.0,143.0,143.0,762400.0
2026-04-24,WAPO,143.0,146.0,131.0,133.0,1818800.0
2026-04-27,WAPO,133.0,141.0,133.0,138.0,528600.0
2026-04-28,WAPO,138.0,146.0,138.0,141.0,1482400.0
2026-04-29,WAPO,141.0,145.0,138.0,140.0,601500.0
2026-04-30,WAPO,140.0,141.0,135.0,136.0,632400.0
2026-05-04,WAPO,136.0,140.0,132.0,137.0,369100.0
2026-05-05,WAPO,140.0,140.0,137.0,138.0,429600.0
2026-05-06,WAPO,140.0,143.0,139.0,140.0,389200.0
2026-05-07,WAPO,141.0,143.0,139.0,139.0,323000.0
2026-05-08,WAPO,131.0,142.0,130.0,136.0,1495800.0
2026-05-11,WAPO,132.0,136.0,132.0,136.0,478600.0
2026-05-12,WAPO,136.0,137.0,131.0,135.0,476200.0
2026-05-13,WAPO,135.0,136.0,129.0,129.0,785000.0
2026-05-14,WAPO,129.0,129.0,129.0,129.0,0.0
2026-05-15,WAPO,129.0,129.0,129.0,129.0,0.0
2026-05-18,WAPO,129.0,132.0,123.0,132.0,916700.0
2026-05-19,WAPO,132.0,133.0,126.0,131.0,202700.0
2026-05-20,WAPO,131.0,131.0,121.0,124.0,820400.0
2026-05-21,WAPO,127.0,131.0,118.0,118.0,1468900.0
2026-05-22,WAPO,118.0,123.0,118.0,120.0,225400.0
2026-05-25,WAPO,120.0,134.0,119.0,123.0,272900.0
2026-05-26,WAPO,123.0,129.0,121.0,122.0,290900.0
2026-05-27,WAPO,122.0,122.0,122.0,122.0,0.0
2026-05-28,WAPO,122.0,122.0,122.0,122.0,0.0
2026-05-29,WAPO,122.0,129.0,117.0,122.0,293500.0
2026-06-02,WAPO,122.0,127.0,122.0,122.0,198500.0
2026-06-03,WAPO,123.0,123.0,110.0,112.0,325800.0
2026-06-04,WAPO,112.0,125.0,103.0,113.0,229400.0
2026-06-05,WAPO,113.0,113.0,102.0,108.0,151500.0
2026-06-08,WAPO,94.0,130.0,92.0,92.0,3001100.0
2026-06-09,WAPO,99.0,110.0,93.0,102.0,547300.0
2026-06-10,WAPO,102.0,116.0,96.0,102.0,679600.0
2026-06-11,WAPO,109.0,122.0,105.0,109.0,6407600.0
