Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,WIRG,93.0,103.0,91.0,91.0,642898800.0
2025-06-16,WIRG,89.0,91.0,85.0,88.0,229969400.0
2025-06-17,WIRG,88.0,89.0,86.0,88.0,68443500.0
2025-06-18,WIRG,88.0,88.0,85.0,87.0,87084300.0
2025-06-19,WIRG,87.0,87.0,81.0,83.0,120773700.0
2025-06-20,WIRG,82.0,82.0,79.0,81.0,401588200.0
2025-06-23,WIRG,79.0,80.0,77.0,78.0,122481200.0
2025-06-24,WIRG,79.0,81.0,77.0,79.0,121878300.0
2025-06-25,WIRG,80.0,80.0,77.0,79.0,166886300.0
2025-06-26,WIRG,79.0,80.0,77.0,80.0,189238100.0
2025-06-30,WIRG,81.0,81.0,79.0,80.0,59415200.0
2025-07-01,WIRG,80.0,81.0,78.0,79.0,94601000.0
2025-07-02,WIRG,79.0,80.0,77.0,80.0,124477300.0
2025-07-03,WIRG,80.0,87.0,79.0,82.0,305531800.0
2025-07-04,WIRG,82.0,85.0,82.0,82.0,106472200.0
2025-07-07,WIRG,83.0,85.0,79.0,80.0,185462500.0
2025-07-08,WIRG,80.0,92.0,79.0,89.0,491220300.0
2025-07-09,WIRG,90.0,92.0,86.0,89.0,273891300.0
2025-07-10,WIRG,90.0,99.0,88.0,95.0,550408000.0
2025-07-11,WIRG,95.0,96.0,89.0,90.0,282997500.0
2025-07-14,WIRG,90.0,91.0,86.0,88.0,178580400.0
2025-07-15,WIRG,89.0,95.0,89.0,90.0,707972300.0
2025-07-16,WIRG,91.0,94.0,89.0,90.0,201526100.0
2025-07-17,WIRG,91.0,97.0,90.0,94.0,321755700.0
2025-07-18,WIRG,95.0,104.0,94.0,96.0,1137805100.0
2025-07-21,WIRG,97.0,129.0,95.0,116.0,2359816700.0
2025-07-22,WIRG,118.0,126.0,112.0,114.0,1322592500.0
2025-07-23,WIRG,116.0,134.0,115.0,125.0,2384968700.0
2025-07-24,WIRG,126.0,126.0,107.0,107.0,1502209800.0
2025-07-25,WIRG,102.0,112.0,100.0,110.0,587364200.0
2025-07-28,WIRG,112.0,114.0,106.0,108.0,329092300.0
2025-07-29,WIRG,107.0,117.0,106.0,116.0,677053400.0
2025-07-30,WIRG,118.0,121.0,113.0,113.0,685950600.0
2025-07-31,WIRG,114.0,119.0,108.0,110.0,727395300.0
2025-08-01,WIRG,110.0,118.0,107.0,118.0,568081700.0
2025-08-04,WIRG,119.0,127.0,114.0,121.0,1453189800.0
2025-08-05,WIRG,121.0,122.0,115.0,115.0,339443800.0
2025-08-06,WIRG,116.0,124.0,115.0,121.0,610614300.0
2025-08-07,WIRG,123.0,123.0,117.0,117.0,308779300.0
2025-08-08,WIRG,119.0,120.0,115.0,116.0,244377600.0
2025-08-11,WIRG,117.0,122.0,117.0,118.0,372597200.0
2025-08-12,WIRG,119.0,130.0,118.0,129.0,1280576400.0
2025-08-13,WIRG,131.0,134.0,125.0,126.0,1038563100.0
2025-08-14,WIRG,126.0,164.0,126.0,160.0,3616442500.0
2025-08-15,WIRG,165.0,208.0,161.0,181.0,6556081700.0
2025-08-19,WIRG,170.0,196.0,160.0,184.0,4351049800.0
2025-08-20,WIRG,188.0,189.0,178.0,178.0,999074100.0
2025-08-21,WIRG,178.0,199.0,177.0,193.0,2841049300.0
2025-08-22,WIRG,198.0,242.0,194.0,222.0,3439220000.0
2025-08-25,WIRG,226.0,238.0,218.0,224.0,1678706600.0
2025-08-26,WIRG,216.0,218.0,206.0,208.0,1104300400.0
2025-08-27,WIRG,206.0,222.0,197.0,197.0,1521764100.0
2025-08-28,WIRG,197.0,214.0,188.0,197.0,1894112400.0
2025-08-29,WIRG,188.0,192.0,168.0,183.0,2918287500.0
2025-09-01,WIRG,167.0,181.0,166.0,172.0,1469038700.0
2025-09-02,WIRG,175.0,191.0,173.0,182.0,2206636500.0
2025-09-03,WIRG,185.0,189.0,176.0,178.0,924407500.0
2025-09-04,WIRG,180.0,187.0,174.0,177.0,797373300.0
2025-09-08,WIRG,178.0,184.0,164.0,169.0,603264100.0
2025-09-09,WIRG,170.0,174.0,152.0,170.0,1089520600.0
2025-09-10,WIRG,173.0,176.0,168.0,168.0,954955000.0
2025-09-11,WIRG,170.0,182.0,167.0,181.0,1504579300.0
2025-09-12,WIRG,183.0,185.0,176.0,176.0,855136500.0
2025-09-15,WIRG,176.0,178.0,170.0,172.0,568478600.0
2025-09-16,WIRG,172.0,173.0,164.0,165.0,749489600.0
2025-09-17,WIRG,167.0,168.0,153.0,154.0,1154017400.0
2025-09-18,WIRG,155.0,164.0,144.0,157.0,1909840500.0
2025-09-19,WIRG,157.0,159.0,147.0,151.0,594786700.0
2025-09-22,WIRG,152.0,155.0,147.0,151.0,558503500.0
2025-09-23,WIRG,152.0,158.0,150.0,156.0,731184000.0
2025-09-24,WIRG,156.0,157.0,142.0,143.0,794101300.0
2025-09-25,WIRG,143.0,147.0,134.0,137.0,1174539400.0
2025-09-26,WIRG,138.0,143.0,136.0,139.0,325768800.0
2025-09-29,WIRG,139.0,152.0,139.0,148.0,877104200.0
2025-09-30,WIRG,150.0,150.0,139.0,139.0,523721600.0
2025-10-01,WIRG,139.0,140.0,131.0,132.0,535024800.0
2025-10-02,WIRG,132.0,137.0,128.0,130.0,494616300.0
2025-10-03,WIRG,131.0,135.0,127.0,130.0,529479600.0
2025-10-06,WIRG,132.0,141.0,130.0,133.0,806108700.0
2025-10-07,WIRG,134.0,135.0,128.0,128.0,353760100.0
2025-10-08,WIRG,128.0,130.0,122.0,123.0,496348100.0
2025-10-09,WIRG,125.0,132.0,121.0,126.0,547443100.0
2025-10-10,WIRG,127.0,137.0,124.0,136.0,729712900.0
2025-10-13,WIRG,131.0,158.0,130.0,158.0,2491702700.0
2025-10-14,WIRG,162.0,165.0,135.0,138.0,2093430300.0
2025-10-15,WIRG,139.0,140.0,125.0,130.0,607855100.0
2025-10-16,WIRG,130.0,135.0,128.0,128.0,173308900.0
2025-10-17,WIRG,128.0,129.0,116.0,116.0,424273900.0
2025-10-20,WIRG,115.0,122.0,112.0,117.0,357078400.0
