Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,YPAS,288.0,288.0,288.0,288.0,1200.0
2025-06-16,YPAS,288.0,288.0,288.0,288.0,0.0
2025-06-17,YPAS,288.0,288.0,288.0,288.0,0.0
2025-06-18,YPAS,288.0,288.0,288.0,288.0,0.0
2025-06-19,YPAS,288.0,288.0,288.0,288.0,0.0
2025-06-20,YPAS,270.0,270.0,270.0,270.0,100.0
2025-06-23,YPAS,270.0,270.0,270.0,270.0,0.0
2025-06-24,YPAS,270.0,270.0,270.0,270.0,0.0
2025-06-25,YPAS,270.0,270.0,270.0,270.0,0.0
2025-06-26,YPAS,270.0,270.0,270.0,270.0,2000.0
2025-06-30,YPAS,270.0,270.0,270.0,270.0,0.0
2025-07-01,YPAS,270.0,270.0,270.0,270.0,100.0
2025-07-02,YPAS,260.0,270.0,260.0,270.0,200.0
2025-07-03,YPAS,292.0,292.0,270.0,270.0,8000.0
2025-07-04,YPAS,270.0,294.0,270.0,294.0,2100.0
2025-07-07,YPAS,294.0,294.0,294.0,294.0,0.0
2025-07-08,YPAS,294.0,294.0,294.0,294.0,0.0
2025-07-09,YPAS,294.0,294.0,294.0,294.0,0.0
2025-07-10,YPAS,294.0,294.0,294.0,294.0,1500.0
2025-07-11,YPAS,294.0,294.0,294.0,294.0,0.0
2025-07-14,YPAS,294.0,294.0,294.0,294.0,0.0
2025-07-15,YPAS,322.0,322.0,322.0,322.0,8100.0
2025-07-16,YPAS,354.0,354.0,354.0,354.0,11900.0
2025-07-17,YPAS,354.0,354.0,354.0,354.0,300.0
2025-07-18,YPAS,354.0,354.0,354.0,354.0,100.0
2025-07-21,YPAS,354.0,354.0,354.0,354.0,0.0
2025-07-22,YPAS,354.0,354.0,354.0,354.0,0.0
2025-07-23,YPAS,354.0,354.0,354.0,354.0,0.0
2025-07-24,YPAS,354.0,354.0,354.0,354.0,0.0
2025-07-25,YPAS,354.0,354.0,354.0,354.0,0.0
2025-07-28,YPAS,354.0,354.0,354.0,354.0,0.0
2025-07-29,YPAS,354.0,354.0,354.0,354.0,0.0
2025-07-30,YPAS,354.0,354.0,354.0,354.0,0.0
2025-07-31,YPAS,354.0,354.0,354.0,354.0,0.0
2025-08-01,YPAS,354.0,354.0,354.0,354.0,0.0
2025-08-04,YPAS,354.0,354.0,354.0,354.0,100.0
2025-08-05,YPAS,354.0,354.0,354.0,354.0,0.0
2025-08-06,YPAS,354.0,354.0,354.0,354.0,0.0
2025-08-07,YPAS,354.0,354.0,354.0,354.0,100.0
2025-08-08,YPAS,354.0,354.0,354.0,354.0,0.0
2025-08-11,YPAS,354.0,354.0,354.0,354.0,0.0
2025-08-12,YPAS,354.0,354.0,354.0,354.0,0.0
2025-08-13,YPAS,354.0,354.0,354.0,354.0,10200.0
2025-08-14,YPAS,354.0,354.0,354.0,354.0,1000.0
2025-08-15,YPAS,354.0,354.0,354.0,354.0,7200.0
2025-08-19,YPAS,354.0,354.0,354.0,354.0,600.0
2025-08-20,YPAS,354.0,354.0,354.0,354.0,0.0
2025-08-21,YPAS,354.0,354.0,354.0,354.0,900.0
2025-08-22,YPAS,354.0,354.0,354.0,354.0,0.0
2025-08-25,YPAS,354.0,354.0,354.0,354.0,100.0
2025-08-26,YPAS,354.0,354.0,354.0,354.0,0.0
2025-08-27,YPAS,354.0,354.0,354.0,354.0,0.0
2025-08-28,YPAS,354.0,354.0,354.0,354.0,0.0
2025-08-29,YPAS,354.0,354.0,354.0,354.0,0.0
2025-09-01,YPAS,354.0,354.0,354.0,354.0,100.0
2025-09-02,YPAS,354.0,354.0,354.0,354.0,100.0
2025-09-03,YPAS,354.0,354.0,354.0,354.0,0.0
2025-09-04,YPAS,354.0,354.0,354.0,354.0,0.0
2025-09-08,YPAS,354.0,354.0,354.0,354.0,0.0
2025-09-09,YPAS,354.0,354.0,354.0,354.0,0.0
2025-09-10,YPAS,354.0,354.0,354.0,354.0,100.0
2025-09-11,YPAS,354.0,354.0,354.0,354.0,0.0
2025-09-12,YPAS,354.0,354.0,354.0,354.0,0.0
2025-09-15,YPAS,354.0,354.0,354.0,354.0,600.0
2025-09-16,YPAS,354.0,354.0,354.0,354.0,0.0
2025-09-17,YPAS,354.0,354.0,354.0,354.0,0.0
2025-09-18,YPAS,354.0,354.0,354.0,354.0,0.0
2025-09-19,YPAS,354.0,354.0,354.0,354.0,1200.0
2025-09-22,YPAS,354.0,354.0,354.0,354.0,200.0
2025-09-23,YPAS,354.0,354.0,354.0,354.0,400.0
2025-09-24,YPAS,354.0,354.0,354.0,354.0,0.0
2025-09-25,YPAS,354.0,354.0,354.0,354.0,20300.0
2025-09-26,YPAS,354.0,354.0,354.0,354.0,0.0
2025-09-29,YPAS,354.0,354.0,354.0,354.0,0.0
2025-09-30,YPAS,354.0,354.0,354.0,354.0,100.0
2025-10-01,YPAS,388.0,388.0,388.0,388.0,600.0
2025-10-02,YPAS,426.0,426.0,426.0,426.0,7300.0
2025-10-03,YPAS,468.0,468.0,468.0,468.0,39800.0
2025-10-06,YPAS,510.0,510.0,510.0,510.0,57300.0
2025-10-07,YPAS,560.0,560.0,560.0,560.0,100700.0
2025-10-08,YPAS,615.0,615.0,615.0,615.0,103000.0
2025-10-09,YPAS,675.0,675.0,675.0,675.0,173100.0
2025-10-10,YPAS,675.0,675.0,675.0,675.0,0.0
2025-10-13,YPAS,675.0,675.0,610.0,610.0,108400.0
2025-10-14,YPAS,550.0,550.0,550.0,550.0,10300.0
2025-10-15,YPAS,496.0,496.0,496.0,496.0,13500.0
2025-10-16,YPAS,448.0,448.0,448.0,448.0,40100.0
2025-10-17,YPAS,448.0,492.0,406.0,492.0,53000.0
2025-10-20,YPAS,540.0,540.0,540.0,540.0,24100.0
2025-10-21,YPAS,590.0,590.0,580.0,585.0,35000.0
2025-10-22,YPAS,615.0,615.0,535.0,535.0,5300.0
2025-10-23,YPAS,585.0,585.0,494.0,530.0,14200.0
2025-10-24,YPAS,478.0,478.0,478.0,478.0,35400.0
2025-10-27,YPAS,525.0,525.0,515.0,515.0,2600.0
2025-10-28,YPAS,510.0,510.0,500.0,500.0,4400.0
2025-10-29,YPAS,500.0,500.0,500.0,500.0,0.0
2025-10-30,YPAS,460.0,498.0,460.0,498.0,14600.0
2025-10-31,YPAS,472.0,472.0,470.0,472.0,64000.0
2025-11-03,YPAS,472.0,472.0,472.0,472.0,21900.0
2025-11-04,YPAS,472.0,472.0,472.0,472.0,4800.0
2025-11-05,YPAS,472.0,472.0,472.0,472.0,0.0
2025-11-06,YPAS,472.0,515.0,472.0,515.0,40500.0
2025-11-07,YPAS,515.0,515.0,510.0,515.0,10900.0
2025-11-10,YPAS,505.0,505.0,500.0,500.0,59600.0
2025-11-11,YPAS,500.0,520.0,500.0,520.0,16600.0
2025-11-12,YPAS,510.0,510.0,468.0,470.0,90300.0
2025-11-13,YPAS,450.0,515.0,450.0,505.0,82100.0
2025-11-14,YPAS,510.0,510.0,505.0,505.0,600.0
2025-11-17,YPAS,462.0,462.0,462.0,462.0,26100.0
2025-11-18,YPAS,505.0,505.0,464.0,498.0,3400.0
2025-11-19,YPAS,498.0,498.0,498.0,498.0,0.0
2025-11-20,YPAS,450.0,498.0,450.0,498.0,400.0
2025-11-21,YPAS,452.0,452.0,452.0,452.0,4400.0
2025-11-24,YPAS,452.0,452.0,452.0,452.0,100.0
2025-11-25,YPAS,494.0,494.0,494.0,494.0,200.0
2025-11-26,YPAS,456.0,525.0,456.0,525.0,16000.0
2025-11-27,YPAS,480.0,480.0,478.0,480.0,6500.0
2025-11-28,YPAS,480.0,600.0,480.0,530.0,533200.0
2025-12-01,YPAS,530.0,530.0,472.0,474.0,95100.0
2025-12-02,YPAS,540.0,590.0,540.0,590.0,150000.0
2025-12-03,YPAS,610.0,735.0,610.0,735.0,1092500.0
2025-12-04,YPAS,770.0,915.0,730.0,750.0,2196100.0
2025-12-05,YPAS,760.0,875.0,705.0,725.0,547200.0
2025-12-08,YPAS,730.0,730.0,620.0,620.0,295000.0
2025-12-09,YPAS,775.0,775.0,700.0,775.0,638500.0
2025-12-10,YPAS,800.0,920.0,700.0,715.0,1184000.0
2025-12-11,YPAS,770.0,815.0,720.0,735.0,365500.0
2025-12-12,YPAS,765.0,775.0,710.0,710.0,245100.0
2025-12-15,YPAS,710.0,710.0,610.0,645.0,419800.0
2025-12-16,YPAS,685.0,800.0,675.0,690.0,703500.0
2025-12-17,YPAS,695.0,750.0,610.0,655.0,159700.0
2025-12-18,YPAS,655.0,720.0,620.0,640.0,117400.0
2025-12-19,YPAS,640.0,645.0,615.0,630.0,45400.0
2025-12-22,YPAS,620.0,635.0,610.0,620.0,45100.0
2025-12-23,YPAS,620.0,640.0,570.0,610.0,36400.0
2025-12-24,YPAS,630.0,640.0,590.0,590.0,87400.0
2025-12-29,YPAS,605.0,630.0,550.0,595.0,27800.0
2025-12-30,YPAS,570.0,610.0,570.0,575.0,44400.0
2026-01-02,YPAS,575.0,605.0,575.0,585.0,13300.0
