Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,ZINC,13.0,13.0,12.0,12.0,1558500.0
2025-06-16,ZINC,12.0,13.0,12.0,13.0,8811300.0
2025-06-17,ZINC,12.0,13.0,12.0,13.0,1898900.0
2025-06-18,ZINC,12.0,12.0,12.0,12.0,3614100.0
2025-06-19,ZINC,12.0,12.0,12.0,12.0,2996200.0
2025-06-20,ZINC,12.0,12.0,12.0,12.0,3577200.0
2025-06-23,ZINC,12.0,12.0,12.0,12.0,1616000.0
2025-06-24,ZINC,12.0,12.0,12.0,12.0,2282500.0
2025-06-25,ZINC,12.0,13.0,12.0,12.0,1401000.0
2025-06-26,ZINC,12.0,13.0,12.0,13.0,4910600.0
2025-06-30,ZINC,13.0,13.0,12.0,13.0,1669200.0
2025-07-01,ZINC,13.0,13.0,13.0,13.0,243800.0
2025-07-02,ZINC,13.0,13.0,12.0,12.0,4020100.0
2025-07-03,ZINC,13.0,13.0,12.0,12.0,2147200.0
2025-07-04,ZINC,12.0,13.0,12.0,12.0,1057900.0
2025-07-07,ZINC,12.0,12.0,12.0,12.0,2508600.0
2025-07-08,ZINC,12.0,13.0,12.0,13.0,3369500.0
2025-07-09,ZINC,13.0,13.0,13.0,13.0,2880500.0
2025-07-10,ZINC,13.0,13.0,13.0,13.0,1520400.0
2025-07-11,ZINC,12.0,13.0,12.0,13.0,5356500.0
2025-07-14,ZINC,12.0,13.0,12.0,13.0,2193100.0
2025-07-15,ZINC,13.0,13.0,13.0,13.0,446400.0
2025-07-16,ZINC,13.0,13.0,12.0,13.0,916900.0
2025-07-17,ZINC,13.0,13.0,12.0,12.0,15663900.0
2025-07-18,ZINC,12.0,13.0,12.0,13.0,6743000.0
2025-07-21,ZINC,13.0,13.0,12.0,12.0,2521800.0
2025-07-22,ZINC,12.0,12.0,12.0,12.0,4376800.0
2025-07-23,ZINC,12.0,12.0,12.0,12.0,2983600.0
2025-07-24,ZINC,12.0,12.0,12.0,12.0,2898900.0
2025-07-25,ZINC,12.0,12.0,12.0,12.0,2120300.0
2025-07-28,ZINC,12.0,12.0,12.0,12.0,5100800.0
2025-07-29,ZINC,12.0,12.0,11.0,11.0,18433100.0
2025-07-30,ZINC,10.0,10.0,10.0,10.0,33793200.0
2025-07-31,ZINC,11.0,11.0,11.0,11.0,6455700.0
2025-08-01,ZINC,11.0,11.0,11.0,11.0,6204500.0
2025-08-04,ZINC,11.0,11.0,11.0,11.0,6860100.0
2025-08-05,ZINC,12.0,12.0,12.0,12.0,15269200.0
2025-08-06,ZINC,13.0,13.0,13.0,13.0,10037500.0
2025-08-07,ZINC,13.0,13.0,13.0,13.0,6318700.0
2025-08-08,ZINC,13.0,13.0,13.0,13.0,5668900.0
2025-08-11,ZINC,13.0,13.0,13.0,13.0,1471700.0
2025-08-12,ZINC,13.0,13.0,12.0,13.0,2528100.0
2025-08-13,ZINC,13.0,13.0,12.0,12.0,2805600.0
2025-08-14,ZINC,12.0,13.0,12.0,13.0,3542900.0
2025-08-15,ZINC,14.0,14.0,14.0,14.0,36838000.0
2025-08-19,ZINC,15.0,15.0,15.0,15.0,59996700.0
2025-08-20,ZINC,16.0,16.0,16.0,16.0,58108600.0
2025-08-21,ZINC,17.0,17.0,17.0,17.0,128274300.0
2025-08-22,ZINC,18.0,18.0,18.0,18.0,20708400.0
2025-08-25,ZINC,19.0,19.0,19.0,19.0,63528900.0
2025-08-26,ZINC,20.0,20.0,20.0,20.0,25237800.0
2025-08-27,ZINC,22.0,22.0,22.0,22.0,178502400.0
2025-08-28,ZINC,24.0,24.0,24.0,24.0,81950100.0
2025-08-29,ZINC,24.0,24.0,22.0,22.0,41947600.0
2025-09-01,ZINC,20.0,20.0,20.0,20.0,28651600.0
2025-09-02,ZINC,19.0,19.0,19.0,19.0,56232400.0
2025-09-03,ZINC,19.0,20.0,19.0,20.0,29952000.0
2025-09-04,ZINC,22.0,22.0,22.0,22.0,30593000.0
2025-09-08,ZINC,24.0,24.0,24.0,24.0,44269700.0
2025-09-09,ZINC,26.0,26.0,26.0,26.0,36435100.0
2025-09-10,ZINC,28.0,28.0,28.0,28.0,39191300.0
2025-09-11,ZINC,30.0,30.0,30.0,30.0,40811100.0
2025-09-12,ZINC,33.0,33.0,33.0,33.0,17904900.0
2025-09-15,ZINC,36.0,36.0,36.0,36.0,32525300.0
2025-09-16,ZINC,39.0,39.0,39.0,39.0,16183200.0
2025-09-17,ZINC,42.0,42.0,42.0,42.0,17771900.0
2025-09-18,ZINC,46.0,46.0,46.0,46.0,32242100.0
2025-09-19,ZINC,50.0,50.0,50.0,50.0,134183800.0
